logY Y P PoverSqrtY A AoverSqrtY
7.10824 1222 -0.0714 -0.002042 0.032091 0.000918
7.10988 1224 -0.0292 -0.000834 0.012179 0.000348
7.11233 1227 -0.5014 -0.014314 0.003891 0.000111
7.11396 1229 -0.4311 -0.012296 0.068215 0.001946
7.11558 1231 -0.4078 -0.011622 -0.028181 -0.000803
7.11721 1233 -0.4383 -0.012483 0.197777 0.005632
7.11964 1236 -0.3166 -0.009004 -0.098924 -0.002814
7.12125 1238 -0.4701 -0.013362 0.144815 0.004116
7.12287 1240 -0.3677 -0.010442 0.034770 0.000987
7.12528 1243 -0.5499 -0.015598 0.252516 0.007162
7.12689 1245 -0.2720 -0.007709 0.084485 0.002394
7.12850 1247 -0.3302 -0.009350 0.057630 0.001632
7.13010 1249 -0.2346 -0.006637 0.056273 0.001592
7.13250 1252 -0.5749 -0.016247 -0.045508 -0.001286
7.13409 1254 -0.5926 -0.016733 0.093753 0.002648
7.13569 1256 -0.6321 -0.017837 -0.056181 -0.001585
7.13807 1259 -0.6209 -0.017498 0.088635 0.002498
7.13966 1261 -0.6662 -0.018762 -0.133726 -0.003766
7.14125 1263 -0.8574 -0.024126 0.148295 0.004173
7.14362 1266 -0.7984 -0.022440 -0.052634 -0.001479
7.14520 1268 -0.9241 -0.025952 0.184743 0.005188
7.14756 1271 -0.6819 -0.019128 0.017111 0.000480
7.14913 1273 -0.6748 -0.018913 0.190248 0.005332
7.15070 1275 -0.5214 -0.014602 -0.027440 -0.000768
7.15305 1278 -0.9086 -0.025416 0.037379 0.001046
7.15462 1280 -0.9207 -0.025734 -0.011361 -0.000318
7.15618 1282 -1.1706 -0.032693 0.106830 0.002984
7.15851 1285 -0.9282 -0.025893 -0.014727 -0.000411
7.16007 1287 -1.1793 -0.032872 -0.019633 -0.000547
7.16240 1290 -1.0902 -0.030353 -0.017430 -0.000485
7.16395 1292 -1.3464 -0.037457 0.077094 0.002145
7.16549 1294 -1.1357 -0.031573 0.133848 0.003721
7.16781 1297 -0.9893 -0.027469 0.159366 0.004425
7.16935 1299 -0.6976 -0.019357 0.132492 0.003676
7.17166 1302 -0.7657 -0.021219 0.058210 0.001613
7.17319 1304 -0.6351 -0.017589 0.078263 0.002167
7.17472 1306 -0.5655 -0.015649 -0.008342 -0.000231
7.17702 1309 -0.3130 -0.008652 0.195942 0.005416
7.17855 1311 -0.1448 -0.004000 -0.027522 -0.000760
7.18083 1314 -0.0661 -0.001824 0.102748 0.002835
7.18235 1316 -0.0878 -0.002421 -0.124133 -0.003422
7.18463 1319 -0.1439 -0.003963 0.123208 0.003392
7.18614 1321 -0.1239 -0.003409 -0.000484 -0.000013
7.18766 1323 -0.0366 -0.001006 0.299920 0.008246
7.18992 1326 0.3575 0.009817 -0.009771 -0.000268
7.19143 1328 0.3159 0.008669 0.171814 0.004715
7.19369 1331 0.3793 0.010397 -0.014222 -0.000390
7.19519 1333 0.3637 0.009962 0.208419 0.005709
7.19744 1336 0.6342 0.017351 -0.042512 -0.001163
7.19893 1338 0.5220 0.014271 0.163032 0.004457
7.20117 1341 0.6179 0.016873 -0.086754 -0.002369
7.20266 1343 0.4173 0.011388 0.126357 0.003448
7.20489 1346 0.4934 0.013449 -0.076305 -0.002080
7.20638 1348 0.4831 0.013159 0.288987 0.007871
7.20860 1351 0.8393 0.022835 -0.016869 -0.000459
7.21008 1353 0.7827 0.021279 0.180237 0.004900
7.21229 1356 0.8314 0.022578 -0.082411 -0.002238
7.21377 1358 0.7749 0.021029 0.226081 0.006135
7.21598 1361 1.0347 0.028047 -0.022583 -0.000612
7.21744 1363 0.9916 0.026860 0.212223 0.005748
7.21964 1366 1.2402 0.033556 -0.064220 -0.001738
7.22111 1368 1.0846 0.029325 0.148885 0.004025
7.22330 1371 1.1258 0.030405 -0.089173 -0.002408
7.22548 1374 1.1177 0.030153 0.139978 0.003776
7.22694 1376 1.2341 0.033270 -0.023344 -0.000629
7.22911 1379 1.2532 0.033747 0.038400 0.001034
7.23056 1381 1.1498 0.030941 -0.083407 -0.002244
7.23273 1384 1.1773 0.031646 0.125857 0.003383
7.23418 1386 1.2408 0.033329 0.013348 0.000359
7.23634 1389 1.3736 0.036856 0.076638 0.002056
7.23850 1392 1.2344 0.033085 0.026795 0.000718
7.23993 1394 1.3069 0.035004 0.045981 0.001232
7.24208 1397 1.0150 0.027156 -0.015426 -0.000413
7.24351 1399 1.0275 0.027471 0.105180 0.002812
7.24566 1402 0.9052 0.024175 0.010716 0.000286
7.24708 1404 0.9287 0.024785 0.058949 0.001573
7.24922 1407 0.5961 0.015892 0.043747 0.001166
7.25134 1410 0.7765 0.020678 0.040081 0.001067
7.25276 1412 0.6295 0.016752 0.141195 0.003758
7.25488 1415 0.9746 0.025908 0.091971 0.002445
7.25700 1418 0.9410 0.024988 0.191601 0.005088
7.25841 1420 1.0971 0.029113 -0.035314 -0.000937
7.26052 1423 0.7797 0.020668 0.123720 0.003280
7.26263 1426 0.8559 0.022666 -0.045768 -0.001212
7.26403 1428 0.7431 0.019664 0.136232 0.003605
7.26613 1431 0.6526 0.017253 -0.196450 -0.005193
7.26753 1433 0.3621 0.009565 0.175580 0.004638
7.26962 1436 0.4548 0.012003 -0.086316 -0.002278
7.27170 1439 0.4871 0.012841 0.142989 0.003769
7.27309 1441 0.5459 0.014382 -0.016167 -0.000426
7.27517 1444 0.6345 0.016698 0.115844 0.003049
7.27725 1447 0.4865 0.012790 -0.014218 -0.000374
7.27932 1450 0.6050 0.015888 0.034320 0.000901
7.28070 1452 0.5293 0.013891 0.090236 0.002368
7.28276 1455 0.7597 0.019916 0.001603 0.000042
7.28482 1458 0.4936 0.012926 0.189557 0.004964
7.28619 1460 0.6456 0.016896 -0.037368 -0.000978
7.28824 1463 0.4584 0.011984 0.167985 0.004392
7.29029 1466 0.6204 0.016202 -0.029828 -0.000779
7.29166 1468 0.6117 0.015965 0.261361 0.006821
7.29370 1471 0.8935 0.023295 -0.068582 -0.001788
7.29574 1474 0.7768 0.020234 0.097048 0.002528
7.29777 1477 0.7126 0.018543 0.147493 0.003838
7.29912 1479 0.9837 0.025580 0.135096 0.003513
7.30115 1482 0.8875 0.023055 0.041251 0.001072
7.30317 1485 1.0613 0.027541 0.010144 0.000263
7.30519 1488 0.9513 0.024661 0.212450 0.005508
7.30653 1490 1.1497 0.029785 0.062438 0.001618
7.30854 1493 1.1664 0.030187 0.280558 0.007261
7.31055 1496 1.4971 0.038706 -0.018032 -0.000466
7.31255 1499 1.5321 0.039571 0.041561 0.001073
7.31455 1502 1.4264 0.036806 0.041425 0.001069
7.31588 1504 1.5744 0.040596 0.106795 0.002754
7.31788 1507 1.4173 0.036511 0.054550 0.001405
7.31986 1510 1.5874 0.040851 0.006385 0.000164
7.32185 1513 1.3511 0.034735 0.185312 0.004764
7.32383 1516 1.4694 0.037739 -0.041505 -0.001066
7.32515 1518 1.4311 0.036731 0.242140 0.006215
7.32712 1521 1.6811 0.043105 -0.063795 -0.001636
7.32909 1524 1.6113 0.041274 0.028220 0.000723
7.33106 1527 1.4520 0.037156 0.106565 0.002727
7.33302 1530 1.7376 0.044423 0.053374 0.001365
7.33498 1533 1.6341 0.041736 0.160278 0.004094
7.33629 1535 1.7941 0.045793 -0.000059 -0.000002
7.33824 1538 1.5215 0.038797 0.080304 0.002048
7.34019 1541 1.4085 0.035880 -0.180006 -0.004585
7.34213 1544 1.2807 0.032592 0.104908 0.002670
7.34407 1547 1.0845 0.027572 -0.022037 -0.000560
7.34601 1550 1.0336 0.026255 -0.069328 -0.001761
7.34794 1553 0.7253 0.018405 0.145478 0.003692
7.34923 1555 0.8235 0.020884 0.029928 0.000759
7.35116 1558 0.6504 0.016478 0.142165 0.003602
7.35308 1561 0.7062 0.017874 -0.065857 -0.001667
7.35500 1564 0.6099 0.015422 -0.000198 -0.000005
7.35692 1567 0.2535 0.006403 -0.001182 -0.000030
7.35883 1570 0.6125 0.015457 0.095144 0.002401
7.36074 1573 0.5906 0.014892 0.156555 0.003947
7.36265 1576 0.5863 0.014769 -0.157180 -0.003959
7.36455 1579 0.4821 0.012132 0.123766 0.003115
7.36645 1582 0.4194 0.010544 0.100251 0.002520
7.36834 1585 0.6958 0.017476 0.091127 0.002289
7.37023 1588 0.6581 0.016516 0.150684 0.003781
7.37149 1590 0.7324 0.018367 -0.043616 -0.001094
7.37337 1593 0.4562 0.011431 0.138782 0.003477
7.37526 1596 0.6488 0.016241 -0.051997 -0.001302
7.37713 1599 0.7156 0.017896 0.077926 0.001949
7.37901 1602 0.4430 0.011068 0.026032 0.000650
7.38088 1605 0.4975 0.012417 -0.032257 -0.000805
7.38275 1608 0.2992 0.007460 0.256020 0.006385
7.38461 1611 0.5681 0.014155 -0.017215 -0.000429
7.38647 1614 0.7115 0.017711 0.106356 0.002647
7.38833 1617 0.5196 0.012921 0.058212 0.001448
7.39018 1620 0.7221 0.017940 0.123156 0.003060
7.39203 1623 0.8172 0.020284 0.222787 0.005530
7.39388 1626 0.9859 0.024451 -0.100093 -0.002482
7.39572 1629 0.8700 0.021556 0.042408 0.001051
7.39756 1632 0.6645 0.016449 0.043263 0.001071
7.39940 1635 0.9385 0.023210 0.043901 0.001086
7.40123 1638 1.0166 0.025118 0.235613 0.005822
7.40306 1641 1.2124 0.029930 -0.068551 -0.001692
7.40550 1645 1.3007 0.032069 0.071709 0.001768
7.40732 1648 1.3587 0.033468 0.214801 0.005291
7.40914 1651 1.5479 0.038094 -0.092973 -0.002288
7.41095 1654 1.4614 0.035934 0.053588 0.001318
7.41276 1657 1.1996 0.029470 0.053621 0.001317
7.41457 1660 1.3949 0.034236 0.038855 0.000954
7.41638 1663 1.2711 0.031169 0.168976 0.004144
7.41818 1666 1.3015 0.031886 -0.118141 -0.002894
7.41998 1669 1.0886 0.026648 0.070303 0.001721
7.42178 1672 1.0191 0.024923 0.189481 0.004634
7.42357 1675 1.5219 0.037186 0.073501 0.001796
7.42536 1678 1.4314 0.034943 0.135763 0.003314
7.42774 1682 1.2682 0.030923 0.100775 0.002457
7.42952 1685 1.4768 0.035977 0.045280 0.001103
7.43130 1688 1.3723 0.033401 0.175392 0.004269
7.43308 1691 1.4119 0.034334 -0.140694 -0.003421
7.43485 1694 1.1290 0.027430 0.002912 0.000071
7.43662 1697 0.8757 0.021258 0.053648 0.001302
7.43838 1700 1.1543 0.027996 0.049482 0.001200
7.44073 1704 1.0494 0.025421 0.057042 0.001382
7.44249 1707 0.7231 0.017503 -0.016125 -0.000390
7.44425 1710 0.8196 0.019821 -0.015746 -0.000381
7.44600 1713 0.6370 0.015391 0.235209 0.005683
7.44775 1716 0.8330 0.020108 -0.104602 -0.002525
7.44950 1719 0.6493 0.015660 0.032363 0.000781
7.45182 1723 0.3687 0.008883 0.172677 0.004160
7.45356 1726 0.5811 0.013987 -0.031617 -0.000761
7.45530 1729 0.6404 0.015400 0.083383 0.002005
7.45703 1732 0.5216 0.012532 0.066108 0.001588
7.45876 1735 0.7512 0.018035 0.036938 0.000887
7.46107 1739 0.8459 0.020284 0.149406 0.003583
7.46279 1742 0.7850 0.018807 0.009535 0.000228
7.46451 1745 0.7976 0.019095 -0.049919 -0.001195
7.46623 1748 0.5284 0.012639 0.189870 0.004541
7.46851 1752 0.5376 0.012843 0.058327 0.001393
7.47022 1755 0.6264 0.014954 0.009146 0.000218
7.47193 1758 0.4256 0.010151 0.171078 0.004080
7.47364 1761 0.5208 0.012411 -0.078823 -0.001878
7.47591 1765 0.5417 0.012895 0.018311 0.000436
7.47760 1768 0.2857 0.006795 0.130956 0.003114
7.47930 1771 0.1988 0.004724 -0.180961 -0.004300
7.48156 1775 0.1388 0.003293 -0.009175 -0.000218
7.48324 1778 -0.0344 -0.000815 0.138251 0.003279
7.48493 1781 -0.0431 -0.001021 -0.055517 -0.001316
7.48661 1784 0.0319 0.000755 0.082962 0.001964
7.48885 1788 -0.1049 -0.002480 0.155153 0.003669
7.49053 1791 0.1460 0.003450 -0.031851 -0.000753
7.49220 1794 0.1919 0.004531 0.080012 0.001889
7.49443 1798 -0.1190 -0.002805 0.142305 0.003356
7.49610 1801 -0.0481 -0.001133 -0.116993 -0.002757
7.49776 1804 -0.1255 -0.002955 0.036431 0.000858
7.49998 1808 -0.4856 -0.011422 0.138028 0.003246
7.50163 1811 -0.5383 -0.012649 -0.159438 -0.003747
7.50384 1815 -0.7377 -0.017316 0.102680 0.002410
7.50549 1818 -0.7407 -0.017373 0.225141 0.005280
7.50714 1821 -0.4776 -0.011191 -0.051106 -0.001198
7.50934 1825 -0.4130 -0.009668 0.080260 0.001879
7.51098 1828 -0.4816 -0.011265 0.247470 0.005788
7.51262 1831 -0.2367 -0.005531 -0.084953 -0.001985
7.51480 1835 -0.0384 -0.000897 0.023123 0.000540
7.51643 1838 -0.2313 -0.005396 0.199302 0.004649
7.51861 1842 -0.0268 -0.000624 0.133161 0.003103
7.52023 1845 0.4041 0.009408 0.095084 0.002214
