logY Y Sw sqrtY_times_Sw
6.90675 999 -0.007750009214 -0.244954
6.93049 1023 -0.006033170789 -0.192967
6.95368 1047 -0.004105626306 -0.132847
6.97635 1071 -0.003096033699 -0.101321
6.99942 1096 -0.002284516270 -0.075631
7.02287 1122 0.001165744064 0.039048
7.04578 1148 0.004443283971 0.150548
7.06902 1175 0.003882208336 0.133075
7.09174 1202 0.001927082301 0.066812
7.11477 1230 0.000006452563088 0.000226
7.13807 1259 -0.0006223000423 -0.022081
7.16162 1289 0.001253569304 0.045006
7.18463 1319 0.003647514069 0.132471
7.20712 1349 0.005584733597 0.205120
7.23056 1381 0.006080379805 0.225958
7.25347 1413 0.005030189986 0.189084
7.27656 1446 0.004758839933 0.180961
7.29980 1480 0.003256371272 0.125275
7.32317 1515 0.002705054286 0.105289
7.34601 1550 0.0007300433052 0.028742
7.36897 1586 0.0004388730270 0.017478
7.39203 1623 0.003327999027 0.134073
7.41518 1661 0.006303466228 0.256900
7.43838 1700 0.006975547929 0.287609
7.46164 1740 0.006908513439 0.288177
7.48437 1780 0.005008938549 0.211327
7.50769 1822 0.002405488023 0.102678
7.53048 1864 0.0006775572834 0.029253
7.55381 1908 -0.0007850745836 -0.034293
7.57712 1953 -0.002338034998 -0.103324
7.59990 1998 -0.002341767416 -0.104675
7.62315 2045 -0.001930647270 -0.087307
7.64635 2093 -0.002325233674 -0.106378
7.66950 2142 -0.001062576928 -0.049178
7.69257 2192 -0.0006030221329 -0.028233
7.71557 2243 0.0001333597501 0.006316
7.73849 2295 -0.0002691561636 -0.012894
7.76174 2349 0.0001053740602 0.005107
7.78489 2404 -0.0002614919421 -0.012821
7.80792 2460 0.001742951551 0.086448
7.83082 2517 0.001515428529 0.076029
7.85399 2576 -0.0005947058394 -0.030184
7.87702 2636 -0.001250713387 -0.064214
7.90027 2698 -0.001767675782 -0.091817
7.92335 2761 -0.002629624167 -0.138174
7.94626 2825 -0.001765702831 -0.093848
7.96936 2891 -0.0002952582673 -0.015875
7.99261 2959 0.0009201098987 0.050051
8.01566 3028 0.002114561859 0.116359
8.03883 3099 0.002313546945 0.128792
8.06180 3171 0.002695310525 0.151777
8.08487 3245 0.003447246942 0.196372
8.10802 3321 0.002620306523 0.151003
8.13094 3398 0.0007108335864 0.041436
8.15421 3478 -0.0008944564979 -0.052750
8.17723 3559 -0.003318655159 -0.197982
8.20029 3642 -0.004936128716 -0.297890
8.22336 3727 -0.006096303547 -0.372174
8.24643 3814 -0.006686542094 -0.412945
8.26950 3903 -0.006748696380 -0.421618
8.29255 3994 -0.006053372010 -0.382562
8.31581 4088 -0.004844117328 -0.309721
8.33878 4183 -0.003639677468 -0.235400
8.36194 4281 -0.001558248886 -0.101955
8.38503 4381 0.0004154595985 0.027499
8.40805 4483 0.001280563892 0.085740
8.43120 4588 0.000007513371758 0.000509
8.45425 4695 -0.001425319086 -0.097663
8.47741 4805 -0.001081999241 -0.075002
8.50045 4917 -0.0007986227572 -0.056000
8.52357 5032 0.0003868364085 0.027441
8.54656 5149 0.001554523859 0.111547
8.56960 5269 0.003242999507 0.235402
8.59267 5392 0.004695806702 0.344814
8.61577 5518 0.005135275027 0.381465
8.63888 5647 0.004503037088 0.338388
8.66199 5779 0.004271211086 0.324696
8.68508 5914 0.005201257420 0.399990
8.70814 6052 0.005748431990 0.447197
8.73134 6194 0.005237176278 0.412176
8.75432 6338 0.004294239418 0.341871
8.77740 6486 0.002971612823 0.239321
8.80057 6638 0.001790710291 0.145896
8.82365 6793 0.00007555130001 0.006227
8.84664 6951 -0.0009686050150 -0.080755
8.86982 7114 -0.002189075681 -0.184637
8.89289 7280 -0.003351800326 -0.285985
8.91597 7450 -0.003263898468 -0.281718
8.93906 7624 -0.002667787328 -0.232939
8.96214 7802 -0.001843922861 -0.162872
8.98519 7984 -0.001469137692 -0.131272
9.00835 8171 -0.001494097455 -0.135057
9.03133 8361 -0.001822326635 -0.166631
9.05450 8557 -0.002697088002 -0.249492
9.07761 8757 -0.002457598567 -0.229979
9.10064 8961 -0.001873075340 -0.177310
9.12369 9170 -0.0006339886145 -0.060711
9.14676 9384 0.00001830785179 0.001774
9.16993 9604 0.001023195489 0.100273
9.19299 9828 0.001444411565 0.143194
9.21602 10057 0.0007514829584 0.075362
9.23912 10292 -0.0006055661161 -0.061434
9.26227 10533 -0.001546742330 -0.158743
9.28536 10779 -0.001882661921 -0.195462
9.30837 11030 -0.002542136926 -0.266985
9.33150 11288 -0.003076285976 -0.326840
9.35453 11551 -0.003211490641 -0.345157
9.37763 11821 -0.002367305031 -0.257384
9.40071 12097 -0.0005652286737 -0.062167
