logY Y P PoverSqrtY A AoverSqrtY
7.10988 1224 9.0904 0.259831 0.007051 0.000202
7.11233 1227 8.8645 0.253065 -0.191341 -0.005462
7.11396 1229 9.0147 0.257145 0.061850 0.001764
7.11558 1231 9.0396 0.257644 -0.070985 -0.002023
7.11721 1233 8.8575 0.252250 0.065005 0.001851
7.11964 1236 8.8800 0.252582 -0.035694 -0.001015
7.12125 1238 8.7285 0.248074 0.090126 0.002561
7.12287 1240 8.9037 0.252847 0.051081 0.001451
7.12528 1243 9.1556 0.259688 0.096743 0.002744
7.12689 1245 9.3229 0.264219 0.036507 0.001035
7.12850 1247 9.1775 0.259891 -0.064072 -0.001814
7.13010 1249 9.1505 0.258918 0.061911 0.001752
7.13250 1252 9.2722 0.262048 -0.041852 -0.001183
7.13409 1254 9.3324 0.263540 0.068093 0.001923
7.13569 1256 9.2314 0.260479 -0.038777 -0.001094
7.13807 1259 9.5624 0.269498 0.027600 0.000778
7.13966 1261 9.5607 0.269235 0.027561 0.000776
7.14125 1263 9.5348 0.268294 0.112665 0.003170
7.14362 1266 9.6863 0.272232 -0.016564 -0.000466
7.14520 1268 9.5794 0.269017 0.075766 0.002128
7.14756 1271 9.5965 0.269179 -0.123501 -0.003464
7.14913 1273 9.3416 0.261822 0.075939 0.002128
7.15070 1275 9.3945 0.263100 -0.024651 -0.000690
7.15305 1278 8.9777 0.251130 0.103584 0.002898
7.15462 1280 9.1092 0.254611 -0.002752 -0.000077
7.15618 1282 9.0726 0.253388 -0.067857 -0.001895
7.15851 1285 8.9989 0.251037 0.129979 0.003626
7.16007 1287 9.1601 0.255334 -0.002873 -0.000080
7.16240 1290 9.7246 0.270755 0.054164 0.001508
7.16395 1292 9.7662 0.271704 -0.043820 -0.001219
7.16549 1294 9.7860 0.272043 0.125003 0.003475
7.16781 1297 9.9388 0.275972 -0.060565 -0.001682
7.16935 1299 9.9189 0.275206 0.007497 0.000208
7.17166 1302 9.7771 0.270960 -0.080341 -0.002227
7.17319 1304 9.7656 0.270432 0.078283 0.002168
7.17472 1306 9.9181 0.274446 0.075074 0.002077
7.17702 1309 9.9102 0.273914 0.108049 0.002986
7.17855 1311 10.0507 0.277584 0.004036 0.000111
7.18083 1314 10.0148 0.276277 0.010446 0.000288
7.18235 1316 9.9331 0.273814 -0.031501 -0.000868
7.18463 1319 10.0257 0.276053 0.065039 0.001791
7.18614 1321 10.0577 0.276726 -0.064462 -0.001774
7.18766 1323 9.8854 0.271778 0.060382 0.001660
7.18992 1326 9.5696 0.262799 -0.100812 -0.002768
7.19143 1328 9.9240 0.272325 0.160032 0.004391
7.19369 1331 10.4293 0.285869 0.008409 0.000230
7.19519 1333 10.8506 0.297192 0.076457 0.002094
7.19744 1336 10.9496 0.299567 -0.046102 -0.001261
7.19893 1338 10.8120 0.295583 0.183650 0.005021
7.20117 1341 11.1694 0.305010 0.028756 0.000785
7.20266 1343 11.1280 0.303655 0.120611 0.003291
7.20489 1346 11.4077 0.310938 -0.076422 -0.002083
7.20638 1348 11.1575 0.303894 -0.007741 -0.000211
7.20860 1351 11.1130 0.302346 0.002318 0.000063
7.21008 1353 11.0188 0.299561 0.179030 0.004867
7.21229 1356 11.3079 0.307081 -0.020282 -0.000551
7.21377 1358 10.9452 0.297011 0.076111 0.002065
7.21598 1361 11.2196 0.304122 0.006879 0.000186
7.21744 1363 10.9987 0.297917 0.074002 0.002004
7.21964 1366 11.0261 0.298329 -0.069671 -0.001885
7.22111 1368 11.1870 0.302463 0.134804 0.003645
7.22330 1371 11.3514 0.306570 0.074585 0.002014
7.22548 1374 11.1142 0.299836 0.139590 0.003766
7.22694 1376 11.3017 0.304674 0.006709 0.000181
