logY Y Sw sqrtY_times_Sw
6.90675 999 0.005092222926 0.160950
6.93049 1023 0.005713090656 0.182730
6.95368 1047 0.004687706390 0.151682
6.97635 1071 0.004359920179 0.142683
6.99942 1096 0.004546329077 0.150510
7.02287 1122 0.004485196653 0.150237
7.04578 1148 0.004468289400 0.151395
7.06902 1175 0.003910305045 0.134039
7.09174 1202 0.002437698582 0.084515
7.11477 1230 0.005234845456 0.183593
7.13807 1259 0.006761316468 0.239908
7.16162 1289 0.008587577501 0.308317
7.18463 1319 0.006437607455 0.233801
7.20712 1349 0.001811297923 0.066527
7.23056 1381 -0.001991233922 -0.073998
7.25347 1413 -0.003027278147 -0.113795
7.27656 1446 -0.002397298030 -0.091160
7.29980 1480 -0.002764199326 -0.106341
7.32317 1515 -0.003029097863 -0.117902
7.34601 1550 -0.002715563990 -0.106912
7.36897 1586 -0.004625609990 -0.184213
7.39203 1623 -0.007527309853 -0.303249
7.41518 1661 -0.005755079815 -0.234550
7.43838 1700 -0.002937348904 -0.121110
7.46164 1740 0.0001318699945 0.005501
7.48437 1780 0.0005987900361 0.025263
7.50769 1822 0.002692598692 0.114933
7.53048 1864 0.001686728395 0.072823
7.55381 1908 -0.0002800896123 -0.012234
7.57712 1953 -0.0009032223245 -0.039916
7.59990 1998 -0.0004528830406 -0.020243
7.62315 2045 -0.002751844826 -0.124443
7.64635 2093 -0.004292187911 -0.196365
7.66950 2142 -0.002484327120 -0.114979
7.69257 2192 0.001378337478 0.064532
7.71557 2243 0.004007927863 0.189817
7.73849 2295 0.005458761270 0.261508
7.76174 2349 0.008461927408 0.410120
7.78489 2404 0.009746639124 0.477884
7.80792 2460 0.006074583332 0.301290
7.83082 2517 0.002776124809 0.139277
7.85399 2576 0.0003041265710 0.015436
7.87702 2636 -0.002600936639 -0.133537
7.90027 2698 -0.003111276924 -0.161607
7.92335 2761 -0.002878678895 -0.151261
7.94626 2825 -0.001270208238 -0.067512
7.96936 2891 -0.001362477224 -0.073258
7.99261 2959 -0.003667527754 -0.199501
8.01566 3028 -0.003712422113 -0.204284
8.03883 3099 0.0003009239161 0.016752
8.06180 3171 -0.00009344391168 -0.005262
8.08487 3245 -0.001810063427 -0.103110
8.10802 3321 -0.0009513744732 -0.054826
8.13094 3398 0.001288631030 0.075117
8.15421 3478 -0.0001937608659 -0.011427
8.17723 3559 -0.001956852022 -0.116741
8.20029 3642 -0.002722975744 -0.164329
8.22336 3727 -0.004020228317 -0.245432
8.24643 3814 -0.002028203277 -0.125257
8.26950 3903 -0.0002572717886 -0.016073
8.29255 3994 0.0008908827942 0.056302
8.31581 4088 0.003663022471 0.234204
8.33878 4183 0.003875906545 0.250679
8.36194 4281 0.005211934085 0.341013
8.38503 4381 0.004263917270 0.282225
8.40805 4483 0.002686697736 0.179888
8.43120 4588 0.002972016629 0.201309
8.45425 4695 0.001039755861 0.071244
8.47741 4805 -0.0001885102364 -0.013067
8.50045 4917 -0.001322296197 -0.092721
8.52357 5032 -0.001694934979 -0.120233
8.54656 5149 -0.001616399574 -0.115987
8.56960 5269 -0.0005292515413 -0.038417
8.59267 5392 0.0002674406838 0.019638
8.61577 5518 0.0002056249351 0.015274
8.63888 5647 -0.00005113556935 -0.003843
8.66199 5779 -0.0008564099154 -0.065104
8.68508 5914 -0.002942489338 -0.226285
8.70814 6052 -0.002656248610 -0.206642
8.73134 6194 -0.0004809107646 -0.037849
8.75432 6338 -0.0002788564807 -0.022200
8.77740 6486 -0.001181070106 -0.095118
8.80057 6638 -0.001813825170 -0.147779
8.82365 6793 -0.001813262206 -0.149448
8.84664 6951 -0.0008864110984 -0.073902
8.86982 7114 0.0003980660112 0.033575
8.89289 7280 -0.00005330147014 -0.004548
8.91597 7450 -0.0001436494760 -0.012399
8.93906 7624 0.0007131029047 0.062265
8.96214 7802 0.001725264343 0.152391
8.98519 7984 0.002800171205 0.250204
9.00835 8171 0.002127707570 0.192331
9.03133 8361 0.001442275040 0.131879
9.05450 8557 0.001141276139 0.105573
9.07761 8757 0.001128308720 0.105586
9.10064 8961 0.001991001620 0.188473
9.12369 9170 0.0005171635965 0.049524
9.14676 9384 -0.001264149488 -0.122459
9.16993 9604 -0.0009627539118 -0.094350
9.19299 9828 0.0001197071319 0.011867
9.21602 10057 0.0001212729439 0.012162
9.23912 10292 0.0007144636449 0.072482
9.26227 10533 0.001716235115 0.176138
9.28536 10779 0.0006911721093 0.071759
9.30837 11030 0.0003227064661 0.033892
9.33150 11288 0.00007092725035 0.007536
9.35453 11551 -0.0006170606272 -0.066319
9.37763 11821 -0.001381424330 -0.150195
9.40071 12097 -0.001410583284 -0.155145
9.42384 12380 -0.001136913006 -0.126499
9.44691 12669 -0.001492112126 -0.167947
9.47001 12965 -0.001948385235 -0.221851
9.49311 13268 -0.001782287115 -0.205296
9.51613 13577 -0.001455177221 -0.169558
9.53921 13894 -0.0006586368881 -0.077635
9.56233 14219 0.0008784952462 0.104755
9.58541 14551 0.001586409798 0.191365
9.60851 14891 0.0008519113323 0.103958
9.63161 15239 0.0001873569632 0.023129
9.65464 15594 -0.001132098327 -0.141372
9.67778 15959 -0.0008798880136 -0.111155
9.70082 16331 -0.0003620480185 -0.046267
9.72394 16713 -0.00009078654885 -0.011737
9.74701 17103 0.00009221443834 0.012060
9.77007 17502 0.001005305530 0.132997
9.79317 17911 0.001681535751 0.225043
9.81624 18329 0.001729759292 0.234183
9.83932 18757 0.001359985804 0.186258
9.86241 19195 0.002085749198 0.288972
9.88553 19644 0.001904572961 0.266939
9.90857 20102 0.0006768363131 0.095963
9.93169 20572 -0.0001753334090 -0.025148
9.95475 21052 -0.0009438670401 -0.136949
9.97785 21544 -0.001370017964 -0.201090
10.00093 22047 -0.0009515435129 -0.141287
10.02402 22562 -0.0003000255780 -0.045066
10.04711 23089 -0.00004347571302 -0.006606
10.07019 23628 -0.0004122668237 -0.063371
10.09328 24180 -0.00005612394860 -0.008727
10.11634 24744 0.0005613347101 0.088299
10.13943 25322 0.0001397969015 0.022246
10.16250 25913 0.0001920273001 0.030912
10.18562 26519 0.00008176914417 0.013316
10.20869 27138 -0.0002620282084 -0.043166
10.23178 27772 -0.0007137007333 -0.118938
10.25485 28420 -0.0009791757464 -0.165072
10.27794 29084 -0.001613474785 -0.275163
10.30102 29763 -0.001480425614 -0.255402
