logY Y P PoverSqrtY A AoverSqrtY
7.11396 1229 67.9565 1.938451 0.068215 0.001946
7.11558 1231 68.0935 1.940783 -0.028181 -0.000803
7.11721 1233 68.1766 1.941572 0.197777 0.005632
7.11964 1236 68.4689 1.947529 -0.098924 -0.002814
7.12125 1238 68.4290 1.944821 0.144815 0.004116
7.12287 1240 68.6451 1.949389 0.034770 0.000987
7.12528 1243 68.6334 1.946703 0.252516 0.007162
7.12689 1245 69.0250 1.956237 0.084485 0.002394
7.12850 1247 69.0805 1.956240 0.057630 0.001632
7.13010 1249 69.2898 1.960595 0.056273 0.001592
7.13250 1252 69.1200 1.953445 -0.045508 -0.001286
7.13409 1254 69.2160 1.954599 0.093753 0.002648
7.13569 1256 69.2901 1.955132 -0.056181 -0.001585
7.13807 1259 69.4719 1.957925 0.088635 0.002498
7.13966 1261 69.5402 1.958295 -0.133726 -0.003766
7.14125 1263 69.4627 1.954566 0.148295 0.004173
7.14362 1266 69.6922 1.958698 -0.052634 -0.001479
7.14520 1268 69.6802 1.956815 0.184743 0.005188
7.14756 1271 70.0929 1.966081 0.017111 0.000480
7.14913 1273 70.2137 1.967921 0.190248 0.005332
7.15070 1275 70.4808 1.973857 -0.027440 -0.000768
7.15305 1278 70.2641 1.965476 0.037379 0.001046
7.15462 1280 70.3657 1.966780 -0.011361 -0.000318
7.15618 1282 70.2295 1.961443 0.106830 0.002984
7.15851 1285 70.6424 1.970669 -0.014727 -0.000411
7.16007 1287 70.5050 1.965308 -0.019633 -0.000547
7.16240 1290 70.7646 1.970249 -0.017430 -0.000485
7.16395 1292 70.6221 1.964758 0.077094 0.002145
7.16549 1294 70.9464 1.972257 0.133848 0.003721
7.16781 1297 71.2634 1.978775 0.159366 0.004425
7.16935 1299 71.6687 1.988497 0.132492 0.003676
7.17166 1302 71.7712 1.989047 0.058210 0.001613
7.17319 1304 72.0154 1.994281 0.078263 0.002167
7.17472 1306 72.1987 1.997828 -0.008342 -0.000231
7.17702 1309 72.6217 2.007227 0.195942 0.005416
7.17855 1311 72.9036 2.013480 -0.027522 -0.000760
7.18083 1314 73.1528 2.018056 0.102748 0.002835
7.18235 1316 73.2448 2.019059 -0.124133 -0.003422
7.18463 1319 73.3592 2.019911 0.123208 0.003392
7.18614 1321 73.4929 2.022061 -0.000484 -0.000013
7.18766 1323 73.6939 2.026058 0.299920 0.008246
7.18992 1326 74.2585 2.039268 -0.009771 -0.000268
7.19143 1328 74.3306 2.039710 0.171814 0.004715
7.19369 1331 74.5645 2.043822 -0.014222 -0.000390
7.19519 1333 74.6626 2.044976 0.208419 0.005709
7.19744 1336 75.1036 2.054742 -0.042512 -0.001163
7.19893 1338 75.1051 2.053248 0.163032 0.004457
7.20117 1341 75.3715 2.058225 -0.086754 -0.002369
7.20266 1343 75.2846 2.054319 0.126357 0.003448
7.20489 1346 75.5312 2.058750 -0.076305 -0.002080
7.20638 1348 75.6346 2.060041 0.288987 0.007871
7.20860 1351 76.1613 2.072080 -0.016869 -0.000459
7.21008 1353 76.2184 2.072101 0.180237 0.004900
7.21229 1356 76.4376 2.075762 -0.082411 -0.002238
7.21377 1358 76.4948 2.075782 0.226081 0.006135
7.21598 1361 76.9251 2.085158 -0.022583 -0.000612
7.21744 1363 76.9957 2.085541 0.212223 0.005748
7.21964 1366 77.4148 2.094588 -0.064220 -0.001738
7.22111 1368 77.3729 2.091924 0.148885 0.004025
7.22330 1371 77.5846 2.095351 -0.089173 -0.002408
7.22548 1374 77.7470 2.097443 0.139978 0.003776
7.22694 1376 77.9771 2.102121 -0.023344 -0.000629
7.22911 1379 78.1667 2.104939 0.038400 0.001034
7.23056 1381 78.1770 2.103692 -0.083407 -0.002244
7.23273 1384 78.3750 2.106734 0.125857 0.003383
7.23418 1386 78.5522 2.109972 0.013348 0.000359
7.23634 1389 78.8555 2.115831 0.076638 0.002056
7.23850 1392 78.8868 2.114387 0.026795 0.000718
7.23993 1394 79.0730 2.117858 0.045981 0.001232
7.24208 1397 78.9516 2.112334 -0.015426 -0.000413
7.24351 1399 79.0778 2.114200 0.105180 0.002812
7.24566 1402 79.1260 2.113221 0.010716 0.000286
7.24708 1404 79.2632 2.115378 0.058949 0.001573
7.24922 1407 79.1011 2.108801 0.043747 0.001166
7.25134 1410 79.4520 2.115902 0.040081 0.001067
7.25276 1412 79.4187 2.113517 0.141195 0.003758
7.25488 1415 79.9343 2.124980 0.091971 0.002445
7.25700 1418 80.0712 2.126368 0.191601 0.005088
7.25841 1420 80.3410 2.132028 -0.035314 -0.000937
7.26052 1423 80.1941 2.125885 0.123720 0.003280
7.26263 1426 80.4409 2.130185 -0.045768 -0.001212
7.26403 1428 80.4417 2.128714 0.136232 0.003605
7.26613 1431 80.5218 2.128598 -0.196450 -0.005193
7.26753 1433 80.3449 2.122439 0.175580 0.004638
7.26962 1436 80.6082 2.127168 -0.086316 -0.002278
7.27170 1439 80.8110 2.130296 0.142989 0.003769
7.27309 1441 80.9835 2.133361 -0.016167 -0.000426
7.27517 1444 81.2426 2.137963 0.115844 0.003049
7.27725 1447 81.2651 2.136336 -0.014218 -0.000374
7.27932 1450 81.5541 2.141715 0.034320 0.000901
7.28070 1452 81.5921 2.141237 0.090236 0.002368
7.28276 1455 81.9930 2.149539 0.001603 0.000042
7.28482 1458 81.8974 2.144823 0.189557 0.004964
7.28619 1460 82.1631 2.150306 -0.037368 -0.000978
7.28824 1463 82.1464 2.147665 0.167985 0.004392
7.29029 1466 82.4789 2.154149 -0.029828 -0.000779
7.29166 1468 82.5839 2.155422 0.261361 0.006821
7.29370 1471 83.0362 2.165017 -0.068582 -0.001788
7.29574 1474 83.0901 2.164215 0.097048 0.002528
7.29777 1477 83.1964 2.164783 0.147493 0.003838
7.29912 1479 83.5812 2.173325 0.135096 0.003513
7.30115 1482 83.6555 2.173054 0.041251 0.001072
7.30317 1485 83.9998 2.179793 0.010144 0.000263
7.30519 1488 84.0603 2.179163 0.212450 0.005508
7.30653 1490 84.3724 2.185785 0.062438 0.001618
7.30854 1493 84.5596 2.188431 0.280558 0.007261
7.31055 1496 85.0608 2.199196 -0.018032 -0.000466
7.31255 1499 85.2663 2.202302 0.041561 0.001073
7.31455 1502 85.3312 2.201774 0.041425 0.001069
7.31588 1504 85.5928 2.207057 0.106795 0.002754
7.31788 1507 85.6063 2.205206 0.054550 0.001405
7.31986 1510 85.9469 2.211780 0.006385 0.000164
7.32185 1513 85.8811 2.207892 0.185312 0.004764
7.32383 1516 86.1699 2.213126 -0.041505 -0.001066
7.32515 1518 86.2453 2.213603 0.242140 0.006215
7.32712 1521 86.6658 2.222201 -0.063795 -0.001636
7.32909 1524 86.7665 2.222590 0.028220 0.000723
7.33106 1527 86.7777 2.220693 0.106565 0.002727
7.33302 1530 87.2339 2.230178 0.053374 0.001365
7.33498 1533 87.3009 2.229706 0.160278 0.004094
7.33629 1535 87.5746 2.235239 -0.000059 -0.000002
7.33824 1538 87.4725 2.230454 0.080304 0.002048
7.34019 1541 87.5300 2.229747 -0.180006 -0.004585
7.34213 1544 87.5727 2.228667 0.104908 0.002670
7.34407 1547 87.5470 2.225851 -0.022037 -0.000560
7.34601 1550 87.6667 2.226736 -0.069328 -0.001761
7.34794 1553 87.5289 2.221087 0.145478 0.003692
7.34923 1555 87.7408 2.225033 0.029928 0.000759
7.35116 1558 87.7382 2.222823 0.142165 0.003602
7.35308 1561 87.9645 2.226414 -0.065857 -0.001667
7.35500 1564 88.0387 2.226154 -0.000198 -0.000005
7.35692 1567 87.8528 2.219325 -0.001182 -0.000030
7.35883 1570 88.3823 2.230569 0.095144 0.002401
7.36074 1573 88.5310 2.232189 0.156555 0.003947
7.36265 1576 88.6972 2.234251 -0.157180 -0.003959
7.36455 1579 88.7635 2.233796 0.123766 0.003115
7.36645 1582 88.8713 2.234387 0.100251 0.002520
7.36834 1585 89.3182 2.243495 0.091127 0.002289
7.37023 1588 89.4511 2.244711 0.150684 0.003781
7.37149 1590 89.6390 2.248011 -0.043616 -0.001094
7.37337 1593 89.5334 2.243247 0.138782 0.003477
7.37526 1596 89.8965 2.250228 -0.051997 -0.001302
7.37713 1599 90.1338 2.254050 0.077926 0.001949
7.37901 1602 90.0317 2.249387 0.026032 0.000650
7.38088 1605 90.2567 2.252901 -0.032257 -0.000805
7.38275 1608 90.2289 2.250104 0.256020 0.006385
7.38461 1611 90.6684 2.258957 -0.017215 -0.000429
7.38647 1614 90.9823 2.264671 0.106356 0.002647
7.38833 1617 90.9609 2.262037 0.058212 0.001448
7.39018 1620 91.3339 2.269209 0.123156 0.003060
7.39203 1623 91.5995 2.273703 0.222787 0.005530
7.39388 1626 91.9388 2.280019 -0.100093 -0.002482
7.39572 1629 91.9934 2.279272 0.042408 0.001051
7.39756 1632 91.9584 2.276309 0.043263 0.001071
7.39940 1635 92.4029 2.285213 0.043901 0.001086
7.40123 1638 92.6515 2.289262 0.235613 0.005822
7.40306 1641 93.0179 2.296213 -0.068551 -0.001692
7.40550 1645 93.3335 2.301202 0.071709 0.001768
7.40732 1648 93.5620 2.304735 0.214801 0.005291
7.40914 1651 93.9217 2.311493 -0.092973 -0.002288
7.41095 1654 94.0058 2.311463 0.053588 0.001318
7.41276 1657 93.9145 2.307126 0.053621 0.001317
7.41457 1660 94.2803 2.314018 0.038855 0.000954
7.41638 1663 94.3270 2.313075 0.168976 0.004144
7.41818 1666 94.5279 2.315914 -0.118141 -0.002894
7.41998 1669 94.4856 2.312797 0.070303 0.001721
7.42178 1672 94.5866 2.313191 0.189481 0.004634
7.42357 1675 95.2599 2.327569 0.073501 0.001796
7.42536 1678 95.3399 2.327441 0.135763 0.003314
7.42774 1682 95.4041 2.326237 0.100775 0.002457
7.42952 1685 95.7832 2.333402 0.045280 0.001103
7.43130 1688 95.8492 2.332932 0.175392 0.004269
7.43308 1691 96.0593 2.335971 -0.140694 -0.003421
7.43485 1694 95.9469 2.331172 0.002912 0.000071
7.43662 1697 95.8642 2.327103 0.053648 0.001302
7.43838 1700 96.3133 2.335941 0.049482 0.001200
7.44073 1704 96.4357 2.336162 0.057042 0.001382
7.44249 1707 96.2800 2.330341 -0.016125 -0.000390
7.44425 1710 96.5470 2.334753 -0.015746 -0.000381
7.44600 1713 96.5349 2.332413 0.235209 0.005683
7.44775 1716 96.9014 2.339221 -0.104602 -0.002525
7.44950 1719 96.8882 2.336862 0.032363 0.000781
7.45182 1723 96.8350 2.332867 0.172677 0.004160
7.45356 1726 97.2179 2.340055 -0.031617 -0.000761
7.45530 1729 97.4477 2.343550 0.083383 0.002005
7.45703 1732 97.4994 2.342762 0.066108 0.001588
7.45876 1735 97.8996 2.350343 0.036938 0.000887
7.46107 1739 98.2216 2.355360 0.149406 0.003583
7.46279 1742 98.3312 2.355955 0.009535 0.000228
7.46451 1745 98.5144 2.358317 -0.049919 -0.001195
7.46623 1748 98.4157 2.353930 0.189870 0.004541
7.46851 1752 98.6522 2.356892 0.058327 0.001393
7.47022 1755 98.9116 2.361069 0.009146 0.000218
7.47193 1758 98.8813 2.358331 0.171078 0.004080
7.47364 1761 99.1470 2.362654 -0.078823 -0.001878
7.47591 1765 99.3953 2.365885 0.018311 0.000436
7.47760 1768 99.3098 2.361842 0.130956 0.003114
7.47930 1771 99.3934 2.361828 -0.180961 -0.004300
7.48156 1775 99.5607 2.363137 -0.009175 -0.000218
7.48324 1778 99.5581 2.361081 0.138251 0.003279
7.48493 1781 99.7199 2.362925 -0.055517 -0.001316
7.48661 1784 99.9654 2.366749 0.082962 0.001964
7.48885 1788 100.0560 2.366243 0.155153 0.003669
7.49053 1791 100.4774 2.374219 -0.031851 -0.000753
7.49220 1794 100.6938 2.377340 0.080012 0.001889
7.49443 1798 100.6103 2.372726 0.142305 0.003356
7.49610 1801 100.8517 2.376436 -0.116993 -0.002757
7.49776 1804 100.9448 2.376652 0.036431 0.000858
7.49998 1808 100.8120 2.370900 0.138028 0.003246
7.50163 1811 100.9299 2.371705 -0.159438 -0.003747
7.50384 1815 100.9578 2.369745 0.102680 0.002410
7.50549 1818 101.1253 2.371718 0.225141 0.005280
7.50714 1821 101.5590 2.379926 -0.051106 -0.001198
7.50934 1825 101.8509 2.384150 0.080260 0.001879
7.51098 1828 101.9528 2.384576 0.247470 0.005788
7.51262 1831 102.3683 2.392332 -0.084953 -0.001985
7.51480 1835 102.7939 2.399658 0.023123 0.000540
7.51643 1838 102.7715 2.397177 0.199302 0.004649
7.51861 1842 103.2034 2.404635 0.133161 0.003103
7.52023 1845 103.8048 2.416681 0.095084 0.002214
7.52240 1849 104.1082 2.421121 0.108347 0.002520
7.52402 1852 104.1696 2.420587 0.061190 0.001422
7.52564 1855 104.5264 2.426913 0.028604 0.000664
7.52779 1859 104.8909 2.432755 0.122598 0.002843
7.52941 1862 104.9203 2.431474 -0.016402 -0.000380
7.53155 1866 104.9595 2.429775 -0.115807 -0.002681
7.53316 1869 105.1389 2.431974 0.118732 0.002746
7.53530 1873 105.1607 2.429880 0.119773 0.002768
7.53690 1876 105.3064 2.431298 -0.157334 -0.003633
7.53903 1880 105.4203 2.431338 0.034419 0.000794
7.54062 1883 105.4974 2.431177 0.241668 0.005569
7.54274 1887 105.8320 2.436303 0.015665 0.000361
7.54433 1890 105.9406 2.436865 -0.046416 -0.001068
7.54645 1894 106.0350 2.436459 0.140199 0.003221
7.54803 1897 106.1672 2.437568 0.068842 0.001581
7.55014 1901 106.4208 2.440819 -0.126387 -0.002899
7.55171 1904 106.5398 2.441621 0.108829 0.002494
7.55381 1908 106.7103 2.442965 0.252956 0.005791
7.55538 1911 107.1484 2.451069 -0.075375 -0.001724
7.55747 1915 107.2027 2.449747 -0.113332 -0.002590
7.55904 1918 106.9466 2.441982 0.210424 0.004805
7.56112 1922 107.3402 2.448418 0.037512 0.000856
7.56320 1926 107.5056 2.449643 -0.096832 -0.002206
7.56476 1929 107.4770 2.447087 0.068477 0.001559
7.56683 1933 107.6051 2.447467 0.240268 0.005465
7.56838 1936 108.1030 2.456886 -0.006980 -0.000159
7.57044 1940 108.4549 2.462341 -0.030632 -0.000695
7.57250 1944 108.6851 2.465027 0.161718 0.003668
7.57405 1947 108.9852 2.469930 0.098764 0.002238
7.57610 1951 109.3004 2.474531 -0.095797 -0.002169
7.57763 1954 109.2782 2.472129 -0.026225 -0.000593
7.57968 1958 109.1982 2.467795 0.219581 0.004962
7.58172 1962 109.7208 2.477077 0.098494 0.002224
7.58325 1965 110.1151 2.484080 -0.018675 -0.000421
7.58528 1969 110.2393 2.484355 0.177542 0.004001
7.58731 1973 110.6294 2.490616 0.207017 0.004661
7.58883 1976 110.9113 2.495067 -0.073287 -0.001649
7.59085 1980 111.0259 2.495121 -0.097036 -0.002181
7.59287 1984 110.8990 2.489755 0.121063 0.002718
7.59438 1987 111.0545 2.491363 0.047587 0.001068
7.59639 1991 111.2326 2.492853 -0.153146 -0.003432
7.59840 1995 111.3949 2.493986 0.042702 0.000956
7.59990 1998 111.4868 2.494169 0.216663 0.004847
7.60190 2002 111.7320 2.497155 0.083093 0.001857
7.60390 2006 112.0397 2.501535 -0.142492 -0.003181
7.60589 2010 112.2051 2.502733 0.100992 0.002253
7.60738 2013 112.3779 2.504718 0.228110 0.005084
7.60937 2017 112.6350 2.507959 0.004453 0.000099
7.61135 2021 113.1592 2.517135 0.023474 0.000522
7.61332 2025 113.7729 2.528287 0.080575 0.001791
7.61481 2028 113.9447 2.530230 0.210593 0.004676
7.61678 2032 114.2087 2.533595 0.034835 0.000773
7.61874 2036 114.5438 2.538532 0.013318 0.000295
7.62071 2040 115.0070 2.546299 -0.002064 -0.000046
7.62217 2043 115.0225 2.544771 0.205818 0.004554
7.62413 2047 115.4822 2.552443 0.150440 0.003325
7.62608 2051 116.1862 2.565497 -0.013488 -0.000298
7.62803 2055 116.5927 2.571968 0.002995 0.000066
7.62998 2059 116.6257 2.570195 0.114853 0.002531
7.63143 2062 116.6971 2.569897 0.131436 0.002894
7.63337 2066 117.2007 2.578488 -0.075970 -0.001671
7.63530 2070 117.3185 2.578585 -0.012099 -0.000266
7.63723 2074 117.5304 2.580750 0.079939 0.001755
7.63916 2078 117.6822 2.581595 0.250830 0.005502
7.64108 2082 118.0161 2.586431 0.078202 0.001714
7.64300 2086 118.3423 2.591092 -0.081330 -0.001781
7.64444 2089 118.5917 2.594688 0.142497 0.003118
7.64635 2093 118.7896 2.596533 0.170597 0.003729
7.64826 2097 118.9085 2.596652 -0.002049 -0.000045
7.65017 2101 119.1798 2.600097 -0.018754 -0.000409
7.65207 2105 119.5984 2.606750 0.083374 0.001817
7.65397 2109 119.9330 2.611562 0.072761 0.001584
7.65586 2113 120.0105 2.610775 0.194031 0.004221
7.65776 2117 120.3912 2.616582 0.043864 0.000953
7.65964 2121 120.6082 2.618826 -0.110060 -0.002390
7.66153 2125 120.6409 2.617068 -0.040334 -0.000875
7.66341 2129 120.5976 2.613671 0.100285 0.002173
7.66528 2133 120.6088 2.611460 0.114013 0.002469
7.66669 2136 120.6893 2.611368 -0.187042 -0.004047
7.66856 2140 120.6785 2.608693 0.027756 0.000600
7.67043 2144 120.8459 2.609875 0.075689 0.001635
7.67229 2148 120.8309 2.607119 0.108751 0.002346
7.67415 2152 120.7826 2.603653 -0.014568 -0.000314
7.67601 2156 121.0258 2.606475 -0.076844 -0.001655
7.67786 2160 121.2400 2.608669 -0.046763 -0.001006
7.67971 2164 121.2271 2.605980 0.167801 0.003607
7.68156 2168 121.5800 2.611154 0.241110 0.005178
7.68340 2172 121.9217 2.616081 0.083915 0.001801
7.68570 2177 122.0872 2.616623 0.029040 0.000622
7.68754 2181 122.3430 2.619698 -0.081576 -0.001747
7.68937 2185 122.5862 2.622502 -0.032960 -0.000705
7.69120 2189 122.4717 2.617658 0.135886 0.002904
