D=-3 H=10000000: mean of G over n ≤ H: 12.692
   Y      u-range (capped at H/Y)   #u   mean_u (1/Y)Σ G   max_u   max/(log Y)^2
  100  [1.0e+0, 1.0e+1]     2      3.801      4.05   0.191
  100  [1.0e+1, 1.0e+2]    11      6.323      7.52   0.355
  100  [1.0e+2, 1.0e+4]   400      9.390     12.35   0.583
  100  [1.0e+4, 1.0e+5]   400     11.314     14.97   0.706
  300  [1.0e+0, 1.7e+1]     3      4.927      5.86   0.180
  300  [1.7e+1, 3.0e+2]    31      7.851      9.30   0.286
  300  [3.0e+2, 9.0e+4]   400     11.050     13.88   0.427
 1000  [1.0e+0, 3.2e+1]     5      6.413      8.00   0.168
 1000  [3.2e+1, 1.0e+3]   100      9.485     11.05   0.232
 1000  [1.0e+3, 1.0e+6]   400     11.115     13.22   0.277
 3000  [1.0e+0, 5.5e+1]     7      7.649      9.08   0.142
 3000  [5.5e+1, 3.0e+3]   290     10.960     12.77   0.199
 3000  [3.0e+3, 9.0e+6]    32     11.862     12.85   0.201
