q off qoff
3 -1.83173 -5.49519
5 -0.9141 -4.57050
7 -0.46786 -3.27502
11 -0.23979 -2.63769
13 -0.19304 -2.50952
17 -0.13901 -2.36317
19 -0.12197 -2.31743
23 -0.09797 -2.25331
29 -0.07567 -2.19443
31 -0.07034 -2.18054
37 -0.05807 -2.14859
41 -0.05202 -2.13282
43 -0.04944 -2.12592
