q N qoff qtact qtexp
3 1 -6.2773 -0.0000 6.2773
3 2 -7.4768 4.8259 12.3027
5 1 -0.5192 0.1292 0.6485
5 2 0.1232 1.1321 1.0090
7 1 -2.2917 1.1313 3.4231
7 2 -2.2543 2.2854 4.5396
11 1 -1.3032 1.4273 2.7304
11 2 -1.7640 2.1287 3.8927
13 1 -3.2739 0.9993 4.2734
13 2 -3.1386 3.5846 6.7232
17 1 -1.0032 0.6939 1.6969
17 2 -0.7883 1.6789 2.4672
19 1 -1.3553 1.0150 2.3704
19 2 -1.3106 2.1637 3.4743
23 1 -1.1670 1.1300 2.2970
23 2 -1.2556 2.1282 3.3838
