q N off Tact Texp sqrtq_off
3 1 -1.830634822259247 0 1.830634822259247 -3.1707525222578368
3 2 -0.6911315670267459 1.6002576332503313 2.2913892002770773 -1.197074988805019
3 3 -1.691176192404415 1.8781115136707025 3.5692877060751176 -2.929203089795326
3 4 -1.9012060703315177 0.942714539606067 2.8439206099375847 -3.292985509472557
5 1 -0.9140487946803683 0 0.9140487946803683 -2.043875239657052
5 2 -0.6380169124515186 0.10627640705271146 0.74429331950423 -1.4266491870361275
5 3 -0.5126178790734118 0.689980762309992 1.2025986413834038 -1.1462484240899158
5 4 -0.5842633926497491 0.7802267193967718 1.364490112046521 -1.3064526627294901
7 1 -0.4678512322713049 0 0.4678512322713049 -1.2378180111649892
7 2 -0.2076129285814926 0.351990489856123 0.5596034184376156 -0.5492921779884433
7 3 -0.2914792128262369 0.4100527530512714 0.7015319658775083 -0.7711815094830912
7 4 -0.319318272681668 0.5578814134194211 0.8771996861010891 -0.8448367385944037
11 1 -0.23980012311113696 0 0.23980012311113696 -0.7953270330406736
11 2 -0.17808050917985221 0.1448236195273138 0.322904128707166 -0.5906262314250103
11 3 -0.14934008805901733 0.2637721089804357 0.413112197039453 -0.4953050382503953
11 4 -0.14695288715164256 0.35981864851364587 0.5067715356652884 -0.48738758854143727
