q off qoff
3 -0.69645 -2.08935
5 -0.63837 -3.19185
7 -0.2077 -1.45390
11 -0.17791 -1.95701
13 -0.17335 -2.25355
17 -0.12882 -2.18994
19 -0.10651 -2.02369
23 -0.08807 -2.02561
29 -0.07269 -2.10801
31 -0.06527 -2.02337
37 -0.05632 -2.08384
41 -0.05062 -2.07542
43 -0.04696 -2.01928
