u x resid pred residB
9.210340372 10000 1.447938597 -0.02159773083 1.471175896
9.212365781 10020.27461 1.446390898 -0.02065933604 1.469655925
9.21439119 10040.59034 1.444852098 -0.01967264378 1.468144883
9.216416599 10060.94725 1.443327796 -0.01863955237 1.466648371
9.218442008 10081.34543 1.441822974 -0.01756216181 1.465171369
9.220467417 10101.78497 1.440337904 -0.01644276204 1.46371415
9.222492826 10122.26595 1.438869445 -0.01528382029 1.462273572
9.224518235 10142.78845 1.437408865 -0.01408796766 1.460840904
9.226543644 10163.35256 1.435945403 -0.01285798503 1.459405385
9.228569053 10183.95837 1.434482756 -0.01159678836 1.457970712
9.230594461 10204.60595 1.433025678 -0.01030741358 1.456541639
9.23261987 10225.2954 1.431574416 -0.008993001095 1.455118412
9.234645279 10246.02679 1.430132697 -0.007656780045 1.453704759
9.236670688 10266.80022 1.428699016 -0.00630205248 1.452299176
9.238696097 10287.61576 1.427270051 -0.004932177489 1.45089834
9.240721506 10308.4735 1.425853142 -0.003550555446 1.449509589
9.242746915 10329.37354 1.424453449 -0.002160612451 1.448138087
9.244772324 10350.31594 1.423066523 -0.0007657850982 1.446779382
9.246797733 10371.30081 1.421680525 0.000630494368 1.445421637
9.248823142 10392.32822 1.420281073 0.002024812373 1.444050468
9.250848551 10413.39827 1.41886637 0.003413787751 1.44266408
9.25287396 10434.51103 1.417442995 0.004794084802 1.441269051
9.254899369 10455.6666 1.416018795 0.006162425608 1.439873228
9.256924778 10476.86506 1.414601152 0.007515601519 1.438483993
9.258950187 10498.1065 1.413189245 0.008850483776 1.437100525
9.260975596 10519.39101 1.411773644 0.0101640332 1.435713395
9.263001005 10540.71867 1.410343476 0.01145330889 1.434311729
9.265026414 10562.08957 1.408893145 0.012715476 1.432889932
9.267051823 10583.5038 1.407428445 0.01394781237 1.431453796
9.269077231 10604.96145 1.405948935 0.01514771418 1.430002883
9.27110264 10626.4626 1.404447953 0.01631270061 1.428530529
9.273128049 10648.00734 1.402915635 0.01744041734 1.42702687
9.275153458 10669.59576 1.401333188 0.01852863913 1.425473113
9.277178867 10691.22796 1.39968793 0.01957527132 1.423856577
9.279204276 10712.90401 1.397981636 0.02057835038 1.422179037
9.281229685 10734.62401 1.396212831 0.02153604351 1.420439018
9.283255094 10756.38805 1.394387141 0.0224466474 1.418642144
9.285280503 10778.19621 1.392516379 0.02330858605 1.416800231
9.287305912 10800.04859 1.390602492 0.02412040787 1.414915224
9.289331321 10821.94527 1.388648254 0.0248807821 1.412989898
9.29135673 10843.88635 1.386661347 0.02558849446 1.411031934
9.293382139 10865.87191 1.384641556 0.02624244241 1.409041118
9.295407548 10887.90205 1.38258147 0.02684162973 1.40701004
9.297432957 10909.97685 1.3804718 0.0273851608 1.404929409
9.299458366 10932.09641 1.378304895 0.02787223458 1.402791574
9.301483775 10954.26081 1.376080114 0.02830213823 1.400595896
9.303509184 10976.47015 1.373796821 0.02867424068 1.398341737
9.305534593 10998.72452 1.371450191 0.02898798612 1.396024274
9.307560001 11021.02401 1.36903037 0.02924288742 1.393633652
9.30958541 11043.36871 1.366519821 0.02943851976 1.391152333
9.311610819 11065.75872 1.363903188 0.0295745144 1.388564963
9.313636228 11088.19412 1.36118453 0.02965055264 1.385875599
9.315661637 11110.675 1.358379057 0.02966636019 1.383099453
9.317687046 11133.20147 1.355500942 0.02962170192 1.380250697
9.319712455 11155.77361 1.352561768 0.02951637702 1.377340913
9.321737864 11178.39151 1.349567596 0.02935021474 1.374376164
9.323763273 11201.05527 1.346518272 0.02912307061 1.371356296
9.325788682 11223.76497 1.343420126 0.02883482339 1.368287637
9.327814091 11246.52073 1.340278465 0.02848537249 1.365175496
9.3298395 11269.32261 1.337102003 0.02807463625 1.362028586
9.331864909 11292.17073 1.333896679 0.02760255072 1.358852846
9.333890318 11315.06517 1.330656054 0.02706906932 1.355641838
9.335915727 11338.00603 1.327374504 0.02647416303 1.352389938
9.337941136 11360.9934 1.324064791 0.02581782144 1.349109905
9.339966545 11384.02738 1.320733011 0.02510005437 1.345807839
9.341991954 11407.10805 1.31737546 0.02432089418 1.342480035
9.344017363 11430.23553 1.313989997 0.02348039879 1.339124351
9.346042771 11453.40989 1.310570962 0.02257865519 1.335735128
9.34806818 11476.63124 1.307115865 0.02161578359 1.332309875
9.350093589 11499.89966 1.303626731 0.02059194203 1.328850618
9.352118998 11523.21527 1.300106746 0.01950733149 1.325360541
9.354144407 11546.57814 1.296549847 0.01836220132 1.321833584
9.356169816 11569.98838 1.292939589 0.01715685508 1.318253301
9.358195225 11593.44609 1.289266239 0.01589165655 1.314609958
9.360220634 11616.95135 1.285541017 0.01456703599 1.310914776
9.362246043 11640.50428 1.281778697 0.01318349642 1.307182529
9.364271452 11664.10495 1.277987164 0.01174162002 1.303421102
9.366296861 11687.75347 1.27416771 0.01024207434 1.299631786
9.36832227 11711.44994 1.270317685 0.008685618511 1.295811933
9.370347679 11735.19446 1.266437204 0.007073109108 1.291961656
9.372373088 11758.98711 1.262535879 0.005405505772 1.288090568
9.374398497 11782.828 1.258624345 0.003683876418 1.284209304
9.376423906 11806.71723 1.254706112 0.001909401993 1.280321374
9.378449315 11830.6549 1.250774312 8.33806894e-05 1.27641991
9.380474724 11854.6411 1.246815589 -0.001792768448 1.272491556
9.382500133 11878.67592 1.242832011 -0.003717502588 1.26853838
9.384525541 11902.75948 1.238820671 -0.005689152905 1.264557476
