om p1 p2 p3
2.760 6.63460e-3 3.08690e-3 3.08629e+5
2.780 6.67804e-3 2.81037e-3 3.10451e+5
2.800 6.71767e-3 2.55427e-3 3.12008e+5
2.820 6.75332e-3 2.31848e-3 3.13118e+5
2.840 6.78479e-3 2.10278e-3 3.13628e+5
2.860 6.81196e-3 1.90679e-3 3.13410e+5
2.880 6.83468e-3 1.73007e-3 3.12364e+5
2.900 6.85285e-3 1.57206e-3 3.10418e+5
2.920 6.86638e-3 1.43215e-3 3.07525e+5
2.940 6.87519e-3 1.30964e-3 3.03668e+5
2.960 6.87924e-3 1.20382e-3 2.98848e+5
2.980 6.87850e-3 1.11391e-3 2.93095e+5
3.000 6.87295e-3 1.03912e-3 2.86453e+5
3.020 6.86261e-3 9.78639e-4 2.78990e+5
3.040 6.84749e-3 9.31652e-4 2.70784e+5
3.060 6.82764e-3 8.97331e-4 2.61929e+5
3.080 6.80313e-3 8.74852e-4 2.52528e+5
3.100 6.77402e-3 8.63399e-4 2.42693e+5
3.120 6.74041e-3 8.62163e-4 2.32538e+5
3.140 6.70241e-3 8.70346e-4 2.22181e+5
3.160 6.66013e-3 8.87166e-4 2.11739e+5
3.180 6.61371e-3 9.11854e-4 2.01326e+5
3.200 6.56331e-3 9.43655e-4 1.91052e+5
3.220 6.50906e-3 9.81832e-4 1.81019e+5
3.240 6.45116e-3 1.02566e-3 1.71322e+5
3.260 6.38976e-3 1.07443e-3 1.62045e+5
3.280 6.32507e-3 1.12746e-3 1.53263e+5
3.300 6.25727e-3 1.18405e-3 1.45036e+5
3.320 6.18657e-3 1.24356e-3 1.37415e+5
3.340 6.11318e-3 1.30532e-3 1.30436e+5
3.360 6.03732e-3 1.36870e-3 1.24125e+5
3.380 5.95920e-3 1.43307e-3 1.18492e+5
3.400 5.87905e-3 1.49784e-3 1.13537e+5
3.420 5.79710e-3 1.56241e-3 1.09249e+5
3.440 5.71357e-3 1.62620e-3 1.05607e+5
3.460 5.62871e-3 1.68866e-3 1.02577e+5
3.480 5.54274e-3 1.74924e-3 1.00121e+5
3.500 5.45590e-3 1.80745e-3 9.81901e+4
3.520 5.36842e-3 1.86278e-3 9.67318e+4
3.540 5.28055e-3 1.91477e-3 9.56880e+4
3.560 5.19252e-3 1.96298e-3 9.49974e+4
3.580 5.10456e-3 2.00701e-3 9.45969e+4
3.600 5.01690e-3 2.04650e-3 9.44228e+4
3.620 4.92979e-3 2.08109e-3 9.44119e+4
3.640 4.84344e-3 2.11050e-3 9.45027e+4
3.660 4.75810e-3 2.13446e-3 9.46370e+4
3.680 4.67398e-3 2.15278e-3 9.47598e+4
3.700 4.59132e-3 2.16526e-3 9.48212e+4
3.720 4.51033e-3 2.17180e-3 9.47765e+4
3.740 4.43124e-3 2.17230e-3 9.45870e+4
3.760 4.35426e-3 2.16676e-3 9.42200e+4
3.780 4.27962e-3 2.15517e-3 9.36498e+4
3.800 4.20753e-3 2.13761e-3 9.28571e+4
3.820 4.13820e-3 2.11419e-3 9.18295e+4
3.840 4.07185e-3 2.08508e-3 9.05611e+4
3.860 4.00867e-3 2.05047e-3 8.90521e+4
3.880 3.94888e-3 2.01062e-3 8.73089e+4
3.900 3.89269e-3 1.96583e-3 8.53433e+4
3.920 3.84029e-3 1.91642e-3 8.31717e+4
3.940 3.79188e-3 1.86275e-3 8.08152e+4
3.960 3.74767e-3 1.80524e-3 7.82982e+4
3.980 3.70785e-3 1.74431e-3 7.56482e+4
4.000 3.67261e-3 1.68041e-3 7.28946e+4
4.020 3.64214e-3 1.61403e-3 7.00685e+4
4.040 3.61663e-3 1.54566e-3 6.72016e+4
4.060 3.59626e-3 1.47580e-3 6.43256e+4
4.080 3.58121e-3 1.40499e-3 6.14716e+4
4.100 3.57166e-3 1.33373e-3 5.86692e+4
4.120 3.56777e-3 1.26256e-3 5.59464e+4
4.140 3.56970e-3 1.19199e-3 5.33289e+4
4.160 3.57762e-3 1.12253e-3 5.08393e+4
