rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.4581 0.3375 0.0297 0.9121 0.3619 0.0088 -0.5240 -0.7515 0.1888 50 1 240 9.88
0.5161 0.2993 0.0245 0.8933 0.2964 0.0089 -0.5268 -0.7361 0.2189 100 1 240 18.92
0.5641 0.2836 0.0301 1.0449 0.2462 0.0087 -0.4768 -0.6831 0.1714 200 1 240 35.94
0.6030 0.2682 0.0235 1.1298 0.2104 0.0083 -0.4824 -0.6746 0.2014 400 1 240 67.94
0.6346 0.2121 0.0178 1.0319 0.1847 0.0078 -0.4279 -0.6166 0.1481 800 1 240 128.14
0.6606 0.1769 0.0160 0.9071 0.1663 0.0073 -0.4362 -0.6134 0.1756 1600 1 240 241.58
0.6824 0.1797 0.0153 0.9618 0.1531 0.0068 -0.4013 -0.5776 0.1388 3200 1 240 455.89
