om p1 p2
14.440 1.83297e+0 8.54629e-2
14.460 1.83913e+0 7.65830e-2
14.480 1.84351e+0 6.77468e-2
14.500 1.84610e+0 5.90669e-2
14.520 1.84688e+0 5.06538e-2
14.540 1.84583e+0 4.26141e-2
14.560 1.84294e+0 3.50485e-2
14.580 1.83822e+0 2.80503e-2
14.600 1.83168e+0 2.17036e-2
14.620 1.82333e+0 1.60819e-2
14.640 1.81318e+0 1.12469e-2
14.660 1.80127e+0 7.24737e-3
14.680 1.78762e+0 4.11872e-3
14.700 1.77229e+0 1.88212e-3
14.720 1.75530e+0 5.44538e-4
14.740 1.73672e+0 9.87116e-5
14.760 1.71659e+0 5.23500e-4
14.780 1.69497e+0 1.78448e-3
14.800 1.67194e+0 3.83478e-3
14.820 1.64755e+0 6.61618e-3
14.840 1.62187e+0 1.00603e-2
14.860 1.59499e+0 1.40902e-2
14.880 1.56697e+0 1.86217e-2
14.900 1.53790e+0 2.35654e-2
14.920 1.50785e+0 2.88279e-2
14.940 1.47690e+0 3.43144e-2
14.960 1.44514e+0 3.99294e-2
14.980 1.41265e+0 4.55793e-2
15.000 1.37951e+0 5.11737e-2
15.020 1.34580e+0 5.66266e-2
15.040 1.31160e+0 6.18583e-2
15.060 1.27698e+0 6.67963e-2
15.080 1.24204e+0 7.13762e-2
15.100 1.20683e+0 7.55428e-2
15.120 1.17144e+0 7.92504e-2
15.140 1.13594e+0 8.24635e-2
15.160 1.10039e+0 8.51564e-2
15.180 1.06486e+0 8.73138e-2
15.200 1.02941e+0 8.89300e-2
15.220 9.94101e-1 9.00086e-2
15.240 9.58990e-1 9.05620e-2
15.260 9.24128e-1 9.06104e-2
15.280 8.89565e-1 9.01810e-2
15.300 8.55348e-1 8.93072e-2
15.320 8.21520e-1 8.80269e-2
15.340 7.88120e-1 8.63822e-2
15.360 7.55185e-1 8.44177e-2
15.380 7.22748e-1 8.21796e-2
15.400 6.90840e-1 7.97145e-2
15.420 6.59489e-1 7.70686e-2
15.440 6.28720e-1 7.42866e-2
15.460 5.98555e-1 7.14110e-2
15.480 5.69014e-1 6.84814e-2
15.500 5.40115e-1 6.55338e-2
15.520 5.11874e-1 6.26003e-2
15.540 4.84304e-1 5.97090e-2
15.560 4.57419e-1 5.68832e-2
15.580 4.31229e-1 5.41421e-2
15.600 4.05744e-1 5.15007e-2
15.620 3.80972e-1 4.89697e-2
15.640 3.56922e-1 4.65562e-2
15.660 3.33600e-1 4.42639e-2
15.680 3.11014e-1 4.20938e-2
15.700 2.89170e-1 4.00442e-2
15.720 2.68075e-1 3.81119e-2
15.740 2.47734e-1 3.62922e-2
15.760 2.28155e-1 3.45798e-2
15.780 2.09345e-1 3.29691e-2
15.800 1.91311e-1 3.14546e-2
15.820 1.74061e-1 3.00315e-2
15.840 1.57604e-1 2.86961e-2
15.860 1.41949e-1 2.74455e-2
15.880 1.27106e-1 2.62784e-2
15.900 1.13086e-1 2.51949e-2
15.920 9.99001e-2 2.41963e-2
15.940 8.75604e-2 2.32854e-2
15.960 7.60795e-2 2.24661e-2
15.980 6.54706e-2 2.17429e-2
16.000 5.57474e-2 2.11211e-2
16.020 4.69235e-2 2.06062e-2
16.040 3.90131e-2 2.02033e-2
16.060 3.20299e-2 1.99170e-2
16.080 2.59878e-2 1.97509e-2
16.100 2.08998e-2 1.97073e-2
16.120 1.67785e-2 1.97866e-2
16.140 1.36354e-2 1.99871e-2
16.160 1.14809e-2 2.03048e-2
16.180 1.03237e-2 2.07331e-2
16.200 1.01710e-2 2.12629e-2
16.220 1.10278e-2 2.18823e-2
16.240 1.28968e-2 2.25768e-2
16.260 1.57780e-2 2.33294e-2
16.280 1.96687e-2 2.41209e-2
16.300 2.45628e-2 2.49301e-2
16.320 3.04510e-2 2.57343e-2
16.340 3.73203e-2 2.65098e-2
16.360 4.51537e-2 2.72325e-2
16.380 5.39304e-2 2.78779e-2
16.400 6.36252e-2 2.84227e-2
16.420 7.42087e-2 2.88444e-2
16.440 8.56472e-2 2.91227e-2
16.460 9.79024e-2 2.92395e-2
16.480 1.10932e-1 2.91797e-2
16.500 1.24688e-1 2.89320e-2
16.520 1.39119e-1 2.84887e-2
16.540 1.54171e-1 2.78467e-2
16.560 1.69783e-1 2.70070e-2
16.580 1.85893e-1 2.59757e-2
16.600 2.02434e-1 2.47635e-2
16.620 2.19335e-1 2.33858e-2
16.640 2.36526e-1 2.18624e-2
16.660 2.53930e-1 2.02175e-2
16.680 2.71472e-1 1.84789e-2
16.700 2.89074e-1 1.66779e-2
16.720 3.06658e-1 1.48483e-2
16.740 3.24145e-1 1.30262e-2
16.760 3.41456e-1 1.12490e-2
16.780 3.58516e-1 9.55440e-3
16.800 3.75249e-1 7.98016e-3
16.820 3.91581e-1 6.56281e-3
16.840 4.07444e-1 5.33705e-3
16.860 4.22771e-1 4.33490e-3
16.880 4.37501e-1 3.58500e-3
16.900 4.51577e-1 3.11188e-3
16.920 4.64947e-1 2.93541e-3
16.940 4.77567e-1 3.07027e-3
16.960 4.89397e-1 3.52554e-3
16.980 5.00407e-1 4.30442e-3
17.000 5.10573e-1 5.40404e-3
17.020 5.19877e-1 6.81544e-3
17.040 5.28312e-1 8.52364e-3
17.060 5.35879e-1 1.05079e-2
17.080 5.42585e-1 1.27418e-2
17.100 5.48447e-1 1.51942e-2
17.120 5.53492e-1 1.78292e-2
17.140 5.57753e-1 2.06073e-2
17.160 5.61271e-1 2.34857e-2
17.180 5.64098e-1 2.64193e-2
17.200 5.66290e-1 2.93617e-2
17.220 5.67913e-1 3.22655e-2
17.240 5.69038e-1 3.50841e-2
17.260 5.69741e-1 3.77716e-2
17.280 5.70107e-1 4.02842e-2
17.300 5.70222e-1 4.25809e-2
17.320 5.70179e-1 4.46244e-2
17.340 5.70072e-1 4.63814e-2
17.360 5.69999e-1 4.78233e-2
17.380 5.70058e-1 4.89271e-2
17.400 5.70348e-1 4.96753e-2
17.420 5.70969e-1 5.00562e-2
17.440 5.72019e-1 5.00645e-2
17.460 5.73592e-1 4.97008e-2
17.480 5.75782e-1 4.89717e-2
17.500 5.78677e-1 4.78899e-2
17.520 5.82361e-1 4.64734e-2
17.540 5.86913e-1 4.47455e-2
17.560 5.92404e-1 4.27343e-2
17.580 5.98899e-1 4.04717e-2
17.600 6.06455e-1 3.79933e-2
17.620 6.15122e-1 3.53375e-2
17.640 6.24939e-1 3.25449e-2
17.660 6.35938e-1 2.96573e-2
17.680 6.48140e-1 2.67172e-2
17.700 6.61556e-1 2.37673e-2
17.720 6.76189e-1 2.08493e-2
17.740 6.92031e-1 1.80035e-2
17.760 7.09064e-1 1.52682e-2
17.780 7.27259e-1 1.26792e-2
17.800 7.46579e-1 1.02693e-2
17.820 7.66977e-1 8.06763e-3
17.840 7.88399e-1 6.09971e-3
17.860 8.10779e-1 4.38697e-3
17.880 8.34046e-1 2.94662e-3
17.900 8.58119e-1 1.79159e-3
17.920 8.82914e-1 9.30545e-4
17.940 9.08338e-1 3.67897e-4
17.960 9.34294e-1 1.03994e-4
17.980 9.60680e-1 1.35307e-4
18.000 9.87392e-1 4.54685e-4
18.020 1.01432e+0 1.05167e-3
18.040 1.04136e+0 1.91281e-3
18.060 1.06839e+0 3.02207e-3
18.080 1.09531e+0 4.36119e-3
18.100 1.12200e+0 5.91007e-3
18.120 1.14837e+0 7.64719e-3
18.140 1.17429e+0 9.54998e-3
18.160 1.19968e+0 1.15952e-2
18.180 1.22442e+0 1.37592e-2
18.200 1.24843e+0 1.60185e-2
18.220 1.27162e+0 1.83496e-2
18.240 1.29390e+0 2.07299e-2
18.260 1.31520e+0 2.31371e-2
18.280 1.33544e+0 2.55503e-2
18.300 1.35456e+0 2.79491e-2
18.320 1.37251e+0 3.03147e-2
18.340 1.38924e+0 3.26293e-2
18.360 1.40471e+0 3.48764e-2
18.380 1.41887e+0 3.70407e-2
18.400 1.43172e+0 3.91082e-2
18.420 1.44322e+0 4.10661e-2
18.440 1.45338e+0 4.29028e-2
18.460 1.46218e+0 4.46078e-2
18.480 1.46964e+0 4.61716e-2
18.500 1.47576e+0 4.75857e-2
18.520 1.48056e+0 4.88427e-2
18.540 1.48406e+0 4.99360e-2
18.560 1.48630e+0 5.08598e-2
18.580 1.48730e+0 5.16093e-2
18.600 1.48711e+0 5.21805e-2
18.620 1.48577e+0 5.25701e-2
18.640 1.48333e+0 5.27760e-2
18.660 1.47983e+0 5.27966e-2
18.680 1.47533e+0 5.26316e-2
18.700 1.46987e+0 5.22815e-2
18.720 1.46352e+0 5.17478e-2
18.740 1.45634e+0 5.10333e-2
18.760 1.44836e+0 5.01417e-2
18.780 1.43966e+0 4.90782e-2
18.800 1.43028e+0 4.78492e-2
18.820 1.42028e+0 4.64621e-2
18.840 1.40971e+0 4.49260e-2
18.860 1.39862e+0 4.32511e-2
18.880 1.38706e+0 4.14489e-2
18.900 1.37506e+0 3.95321e-2
18.920 1.36268e+0 3.75147e-2
18.940 1.34994e+0 3.54117e-2
18.960 1.33689e+0 3.32390e-2
18.980 1.32355e+0 3.10134e-2
19.000 1.30996e+0 2.87524e-2
19.020 1.29612e+0 2.64739e-2
19.040 1.28208e+0 2.41961e-2
19.060 1.26783e+0 2.19374e-2
19.080 1.25340e+0 1.97158e-2
19.100 1.23879e+0 1.75492e-2
19.120 1.22401e+0 1.54547e-2
19.140 1.20906e+0 1.34487e-2
19.160 1.19394e+0 1.15466e-2
19.180 1.17864e+0 9.76244e-3
19.200 1.16317e+0 8.10891e-3
19.220 1.14751e+0 6.59711e-3
19.240 1.13164e+0 5.23644e-3
19.260 1.11557e+0 4.03446e-3
19.280 1.09927e+0 2.99677e-3
19.300 1.08273e+0 2.12705e-3
19.320 1.06594e+0 1.42694e-3
19.340 1.04888e+0 8.96133e-4
19.360 1.03152e+0 5.32344e-4
19.380 1.01387e+0 3.31436e-4
19.400 9.95893e-1 2.87495e-4
19.420 9.77585e-1 3.92963e-4
19.440 9.58929e-1 6.38786e-4
19.460 9.39915e-1 1.01459e-3
19.480 9.20531e-1 1.50885e-3
19.500 9.00768e-1 2.10911e-3
19.520 8.80622e-1 2.80219e-3
19.540 8.60089e-1 3.57435e-3
19.560 8.39166e-1 4.41157e-3
19.580 8.17857e-1 5.29970e-3
19.600 7.96166e-1 6.22467e-3
19.620 7.74102e-1 7.17269e-3
19.640 7.51675e-1 8.13041e-3
19.660 7.28902e-1 9.08508e-3
19.680 7.05799e-1 1.00247e-2
19.700 6.82390e-1 1.09380e-2
19.720 6.58699e-1 1.18148e-2
19.740 6.34756e-1 1.26458e-2
19.760 6.10594e-1 1.34229e-2
19.780 5.86248e-1 1.41390e-2
19.800 5.61758e-1 1.47879e-2
19.820 5.37167e-1 1.53649e-2
19.840 5.12520e-1 1.58661e-2
19.860 4.87867e-1 1.62886e-2
19.880 4.63258e-1 1.66305e-2
19.900 4.38749e-1 1.68910e-2
19.920 4.14396e-1 1.70699e-2
19.940 3.90256e-1 1.71679e-2
19.960 3.66392e-1 1.71864e-2
19.980 3.42863e-1 1.71276e-2
20.000 3.19735e-1 1.69940e-2
20.020 2.97070e-1 1.67889e-2
20.040 2.74933e-1 1.65159e-2
20.060 2.53388e-1 1.61790e-2
20.080 2.32500e-1 1.57827e-2
20.100 2.12333e-1 1.53318e-2
20.120 1.92950e-1 1.48313e-2
20.140 1.74412e-1 1.42869e-2
20.160 1.56779e-1 1.37039e-2
20.180 1.40108e-1 1.30886e-2
20.200 1.24454e-1 1.24469e-2
20.220 1.09871e-1 1.17853e-2
20.240 9.64071e-2 1.11104e-2
20.260 8.41075e-2 1.04291e-2
20.280 7.30141e-2 9.74838e-3
20.300 6.31642e-2 9.07533e-3
20.320 5.45908e-2 8.41722e-3
20.340 4.73219e-2 7.78136e-3
20.360 4.13805e-2 7.17504e-3
20.380 3.67844e-2 6.60550e-3
20.400 3.35458e-2 6.07986e-3
20.420 3.16714e-2 5.60498e-3
20.440 3.11621e-2 5.18744e-3
20.460 3.20129e-2 4.83337e-3
20.480 3.42128e-2 4.54841e-3
20.500 3.77449e-2 4.33756e-3
20.520 4.25863e-2 4.20510e-3
20.540 4.87082e-2 4.15445e-3
20.560 5.60759e-2 4.18811e-3
20.580 6.46491e-2 4.30755e-3
20.600 7.43817e-2 4.51311e-3
20.620 8.52224e-2 4.80397e-3
20.640 9.71146e-2 5.17808e-3
20.660 1.09997e-1 5.63211e-3
20.680 1.23803e-1 6.16145e-3
20.700 1.38463e-1 6.76025e-3
20.720 1.53902e-1 7.42140e-3
20.740 1.70043e-1 8.13663e-3
20.760 1.86804e-1 8.89659e-3
20.780 2.04101e-1 9.69092e-3
20.800 2.21849e-1 1.05084e-2
20.820 2.39960e-1 1.13372e-2
20.840 2.58344e-1 1.21648e-2
20.860 2.76912e-1 1.29785e-2
20.880 2.95573e-1 1.37654e-2
20.900 3.14237e-1 1.45125e-2
20.920 3.32814e-1 1.52075e-2
20.940 3.51217e-1 1.58382e-2
20.960 3.69358e-1 1.63934e-2
20.980 3.87154e-1 1.68627e-2
21.000 4.04523e-1 1.72369e-2
21.020 4.21387e-1 1.75081e-2
21.040 4.37670e-1 1.76699e-2
21.060 4.53303e-1 1.77175e-2
21.080 4.68218e-1 1.76480e-2
21.100 4.82355e-1 1.74601e-2
21.120 4.95658e-1 1.71545e-2
21.140 5.08077e-1 1.67339e-2
21.160 5.19566e-1 1.62028e-2
21.180 5.30088e-1 1.55674e-2
21.200 5.39611e-1 1.48359e-2
21.220 5.48108e-1 1.40180e-2
21.240 5.55562e-1 1.31248e-2
21.260 5.61961e-1 1.21691e-2
21.280 5.67300e-1 1.11643e-2
21.300 5.71580e-1 1.01251e-2
21.320 5.74810e-1 9.06664e-3
21.340 5.77007e-1 8.00447e-3
21.360 5.78191e-1 6.95431e-3
21.380 5.78393e-1 5.93176e-3
21.400 5.77647e-1 4.95199e-3
21.420 5.75995e-1 4.02951e-3
21.440 5.73483e-1 3.17796e-3
21.460 5.70164e-1 2.40982e-3
21.480 5.66096e-1 1.73624e-3
21.500 5.61341e-1 1.16686e-3
21.520 5.55966e-1 7.09605e-4
21.540 5.50042e-1 3.70629e-4
21.560 5.43641e-1 1.54171e-4
21.580 5.36842e-1 6.25136e-5
21.600 5.29722e-1 9.59587e-5
21.620 5.22363e-1 2.52837e-4
21.640 5.14846e-1 5.29553e-4
21.660 5.07254e-1 9.20665e-4
21.680 4.99670e-1 1.41899e-3
21.700 4.92174e-1 2.01576e-3
21.720 4.84849e-1 2.70076e-3
21.740 4.77771e-1 3.46253e-3
21.760 4.71019e-1 4.28855e-3
21.780 4.64665e-1 5.16552e-3
21.800 4.58779e-1 6.07949e-3
21.820 4.53427e-1 7.01618e-3
21.840 4.48671e-1 7.96118e-3
21.860 4.44566e-1 8.90018e-3
21.880 4.41164e-1 9.81921e-3
21.900 4.38510e-1 1.07048e-2
21.920 4.36641e-1 1.15443e-2
21.940 4.35591e-1 1.23260e-2
21.960 4.35385e-1 1.30391e-2
21.980 4.36040e-1 1.36742e-2
22.000 4.37567e-1 1.42233e-2
22.020 4.39970e-1 1.46795e-2
22.040 4.43246e-1 1.50377e-2
22.060 4.47381e-1 1.52942e-2
22.080 4.52358e-1 1.54470e-2
22.100 4.58149e-1 1.54952e-2
22.120 4.64722e-1 1.54399e-2
22.140 4.72035e-1 1.52833e-2
22.160 4.80042e-1 1.50289e-2
22.180 4.88689e-1 1.46817e-2
22.200 4.97915e-1 1.42477e-2
22.220 5.07656e-1 1.37337e-2
22.240 5.17841e-1 1.31478e-2
22.260 5.28395e-1 1.24984e-2
22.280 5.39238e-1 1.17948e-2
22.300 5.50287e-1 1.10465e-2
22.320 5.61458e-1 1.02635e-2
22.340 5.72661e-1 9.45571e-3
22.360 5.83808e-1 8.63330e-3
22.380 5.94809e-1 7.80618e-3
22.400 6.05571e-1 6.98402e-3
22.420 6.16006e-1 6.17619e-3
22.440 6.26025e-1 5.39156e-3
22.460 6.35540e-1 4.63849e-3
22.480 6.44468e-1 3.92471e-3
22.500 6.52727e-1 3.25727e-3
22.520 6.60239e-1 2.64247e-3
22.540 6.66933e-1 2.08585e-3
22.560 6.72741e-1 1.59213e-3
22.580 6.77600e-1 1.16521e-3
22.600 6.81455e-1 8.08133e-4
22.620 6.84256e-1 5.23115e-4
22.640 6.85962e-1 3.11527e-4
22.660 6.86537e-1 1.73922e-4
22.680 6.85954e-1 1.10046e-4
22.700 6.84193e-1 1.18872e-4
22.720 6.81244e-1 1.98622e-4
22.740 6.77102e-1 3.46807e-4
22.760 6.71773e-1 5.60266e-4
22.780 6.65269e-1 8.35205e-4
22.800 6.57611e-1 1.16724e-3
22.820 6.48829e-1 1.55146e-3
22.840 6.38959e-1 1.98244e-3
22.860 6.28043e-1 2.45436e-3
22.880 6.16135e-1 2.96099e-3
22.900 6.03290e-1 3.49579e-3
22.920 5.89573e-1 4.05196e-3
22.940 5.75053e-1 4.62251e-3
22.960 5.59804e-1 5.20031e-3
22.980 5.43907e-1 5.77819e-3
23.000 5.27444e-1 6.34897e-3
23.020 5.10502e-1 6.90557e-3
23.040 4.93170e-1 7.44104e-3
23.060 4.75541e-1 7.94869e-3
23.080 4.57707e-1 8.42213e-3
23.100 4.39762e-1 8.85533e-3
23.120 4.21800e-1 9.24274e-3
23.140 4.03915e-1 9.57931e-3
23.160 3.86198e-1 9.86061e-3
23.180 3.68741e-1 1.00828e-2
23.200 3.51630e-1 1.02429e-2
23.220 3.34952e-1 1.03385e-2
23.240 3.18787e-1 1.03680e-2
23.260 3.03214e-1 1.03309e-2
23.280 2.88304e-1 1.02272e-2
23.300 2.74127e-1 1.00581e-2
23.320 2.60745e-1 9.82530e-3
23.340 2.48215e-1 9.53170e-3
23.360 2.36589e-1 9.18086e-3
23.380 2.25912e-1 8.77717e-3
23.400 2.16224e-1 8.32576e-3
23.420 2.07558e-1 7.83245e-3
23.440 1.99939e-1 7.30368e-3
23.460 1.93388e-1 6.74640e-3
23.480 1.87920e-1 6.16801e-3
23.500 1.83541e-1 5.57623e-3
23.520 1.80254e-1 4.97903e-3
23.540 1.78053e-1 4.38447e-3
23.560 1.76930e-1 3.80061e-3
23.580 1.76867e-1 3.23541e-3
23.600 1.77846e-1 2.69656e-3
23.620 1.79840e-1 2.19141e-3
23.640 1.82819e-1 1.72688e-3
23.660 1.86749e-1 1.30929e-3
23.680 1.91592e-1 9.44314e-4
23.700 1.97307e-1 6.36900e-4
23.720 2.03850e-1 3.91177e-4
23.740 2.11173e-1 2.10406e-4
23.760 2.19228e-1 9.69373e-5
23.780 2.27963e-1 5.21810e-5
23.800 2.37325e-1 7.65920e-5
23.820 2.47262e-1 1.69673e-4
23.840 2.57718e-1 3.29991e-4
23.860 2.68639e-1 5.55212e-4
23.880 2.79970e-1 8.42147e-4
23.900 2.91655e-1 1.18681e-3
23.920 3.03641e-1 1.58450e-3
23.940 3.15873e-1 2.02986e-3
23.960 3.28298e-1 2.51699e-3
23.980 3.40865e-1 3.03957e-3
24.000 3.53523e-1 3.59089e-3
24.020 3.66222e-1 4.16403e-3
24.040 3.78914e-1 4.75193e-3
24.060 3.91553e-1 5.34751e-3
24.080 4.04094e-1 5.94376e-3
24.100 4.16493e-1 6.53387e-3
24.120 4.28710e-1 7.11129e-3
24.140 4.40703e-1 7.66982e-3
24.160 4.52436e-1 8.20371e-3
24.180 4.63870e-1 8.70768e-3
24.200 4.74971e-1 9.17703e-3
24.220 4.85706e-1 9.60764e-3
24.240 4.96042e-1 9.99599e-3
24.260 5.05948e-1 1.03392e-2
24.280 5.15396e-1 1.06352e-2
24.300 5.24358e-1 1.08822e-2
24.320 5.32806e-1 1.10794e-2
24.340 5.40716e-1 1.12263e-2
24.360 5.48063e-1 1.13232e-2
24.380 5.54824e-1 1.13709e-2
24.400 5.60979e-1 1.13704e-2
24.420 5.66506e-1 1.13235e-2
24.440 5.71385e-1 1.12321e-2
24.460 5.75600e-1 1.10986e-2
24.480 5.79133e-1 1.09254e-2
24.500 5.81968e-1 1.07153e-2
24.520 5.84091e-1 1.04713e-2
24.540 5.85490e-1 1.01963e-2
24.560 5.86153e-1 9.89331e-3
24.580 5.86070e-1 9.56546e-3
24.600 5.85234e-1 9.21575e-3
24.620 5.83639e-1 8.84716e-3
24.640 5.81279e-1 8.46259e-3
24.660 5.78152e-1 8.06484e-3
24.680 5.74259e-1 7.65662e-3
24.700 5.69602e-1 7.24051e-3
24.720 5.64183e-1 6.81898e-3
24.740 5.58011e-1 6.39442e-3
24.760 5.51095e-1 5.96907e-3
24.780 5.43445e-1 5.54510e-3
24.800 5.35077e-1 5.12459e-3
24.820 5.26007e-1 4.70953e-3
24.840 5.16256e-1 4.30186e-3
24.860 5.05845e-1 3.90342e-3
24.880 4.94801e-1 3.51604e-3
24.900 4.83151e-1 3.14147e-3
24.920 4.70926e-1 2.78142e-3
24.940 4.58159e-1 2.43752e-3
24.960 4.44886e-1 2.11139e-3
24.980 4.31145e-1 1.80452e-3
25.000 4.16978e-1 1.51834e-3
