om p1 p2
3.680 2.05573e+0 1.74357e+2
3.700 2.16049e+0 1.67510e+2
3.720 2.29297e+0 1.60156e+2
3.740 2.44952e+0 1.52394e+2
3.760 2.62653e+0 1.44332e+2
3.780 2.82056e+0 1.36084e+2
3.800 3.02830e+0 1.27769e+2
3.820 3.24661e+0 1.19503e+2
3.840 3.47253e+0 1.11398e+2
3.860 3.70328e+0 1.03562e+2
3.880 3.93631e+0 9.60930e+1
3.900 4.16926e+0 8.90771e+1
3.920 4.39999e+0 8.25894e+1
3.940 4.62658e+0 7.66908e+1
3.960 4.84734e+0 7.14278e+1
3.980 5.06078e+0 6.68321e+1
4.000 5.26563e+0 6.29204e+1
4.020 5.46083e+0 5.96949e+1
4.040 5.64551e+0 5.71439e+1
4.060 5.81900e+0 5.52429e+1
4.080 5.98081e+0 5.39556e+1
4.100 6.13060e+0 5.32357e+1
4.120 6.26820e+0 5.30282e+1
4.140 6.39357e+0 5.32712e+1
4.160 6.50681e+0 5.38978e+1
4.180 6.60814e+0 5.48376e+1
4.200 6.69784e+0 5.60188e+1
4.220 6.77632e+0 5.73699e+1
4.240 6.84404e+0 5.88207e+1
4.260 6.90152e+0 6.03048e+1
4.280 6.94931e+0 6.17600e+1
4.300 6.98803e+0 6.31296e+1
4.320 7.01829e+0 6.43638e+1
4.340 7.04072e+0 6.54196e+1
4.360 7.05594e+0 6.62620e+1
4.380 7.06458e+0 6.68638e+1
4.400 7.06724e+0 6.72059e+1
4.420 7.06450e+0 6.72770e+1
4.440 7.05693e+0 6.70734e+1
4.460 7.04503e+0 6.65984e+1
4.480 7.02929e+0 6.58618e+1
4.500 7.01016e+0 6.48790e+1
4.520 6.98803e+0 6.36704e+1
4.540 6.96327e+0 6.22604e+1
4.560 6.93619e+0 6.06763e+1
4.580 6.90707e+0 5.89475e+1
4.600 6.87614e+0 5.71047e+1
4.620 6.84359e+0 5.51789e+1
4.640 6.80959e+0 5.32005e+1
4.660 6.77426e+0 5.11985e+1
4.680 6.73768e+0 4.91999e+1
4.700 6.69993e+0 4.72295e+1
4.720 6.66104e+0 4.53086e+1
4.740 6.62103e+0 4.34555e+1
4.760 6.57990e+0 4.16848e+1
4.780 6.53765e+0 4.00074e+1
4.800 6.49424e+0 3.84304e+1
4.820 6.44965e+0 3.69576e+1
4.840 6.40384e+0 3.55892e+1
4.860 6.35677e+0 3.43224e+1
4.880 6.30842e+0 3.31514e+1
4.900 6.25875e+0 3.20686e+1
4.920 6.20773e+0 3.10641e+1
4.940 6.15534e+0 3.01267e+1
4.960 6.10157e+0 2.92445e+1
4.980 6.04643e+0 2.84050e+1
5.000 5.98991e+0 2.75960e+1
5.020 5.93204e+0 2.68056e+1
5.040 5.87285e+0 2.60230e+1
5.060 5.81237e+0 2.52387e+1
5.080 5.75066e+0 2.44449e+1
5.100 5.68777e+0 2.36352e+1
5.120 5.62378e+0 2.28058e+1
5.140 5.55876e+0 2.19545e+1
5.160 5.49279e+0 2.10815e+1
5.180 5.42596e+0 2.01889e+1
5.200 5.35837e+0 1.92808e+1
5.220 5.29010e+0 1.83632e+1
5.240 5.22126e+0 1.74436e+1
5.260 5.15195e+0 1.65307e+1
5.280 5.08227e+0 1.56343e+1
5.300 5.01232e+0 1.47650e+1
5.320 4.94219e+0 1.39335e+1
5.340 4.87197e+0 1.31507e+1
5.360 4.80175e+0 1.24271e+1
5.380 4.73163e+0 1.17725e+1
5.400 4.66167e+0 1.11957e+1
5.420 4.59196e+0 1.07043e+1
5.440 4.52256e+0 1.03044e+1
5.460 4.45353e+0 1.00004e+1
5.480 4.38494e+0 9.79494e+0
5.500 4.31684e+0 9.68860e+0
5.520 4.24927e+0 9.68008e+0
5.540 4.18229e+0 9.76606e+0
5.560 4.11592e+0 9.94134e+0
5.580 4.05021e+0 1.01989e+1
5.600 3.98520e+0 1.05300e+1
5.620 3.92091e+0 1.09244e+1
5.640 3.85738e+0 1.13709e+1
5.660 3.79465e+0 1.18568e+1
5.680 3.73275e+0 1.23692e+1
5.700 3.67171e+0 1.28943e+1
5.720 3.61158e+0 1.34185e+1
5.740 3.55240e+0 1.39281e+1
5.760 3.49423e+0 1.44101e+1
5.780 3.43711e+0 1.48520e+1
5.800 3.38112e+0 1.52423e+1
5.820 3.32633e+0 1.55708e+1
5.840 3.27281e+0 1.58285e+1
5.860 3.22066e+0 1.60083e+1
5.880 3.16997e+0 1.61044e+1
5.900 3.12085e+0 1.61130e+1
5.920 3.07341e+0 1.60321e+1
5.940 3.02779e+0 1.58613e+1
5.960 2.98412e+0 1.56024e+1
5.980 2.94255e+0 1.52585e+1
6.000 2.90323e+0 1.48346e+1
6.020 2.86632e+0 1.43370e+1
6.040 2.83200e+0 1.37733e+1
6.060 2.80044e+0 1.31525e+1
6.080 2.77183e+0 1.24840e+1
6.100 2.74636e+0 1.17784e+1
6.120 2.72421e+0 1.10465e+1
6.140 2.70558e+0 1.02993e+1
6.160 2.69066e+0 9.54789e+0
6.180 2.67964e+0 8.80313e+0
6.200 2.67272e+0 8.07544e+0
6.220 2.67006e+0 7.37462e+0
6.240 2.67186e+0 6.70969e+0
6.260 2.67827e+0 6.08870e+0
6.280 2.68945e+0 5.51868e+0
6.300 2.70553e+0 5.00545e+0
6.320 2.72666e+0 4.55362e+0
6.340 2.75292e+0 4.16655e+0
6.360 2.78441e+0 3.84628e+0
6.380 2.82121e+0 3.59359e+0
6.400 2.86334e+0 3.40803e+0
6.420 2.91082e+0 3.28799e+0
6.440 2.96366e+0 3.23076e+0
