C slope slopeC slopeC2
0.3902654877231709 -0.1792862459657101 -0.4593955950644659 -1.1771361022585
0.45037984161145383 -0.23365294575535633 -0.5187908608861107 -1.1518962727769588
0.523878133829157 -0.24469182874878542 -0.46707776665590395 -0.8915771369228852
0.6068067487266154 -0.25904157749073514 -0.4268930397269545 -0.7035074026826332
0.6988373475136912 -0.29559802632441345 -0.42298544486222134 -0.6052702340066828
0.8103156567070018 -0.41971968405888815 -0.5179705965013245 -0.6392207681217431
0.9402284922240246 -0.17186773246232276 -0.18279358037298502 -0.19441399817676608
1.086968988148302 -0.5677033874274942 -0.5222811263406889 -0.48049312541144074
1.2670199547906986 -0.7332038066318048 -0.5786837088551807 -0.4567281728019623
1.3728134628011956 -0.5087999756526381 -0.37062571823446644 -0.26997529400550374
1.426126208489128 -0.7672253008156287 -0.5379785437282198 -0.3772306690150285
1.4626616548242308 -0.9854663136351013 -0.673748648831247 -0.4606319216813077
1.706371809675802 -0.548144152265237 -0.32123371304954945 -0.18825540320581216
1.8500544094331075 -0.7423101760826326 -0.4012369432475723 -0.2168784556831056
1.9730431658815573 -0.9532578901811722 -0.48314091990747493 -0.24487093250775746
2.2981369827300444 -0.37205046400085506 -0.16189220520653305 -0.07044497626691301
2.6422599568460057 -0.971527411445478 -0.36768805012098965 -0.139156652307553
3.0565438732901526 -0.6148116729693341 -0.20114603240016082 -0.06580832493781331
3.259441847418343 -0.7270718348904192 -0.22306636194976143 -0.06843698166495661
3.5466101321597607 -1.4990154518908803 -0.42266146997612974 -0.11917336674351173
4.174661613265522 -1.6749973050222697 -0.4012294792228791 -0.09611065911256639
4.174661613265522 -1.6749973050222697 -0.4012294792228791 -0.09611065911256639
4.71606546700449 -1.4283486298048456 -0.3028687026925629 -0.06422063154372122
5.636925028362142 -2.1250539658487497 -0.3769881549171859 -0.0668783340243791
6.639546355207205 -3.143594106184596 -0.47346519445852886 -0.07130987105575425
