om h
3.0105 4.6999e+5
5.1219 4.6999e+5
6.4940 4.6999e+5
8.1713 4.6999e+5
9.1460 4.6999e+5
10.7253 4.6999e+5
11.6392 4.6999e+5
12.8644 4.6999e+5
14.1798 4.6999e+5
14.8282 4.6999e+5
16.2961 4.6999e+5
17.1000 4.6999e+5
18.0714 4.6999e+5
19.2560 4.6999e+5
20.1613 4.6999e+5
20.9035 4.6999e+5
22.3089 4.6999e+5
22.7998 4.6999e+5
23.8708 4.6999e+5
24.8616 4.6999e+5
