re im
-0.841054 10.210760
-0.841054 -10.210760
-0.841054 11.572195
-0.841054 -11.572195
-0.841054 12.933630
-0.841054 -12.933630
-0.841054 14.295065
-0.841054 -14.295065
-0.841054 15.656499
-0.841054 -15.656499
-0.841054 17.017934
-0.841054 -17.017934
-0.841054 18.379369
-0.841054 -18.379369
-0.841054 19.740803
-0.841054 -19.740803
-0.841054 21.102238
-0.841054 -21.102238
-0.844280 0.669657
-0.844280 -0.669657
-0.844280 2.008970
-0.844280 -2.008970
-0.844280 3.348284
-0.844280 -3.348284
-0.844280 4.687597
-0.844280 -4.687597
-0.844280 6.026911
-0.844280 -6.026911
-0.844280 7.366224
-0.844280 -7.366224
-0.844280 8.705537
-0.844280 -8.705537
-0.844280 10.044851
-0.844280 -10.044851
-0.844280 11.384164
-0.844280 -11.384164
-0.844280 12.723478
-0.844280 -12.723478
-0.844280 14.062791
-0.844280 -14.062791
-0.844280 15.402105
-0.844280 -15.402105
-0.844280 16.741418
-0.844280 -16.741418
-0.844280 18.080732
-0.844280 -18.080732
-0.844280 19.420045
-0.844280 -19.420045
-0.844280 20.759358
-0.844280 -20.759358
-0.845753 0.664551
-0.845753 -0.664551
-0.845753 1.993654
-0.845753 -1.993654
-0.845753 3.322757
-0.845753 -3.322757
-0.845753 4.651860
-0.845753 -4.651860
-0.845753 5.980963
-0.845753 -5.980963
-0.845753 7.310066
-0.845753 -7.310066
-0.845753 8.639169
-0.845753 -8.639169
-0.845753 9.968272
-0.845753 -9.968272
-0.845753 11.297375
-0.845753 -11.297375
-0.845753 12.626478
-0.845753 -12.626478
-0.845753 13.955581
-0.845753 -13.955581
-0.845753 15.284684
-0.845753 -15.284684
-0.845753 16.613787
-0.845753 -16.613787
-0.845753 17.942890
-0.845753 -17.942890
-0.845753 19.271993
-0.845753 -19.271993
-0.845753 20.601096
-0.845753 -20.601096
-0.845753 21.930199
-0.845753 -21.930199
-0.853093 0.638538
-0.853093 -0.638538
-0.853093 1.915613
-0.853093 -1.915613
-0.853093 3.192688
-0.853093 -3.192688
-0.853093 4.469763
-0.853093 -4.469763
-0.853093 5.746838
-0.853093 -5.746838
-0.853093 7.023913
-0.853093 -7.023913
-0.853093 8.300988
-0.853093 -8.300988
-0.853093 9.578064
-0.853093 -9.578064
-0.853093 10.855139
-0.853093 -10.855139
-0.853093 12.132214
-0.853093 -12.132214
-0.853093 13.409289
-0.853093 -13.409289
-0.853093 14.686364
-0.853093 -14.686364
-0.853093 15.963439
-0.853093 -15.963439
-0.853093 17.240514
-0.853093 -17.240514
-0.853093 18.517589
-0.853093 -18.517589
-0.853093 19.794665
-0.853093 -19.794665
-0.853093 21.071740
-0.853093 -21.071740
-0.856042 0.627823
-0.856042 -0.627823
-0.856042 1.883469
-0.856042 -1.883469
-0.856042 3.139115
-0.856042 -3.139115
-0.856042 4.394761
-0.856042 -4.394761
-0.856042 5.650407
-0.856042 -5.650407
-0.856042 6.906053
-0.856042 -6.906053
-0.856042 8.161699
-0.856042 -8.161699
-0.856042 9.417345
