u H off
7.43856 1700 0.135729
7.44081 1704 0.242491
7.44306 1707 0.867684
7.44531 1711 -0.046712
7.44756 1715 0.074446
7.44980 1719 0.452436
7.45205 1723 -0.544394
7.45430 1727 0.943034
7.45655 1731 0.001836
7.45880 1735 0.314759
7.46105 1738 0.602157
7.46330 1742 -0.175427
7.46555 1746 0.939655
7.46780 1750 -0.054281
7.47005 1754 0.104582
7.47230 1758 0.301498
7.47455 1762 -0.456427
7.47679 1766 0.764700
7.47904 1770 -0.224043
7.48129 1774 -0.096248
7.48354 1778 0.303646
7.48579 1782 -0.688669
7.48804 1786 0.676044
7.49029 1790 -0.254801
7.49254 1794 0.212589
7.49479 1798 0.267176
7.49704 1802 -0.715628
7.49929 1806 0.687886
7.50154 1810 0.362657
7.50378 1814 0.400901
7.50603 1818 0.439033
7.50828 1823 -0.733316
7.51053 1827 0.339792
7.51278 1831 -0.207584
7.51503 1835 -0.127639
7.51728 1839 0.388338
7.51953 1843 -0.608493
7.52178 1847 0.908573
7.52403 1852 -0.279651
7.52628 1856 1.124816
7.52853 1860 0.127986
7.53077 1864 0.442462
7.53302 1868 0.508624
7.53527 1872 -0.488203
7.53752 1877 0.353946
7.53977 1881 -0.438420
7.54202 1885 -0.271488
7.54427 1889 -0.061600
7.54652 1894 -0.091153
7.54877 1898 0.151617
7.55102 1902 -0.845214
7.55327 1906 0.454390
7.55552 1911 -0.671943
7.55776 1915 -0.186694
7.56001 1919 -0.134357
7.56226 1924 -0.035301
7.56451 1928 0.006569
7.56676 1932 -0.681895
7.56901 1937 0.437114
7.57126 1941 -0.128681
7.57351 1945 -0.084755
7.57576 1950 0.008107
7.57801 1954 0.107468
7.58026 1959 -0.103611
7.58251 1963 -0.755414
7.58475 1967 0.708164
7.58700 1972 -0.515550
7.58925 1976 0.825159
7.59150 1981 -0.181991
7.59375 1985 -0.120582
7.59600 1990 0.081704
7.59825 1994 0.247662
7.60050 1999 0.218436
7.60275 2003 -0.746072
7.60500 2008 0.353433
7.60725 2012 -0.434073
7.60950 2017 0.599716
7.61174 2021 -0.281865
7.61399 2026 0.581079
7.61624 2030 -0.392046
7.61849 2035 -0.460284
7.62074 2040 -0.514919
7.62299 2044 -0.205005
7.62524 2049 -0.322678
7.62749 2053 -1.301291
7.62974 2058 -0.126134
7.63199 2063 -1.206728
7.63424 2067 0.372173
7.63649 2072 -0.484605
7.63873 2077 0.615880
7.64098 2081 -0.372591
7.64323 2086 0.612625
7.64548 2091 -0.238530
7.64773 2095 -0.188735
7.64998 2100 0.133139
7.65223 2105 -0.068902
7.65448 2110 -0.049975
7.65673 2114 0.105757
7.65898 2119 0.312107
7.66123 2124 0.263129
7.66348 2129 0.054055
7.66572 2133 -0.931116
7.66797 2138 0.214966
7.67022 2143 -0.884897
7.67247 2148 0.204540
7.67472 2153 -0.703373
7.67697 2158 0.173349
7.67922 2162 -0.823483
7.68147 2167 0.047476
7.68372 2172 -0.865617
7.68597 2177 0.403957
7.68822 2182 -0.632707
7.69047 2187 0.617932
7.69271 2192 -0.628106
7.69496 2197 0.522903
