kind re im order
Fp -0.660664 16.632665 1
Fp -0.660664 -16.632665 1
Fp -0.660664 18.850354 1
Fp -0.660664 -18.850354 1
Fp -0.660664 21.068043 1
Fp -0.660664 -21.068043 1
Fp -0.750076 0.932972 1
Fp -0.750076 -0.932972 1
Fp -0.750076 2.798916 1
Fp -0.750076 -2.798916 1
Fp -0.750076 4.664860 1
Fp -0.750076 -4.664860 1
Fp -0.750076 6.530804 1
Fp -0.750076 -6.530804 1
Fp -0.750076 8.396748 1
Fp -0.750076 -8.396748 1
Fp -0.750076 10.262692 1
Fp -0.750076 -10.262692 1
Fp -0.750076 12.128636 1
Fp -0.750076 -12.128636 1
Fp -0.750076 13.994580 1
Fp -0.750076 -13.994580 1
Fp -0.750076 15.860524 1
Fp -0.750076 -15.860524 1
Fp -0.750076 17.726468 1
Fp -0.750076 -17.726468 1
Fp -0.750076 19.592412 1
Fp -0.750076 -19.592412 1
Fp -0.750076 21.458356 1
Fp -0.750076 -21.458356 1
Fp -0.776357 0.870026 1
Fp -0.776357 -0.870026 1
Fp -0.776357 2.610078 1
Fp -0.776357 -2.610078 1
Fp -0.776357 4.350130 1
Fp -0.776357 -4.350130 1
Fp -0.776357 6.090182 1
Fp -0.776357 -6.090182 1
Fp -0.776357 7.830234 1
Fp -0.776357 -7.830234 1
Fp -0.776357 9.570287 1
Fp -0.776357 -9.570287 1
Fp -0.776357 11.310339 1
Fp -0.776357 -11.310339 1
Fp -0.776357 13.050391 1
Fp -0.776357 -13.050391 1
Fp -0.776357 14.790443 1
Fp -0.776357 -14.790443 1
Fp -0.776357 16.530495 1
Fp -0.776357 -16.530495 1
Fp -0.776357 18.270547 1
Fp -0.776357 -18.270547 1
Fp -0.776357 20.010599 1
Fp -0.776357 -20.010599 1
Fp -0.776357 21.750651 1
Fp -0.776357 -21.750651 1
Fp -0.785705 0.845976 1
Fp -0.785705 -0.845976 1
Fp -0.785705 2.537928 1
Fp -0.785705 -2.537928 1
Fp -0.785705 4.229880 1
Fp -0.785705 -4.229880 1
Fp -0.785705 5.921832 1
Fp -0.785705 -5.921832 1
Fp -0.785705 7.613784 1
Fp -0.785705 -7.613784 1
Fp -0.785705 9.305735 1
Fp -0.785705 -9.305735 1
Fp -0.785705 10.997687 1
Fp -0.785705 -10.997687 1
Fp -0.785705 12.689639 1
Fp -0.785705 -12.689639 1
Fp -0.785705 14.381591 1
Fp -0.785705 -14.381591 1
Fp -0.785705 16.073543 1
Fp -0.785705 -16.073543 1
Fp -0.785705 17.765495 1
Fp -0.785705 -17.765495 1
Fp -0.785705 19.457447 1
Fp -0.785705 -19.457447 1
Fp -0.785705 21.149399 1
Fp -0.785705 -21.149399 1
Fp -0.805652 0.791275 1
Fp -0.805652 -0.791275 1
Fp -0.805652 2.373825 1
Fp -0.805652 -2.373825 1
