u x resid pred residB
9.210340372 10000 0.8304474603 0.1341397167 0.8559869082
9.212365781 10020.27461 0.8307750786 0.1429365253 0.8563446625
9.21439119 10040.59034 0.83124581 0.1514745579 0.8568455628
9.216416599 10060.94725 0.8332232251 0.1597182859 0.8588531793
9.218442008 10081.34543 0.8353764379 0.1676338835 0.8610366262
9.220467417 10101.78497 0.8372847537 0.1751893895 0.8629752088
9.222492826 10122.26595 0.8384736192 0.1823548552 0.8641943738
9.224518235 10142.78845 0.8374303034 0.1891024753 0.8631813903
9.226543644 10163.35256 0.8360195532 0.1954067012 0.8618010052
9.228569053 10183.95837 0.8355777401 0.2012443383 0.86138959
9.230594461 10204.60595 0.8353364153 0.2065946234 0.861178696
9.23261987 10225.2954 0.8355538526 0.2114392851 0.8614265969
9.234645279 10246.02679 0.8361020456 0.2157625853 0.8620052865
9.236670688 10266.80022 0.836026292 0.2195513419 0.8619600624
9.238696097 10287.61576 0.8360586504 0.222794934 0.8620229832
9.240721506 10308.4735 0.8376124373 0.2254852878 0.8636073655
9.242746915 10329.37354 0.8392669619 0.2276168468 0.8652925187
9.244772324 10350.31594 0.8395485274 0.2291865229 0.8656047457
9.246797733 10371.30081 0.8372181669 0.2301936331 0.8633050799
9.248823142 10392.32822 0.8336460099 0.2306398192 0.8597636507
9.250848551 10413.39827 0.830271778 0.2305289545 0.8564201797
9.25287396 10434.51103 0.8285791757 0.2298670356 0.8547583715
9.254899369 10455.6666 0.828010647 0.2286620631 0.8542206701
9.256924778 10476.86506 0.8282884552 0.2269239103 0.8545293388
9.258950187 10498.1065 0.8276073508 0.2246641832 0.8538791282
9.260975596 10519.39101 0.8250128766 0.221896071 0.8513155812
9.263001005 10540.71867 0.8205617935 0.218634191 0.8468954585
9.265026414 10562.08957 0.8166520711 0.2148944265 0.8430167298
9.267051823 10583.5038 0.8133418225 0.2106937624 0.8397375085
9.269077231 10604.96145 0.8094764965 0.2060501172 0.8359032431
9.27110264 10626.4626 0.8041420989 0.2009821743 0.8305999396
9.273128049 10648.00734 0.7965301713 0.1955092147 0.8230191394
9.275153458 10669.59576 0.7854102075 0.1896509502 0.8119303367
9.277178867 10691.22796 0.7739070133 0.183427362 0.8004583371
9.279204276 10712.90401 0.7624516981 0.1768585425 0.7890342501
9.281229685 10734.62401 0.7510731056 0.1699645442 0.7776869193
9.283255094 10756.38805 0.7414150328 0.1627652362 0.7680601418
9.285280503 10778.19621 0.7330799865 0.1552801681 0.7597564246
9.287305912 10800.04859 0.7244003515 0.1475284454 0.7511081524
9.289331321 10821.94527 0.7169598133 0.139528614 0.7436990105
9.29135673 10843.88635 0.7104173258 0.131298557 0.7371879533
9.293382139 10865.87191 0.7030857197 0.1228554035 0.7298878111
9.295407548 10887.90205 0.6940154782 0.1142154503 0.7208490674
9.297432957 10909.97685 0.6836821297 0.1053940969 0.7105472505
9.299458366 10932.09641 0.6722198797 0.09640579459 0.699116566
9.301483775 10954.26081 0.6611220975 0.0872640085 0.6880503832
9.303509184 10976.47015 0.6495905547 0.07798119487 0.6765504736
9.305534593 10998.72452 0.6367494368 0.06856879148 0.6637410231
9.307560001 11021.02401 0.6215395862 0.05903722213 0.6485628737
9.30958541 11043.36871 0.603368893 0.04939591454 0.6304239158
9.311610819 11065.75872 0.5835061281 0.03965333135 0.6105929203
9.313636228 11088.19412 0.5659197162 0.02981701348 0.5930383117
9.315661637 11110.675 0.5506938538 0.01989363537 0.5778442868
9.317687046 11133.20147 0.5376246925 0.009889071106 0.5648069972
9.319712455 11155.77361 0.5260911924 -0.000191529226 0.553305403
9.321737864 11178.39151 0.5149083019 -0.01034365422 0.5421544525
9.323763273 11201.05527 0.5038303972 -0.0205633377 0.531108522
9.325788682 11223.76497 0.4938781708 -0.03084705844 0.5211883042
9.327814091 11246.52073 0.4851183985 -0.04119163419 0.5124605747
9.3298395 11269.32261 0.4776535751 -0.0515941113 0.5050278285
9.331864909 11292.17073 0.470293586 -0.06205165121 0.4976999509
9.333890318 11315.06517 0.4610386633 -0.07256141521 0.4884771741
9.335915727 11338.00603 0.4528386017 -0.08312044872 0.4803092927
9.337941136 11360.9934 0.4464850656 -0.09372556652 0.4739879713
9.339966545 11384.02738 0.4403275256 -0.1043732402 0.4678626806
9.341991954 11407.10805 0.4332281365 -0.115059489 0.4607955752
9.344017363 11430.23553 0.425786411 -0.1257797761 0.453386168
9.346042771 11453.40989 0.4172028384 -0.13652891 0.4448349482
9.34806818 11476.63124 0.4088440903 -0.1473009541 0.4365085875
9.350093589 11499.89966 0.400884385 -0.1580891438 0.4285813042
9.352118998 11523.21527 0.3930648284 -0.1688858138 0.4207942043
9.354144407 11546.57814 0.3831690221 -0.1796823345 0.4109308894
9.356169816 11569.98838 0.3702048419 -0.1904690611 0.3979992353
9.358195225 11593.44609 0.3577484202 -0.2012352931 0.3855753745
9.360220634 11616.95135 0.3477369499 -0.2119692468 0.3755964998
9.362246043 11640.50428 0.3396486278 -0.222658041 0.3675408082
9.364271452 11664.10495 0.3321706247 -0.2332876957 0.3600954703
9.366296861 11687.75347 0.3247366311 -0.2438431442 0.352694177
9.36832227 11711.44994 0.3164045021 -0.2543082592 0.344394783
9.370347679 11735.19446 0.3090418718 -0.264665892 0.3370649227
9.372373088 11758.98711 0.3038587608 -0.2748979262 0.3319146166
9.374398497 11782.828 0.2996299874 -0.2849853431 0.3277186831
9.376423906 11806.71723 0.2954174862 -0.2949083008 0.3235390569
9.378449315 11830.6549 0.2889615873 -0.3046462257 0.317116068
9.380474724 11854.6411 0.2814826342 -0.3141779144 0.30967006
9.382500133 11878.67592 0.2744986896 -0.3234816479 0.3027190957
9.384525541 11902.75948 0.2662757374 -0.332535314 0.2945291589
9.38655095 11926.89187 0.2593380386 -0.34131654 0.2876245106
9.388576359 11951.07318 0.2535035101 -0.3498028325 0.2818230679
9.390601768 11975.30352 0.2483716467 -0.3579717233 0.2767243255
9.392627177 11999.58299 0.2457184978 -0.3658009223 0.2741043328
9.394652586 12023.91168 0.244659424 -0.3732684722 0.2730784506
9.396677995 12048.2897 0.2433636376 -0.3803529084 0.2718158911
9.398703404 12072.71714 0.2395854306 -0.3870334181 0.2680709464
9.400728813 12097.19411 0.2345106908 -0.3932900005 0.2630295042
9.402754222 12121.72071 0.2301292926 -0.3991036254 0.2586814391
9.404779631 12146.29703 0.2264815333 -0.4044563884 0.2550670484
9.40680504 12170.92318 0.2223291376 -0.4093316622 0.2509480567
9.408830449 12195.59925 0.2155286718 -0.413714242 0.2441810304
9.410855858 12220.32536 0.2062076526 -0.4175904837 0.2348934863
9.412881267 12245.1016 0.1972452573 -0.4209484339 0.2259646016
9.414906676 12269.92807 0.1912296081 -0.4237779503 0.2199824986
9.416932085 12294.80488 0.1867583895 -0.4260708113 0.215544862
9.418957494 12319.73212 0.1827758828 -0.4278208134 0.2115959728
9.420982903 12344.70991 0.1786216635 -0.4290238563 0.2074754068
9.423008311 12369.73833 0.1737766056 -0.4296780138 0.202664038
9.42503372 12394.8175 0.1695298158 -0.4297835909 0.1984509729
9.427059129 12419.94751 0.1644019901 -0.4293431646 0.1933569078
9.429084538 12445.12848 0.1597434266 -0.4283616102 0.1887321407
9.431109947 12470.3605 0.154793807 -0.4268461109 0.1838163532
9.433135356 12495.64367 0.1498291532 -0.4248061515 0.1788855677
9.435160765 12520.97811 0.1466671148 -0.4222534948 0.1757574333
9.437186174 12546.36391 0.1440770642 -0.4192021429 0.1732013227
9.439211583 12571.80118 0.1402123906 -0.415668281 0.169370625
9.441236992 12597.29002 0.1344917721 -0.4116702061 0.1636840186
9.443262401 12622.83054 0.1290128422 -0.4072282396 0.1582391366
9.44528781 12648.42284 0.1259885963 -0.402364625 0.1552489749
9.447313219 12674.06703 0.1243316109 -0.397103412 0.1536261097
9.449338628 12699.76321 0.1222158682 -0.3914703259 0.1515445233
9.451364037 12725.5115 0.1179111411 -0.3854926258 0.1472739888
9.453389446 12751.31198 0.1119060311 -0.3791989503 0.1413031074
9.455414855 12777.16477 0.1078454081 -0.3726191532 0.1372767493
9.457440264 12803.06998 0.1063286907 -0.3657841304 0.1357943332
9.459465673 12829.02771 0.1060179716 -0.3587256386 0.1355179515
9.461491081 12855.03807 0.106754332 -0.3514761077 0.1362886857
9.46351649 12881.10117 0.1067998102 -0.3440684484 0.1363685741
9.465541899 12907.2171 0.1082258641 -0.3365358557 0.1378290746
9.467567308 12933.38599 0.1097657106 -0.3289116116 0.139403404
9.469592717 12959.60793 0.1119149333 -0.321228886 0.1415871461
9.471618126 12985.88304 0.1142838324 -0.3135205399 0.1439906011
9.473643535 13012.21141 0.115074059 -0.3058189303 0.1448154201
9.475668944 13038.59317 0.1159773926 -0.2981557199 0.1457533826
9.477694353 13065.02842 0.11588617 -0.2905616923 0.1456968255
9.479719762 13091.51726 0.1144359558 -0.283066574 0.1442813134
9.481745171 13118.05981 0.111133208 -0.2756988654 0.1410133043
9.48377058 13144.65617 0.1068396587 -0.268485681 0.1367545304
9.485795989 13171.30645 0.1045855626 -0.2614526009 0.1345352464
9.487821398 13198.01077 0.1034476831 -0.2546235348 0.1334322158
9.489846807 13224.76923 0.1013866706 -0.2480205983 0.1314060888
9.491872216 13251.58194 0.09607449328 -0.2416640042 0.1261288339
9.493897625 13278.44901 0.0878841956 -0.235571968 0.1179734954
9.495923034 13305.37055 0.08116405103 -0.2297606299 0.1112883469
9.497948443 13332.34668 0.07484836788 -0.2242439915 0.1050076967
9.499973851 13359.3775 0.06813390951 -0.2190338709 0.09832830813
9.50199926 13386.46312 0.06066932086 -0.2141398729 0.09089882627
9.504024669 13413.60366 0.05211096321 -0.2095693773 0.08237561239
9.506050078 13440.79922 0.04422169857 -0.2053275438 0.07452152852
9.508075487 13468.04993 0.0376950972 -0.2014173336 0.06803014497
9.510100896 13495.35588 0.03169893709 -0.1978395475 0.06206923975
9.512126305 13522.71719 0.02406599272 -0.1945928805 0.05447158738
9.514151714 13550.13398 0.01606780218 -0.1916739914 0.04650872595
9.516177123 13577.60635 0.00889301029 -0.1890775875 0.03936930036
9.518202532 13605.13443 0.001246043968 -0.1867965234 0.03175773753
9.520227941 13632.71831 -0.00694388345 -0.1848219121 0.02360325083
9.52225335 13660.35813 -0.01541463751 -0.1831432497 0.01516797475
9.524278759 13688.05398 -0.02294013498 -0.181748549 0.007677992549
9.526304168 13715.80598 -0.03007562878 -0.1806244846 0.0005780513469
9.528329577 13743.61425 -0.0373020536 -0.1797565449 -0.006612783523
9.530354986 13771.47889 -0.04683542256 -0.1791291921 -0.01611052515
9.532380395 13799.40004 -0.05727075038 -0.1787260269 -0.02651018822
9.534405804 13827.37779 -0.06457444652 -0.1785299581 -0.03377818215
9.536431213 13855.41226 -0.07095708304 -0.178523374 -0.04012507899
9.538456621 13883.50358 -0.07824218527 -0.1786883152 -0.04737440402
9.54048203 13911.65185 -0.08778537181 -0.1790066471 -0.05688177583
9.542507439 13939.85719 -0.09868980855 -0.1794602301 -0.06775036025
9.544532848 13968.11971 -0.1074147899 -0.1800310862 -0.07643945167
9.546558257 13996.43953 -0.1140264811 -0.1807015613 -0.08301521536
9.548583666 14024.81678 -0.120144787 -0.1814544805 -0.089097556
9.550609075 14053.25155 -0.1271381829 -0.1822732961 -0.096054949
9.552634484 14081.74398 -0.1325633405 -0.1831422268 -0.1014440659
9.554659893 14110.29417 -0.1375306903 -0.1840463858 -0.1063753373
9.556685302 14138.90225 -0.1425510335 -0.1849718995 -0.1113595643
9.558710711 14167.56833 -0.1478934473 -0.1859060122 -0.1166658239
9.56073612 14196.29253 -0.1526015984 -0.1868371784 -0.1213377832
9.562761529 14225.07496 -0.155540941 -0.1877551422 -0.124240896
9.564786938 14253.91576 -0.1574121415 -0.1886510002 -0.1260758287
9.566812347 14282.81502 -0.1605951207 -0.1895172515 -0.1292225023
9.568837756 14311.77288 -0.1644501062 -0.1903478312 -0.1330411441
9.570863165 14340.78945 -0.1659154711 -0.1911381286 -0.1344701273
9.572888574 14369.86484 -0.1657809691 -0.1918849899 -0.1342992056
9.574913983 14398.99919 -0.1655780599 -0.1925867049 -0.1340598385
9.576939391 14428.19261 -0.1677954656 -0.1932429793 -0.1362407483
9.5789648 14457.44521 -0.1716006775 -0.1938548906 -0.1400094262
9.580990209 14486.75713 -0.1726469909 -0.1944248304 -0.1410191673
9.583015618 14516.12847 -0.1726562688 -0.1949564325 -0.1409918347
9.585041027 14545.55936 -0.1722733483 -0.1954544873 -0.1405722656
9.587066436 14575.04992 -0.1728416268 -0.1959248444 -0.1411038571
9.589091845 14604.60027 -0.172897629 -0.1963743034 -0.141123134
9.591117254 14634.21054 -0.1729570547 -0.1968104939 -0.1411457961
9.593142663 14663.88083 -0.1721805341 -0.1972417475 -0.1403324736
9.595168072 14693.61129 -0.1719800185 -0.19767696 -0.1400951176
9.597193481 14723.40202 -0.1714944604 -0.1981254483 -0.1395726806
9.59921889 14753.25315 -0.1717956574 -0.1985968014 -0.1398369604
9.601244299 14783.1648 -0.1743252652 -0.1991007273 -0.1423296125
9.603269708 14813.1371 -0.1788750254 -0.1996468978 -0.1468423783
9.605295117 14843.17016 -0.1816111175 -0.2002447918 -0.1495414376
9.607320526 14873.26412 -0.1809085438 -0.2009035396 -0.1488017924
9.609345935 14903.41909 -0.1787772328 -0.201631769 -0.1466333714
9.611371344 14933.6352 -0.1775250881 -0.202437454 -0.145344078
9.613396753 14963.91257 -0.1786554604 -0.2033277701 -0.146437263
9.615422161 14994.25132 -0.1781857356 -0.2043089541 -0.145930312
9.61744757 15024.65159 -0.1773093629 -0.2053861725 -0.1450166745
