re im
-0.875000 1.505237
-0.875000 -1.505237
-0.875000 2.560943
-0.875000 -2.560943
-0.875000 3.247025
-0.875000 -3.247025
-0.875000 4.085652
-0.875000 -4.085652
-0.875000 4.572998
-0.875000 -4.572998
-0.875000 5.362653
-0.875000 -5.362653
-0.875000 5.819594
-0.875000 -5.819594
-0.875000 6.432189
-0.875000 -6.432189
-0.875000 7.089909
-0.875000 -7.089909
-0.875000 7.414096
-0.875000 -7.414096
-0.875000 8.148047
-0.875000 -8.148047
-0.875000 8.549989
-0.875000 -8.549989
-0.875000 9.035720
-0.875000 -9.035720
-0.875000 9.627981
-0.875000 -9.627981
-0.875000 10.080669
-0.875000 -10.080669
-0.875000 10.451771
-0.875000 -10.451771
-0.875000 11.154473
-0.875000 -11.154473
-0.875000 11.399896
-0.875000 -11.399896
-0.875000 11.935391
-0.875000 -11.935391
-0.875000 12.430782
-0.875000 -12.430782
-0.875000 12.921523
-0.875000 -12.921523
-0.875000 13.192205
-0.875000 -13.192205
-0.875000 13.816886
-0.875000 -13.816886
-0.875000 14.233594
-0.875000 -14.233594
-0.875000 14.529177
-0.875000 -14.529177
