logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 -0.1621004 -0.0138144 -0.0114472 0.0071014 -0.1439402
6.93049 1023 -0.1847966 -0.0035091 0.0034519 0.0208830 -0.2056223
6.95368 1047 -0.3118009 0.0169516 0.0095879 -0.0220912 -0.3162492
6.97635 1071 -0.3678710 0.0010359 -0.0039900 -0.0150777 -0.3498392
6.99942 1096 -0.4362978 -0.0172275 -0.0150199 0.0066230 -0.4106734
7.02287 1122 -0.3568921 -0.0069761 -0.0089289 -0.0058583 -0.3351288
7.04578 1148 -0.2751814 0.0128155 -0.0012326 -0.0421445 -0.2446198
7.06902 1175 -0.1712784 0.0129684 0.0112389 -0.0051884 -0.1902974
7.09174 1202 -0.1159657 0.0070246 0.0142105 0.0215576 -0.1587584
7.11477 1230 -0.2266622 -0.0040064 0.0028977 0.0207125 -0.2462660
7.13807 1259 -0.2986301 -0.0013441 -0.0055767 -0.0126980 -0.2790113
7.16162 1289 -0.2616998 0.0013458 0.0036256 0.0068394 -0.2735106
7.18463 1319 -0.2628967 0.0067212 0.0091396 0.0072553 -0.2860127
7.20712 1349 -0.3108842 0.0035470 -0.0067999 -0.0310404 -0.2765909
7.23056 1381 -0.2481442 -0.0066296 -0.0061114 0.0015547 -0.2369579
7.25347 1413 -0.2363016 -0.0177765 -0.0168563 0.0027604 -0.2044292
7.27656 1446 -0.0754947 -0.0172819 0.0028522 0.0604024 -0.1214674
7.29980 1480 0.1730458 -0.0117151 0.0449845 0.1700986 -0.0303222
7.32317 1515 0.2654935 -0.0086308 0.0575078 0.1984158 0.0182007
7.34601 1550 0.3064591 0.0064085 0.0694754 0.1892007 0.0413745
7.36897 1586 0.3984409 0.0173900 0.0856443 0.2047627 0.0906439
7.39203 1623 0.4785394 0.0265452 0.0933370 0.2003751 0.1582820
7.41518 1661 0.4625322 0.0299465 0.0838354 0.1616665 0.1870838
7.43838 1700 0.4088414 0.0131365 0.0630959 0.1498783 0.1827307
7.46164 1740 0.3155349 -0.0060496 0.0474634 0.1605391 0.1135819
7.48437 1780 0.2384032 -0.0069140 0.0272271 0.1024233 0.1156669
7.50769 1822 0.2911932 -0.0119895 0.0193858 0.0941256 0.1896712
7.53048 1864 0.2373513 -0.0055158 0.0066640 0.0365392 0.1996639
7.55381 1908 0.3611456 -0.0027994 0.0201790 0.0689352 0.2748308
7.57712 1953 0.4136441 -0.0072709 0.0294136 0.1100536 0.2814478
7.59990 1998 0.3968377 -0.0123433 0.0259513 0.1148837 0.2683461
7.62315 2045 0.3215398 -0.0067330 0.0137551 0.0614644 0.2530533
7.64635 2093 0.2537010 0.0070133 0.0020248 -0.0149655 0.2596285
7.66950 2142 0.1967862 0.0238017 -0.0044953 -0.0848912 0.2623710
7.69257 2192 0.2247697 0.0329727 -0.0025686 -0.1066238 0.3009894
7.71557 2243 0.1499716 0.0191631 -0.0179936 -0.1114701 0.2602722
7.73849 2295 0.0233152 0.0116030 -0.0300941 -0.1250913 0.1668976
7.76174 2349 -0.0144727 0.0016721 -0.0265211 -0.0845796 0.0949559
7.78489 2404 -0.0351486 0.0015529 -0.0152219 -0.0503245 0.0288449
7.80792 2460 0.0243683 0.0020853 0.0012766 -0.0024262 0.0234326
7.83082 2517 0.0893486 -0.0066067 0.0104071 0.0510415 0.0345068
7.85399 2576 0.0523490 -0.0147469 -0.0049363 0.0294319 0.0426003
7.87702 2636 0.0112854 -0.0163893 -0.0124229 0.0118990 0.0281986
7.90027 2698 -0.0321294 -0.0117664 -0.0182974 -0.0195928 0.0175272
7.92335 2761 -0.1201488 -0.0043977 -0.0252998 -0.0627063 -0.0277450
7.94626 2825 -0.1879366 0.0009500 -0.0257062 -0.0799685 -0.0832118
7.96936 2891 -0.2261016 0.0158549 -0.0064106 -0.0667966 -0.1687493
7.99261 2959 -0.3434746 0.0186408 -0.0091780 -0.0834566 -0.2694809
8.01566 3028 -0.4028110 0.0023264 -0.0185499 -0.0626289 -0.3239586
8.03883 3099 -0.4673724 -0.0106817 -0.0258307 -0.0454469 -0.3854132
8.06180 3171 -0.5832121 -0.0206265 -0.0419019 -0.0638261 -0.4568576
8.08487 3245 -0.7196554 -0.0178980 -0.0674047 -0.1485202 -0.4858324
8.10802 3321 -0.7998594 -0.0056672 -0.0871392 -0.2444161 -0.4626369
8.13094 3398 -0.8311450 -0.0029341 -0.0930637 -0.2703888 -0.4647584
8.15421 3478 -0.6211079 -0.0003783 -0.0677930 -0.2022440 -0.3506927
8.17723 3559 -0.4383916 0.0071512 -0.0489700 -0.1683634 -0.2282094
8.20029 3642 -0.3534811 0.0156747 -0.0409788 -0.1699607 -0.1582163
8.22336 3727 -0.2291310 0.0082237 -0.0258607 -0.1022533 -0.1092407
8.24643 3814 -0.1917198 0.0005745 -0.0420500 -0.1278738 -0.0223706
8.26950 3903 -0.1130837 0.0219890 -0.0432502 -0.1957176 0.1038951
8.29255 3994 -0.0112102 0.0284179 -0.0398218 -0.2047191 0.2049128
8.31581 4088 -0.0331727 0.0232683 -0.0482518 -0.2145603 0.2063711
8.33878 4183 0.0727543 0.0079242 -0.0367295 -0.1339610 0.2355205
8.36194 4281 0.1982861 -0.0117600 -0.0075783 0.0125451 0.2050793
8.38503 4381 0.3051146 -0.0272328 0.0231303 0.1510894 0.1581277
8.40805 4483 0.2860522 -0.0193207 0.0406462 0.1799006 0.0848260
8.43120 4588 0.3982949 -0.0114066 0.0598192 0.2136774 0.1362048
8.45425 4695 0.6201477 -0.0125057 0.0822800 0.2843570 0.2660164
8.47741 4805 0.7468146 -0.0037881 0.0854493 0.2677123 0.3974411
8.50045 4917 0.8407974 -0.0012211 0.0760825 0.2319107 0.5340252
8.52357 5032 0.8657367 0.0136506 0.0846924 0.2131254 0.5542683
8.54656 5149 0.7802555 0.0144309 0.0736247 0.1775814 0.5146186
8.56960 5269 0.6007220 0.0122650 0.0548250 0.1276798 0.4059522
8.59267 5392 0.4247372 0.0162263 0.0434299 0.0816108 0.2834703
8.61577 5518 0.3587066 0.0085814 0.0459446 0.1120896 0.1920910
8.63888 5647 0.3080747 -0.0040325 0.0487325 0.1582952 0.1050795
8.66199 5779 0.2489168 -0.0123091 0.0440523 0.1690844 0.0480891
8.68508 5914 0.1872078 -0.0091386 0.0367326 0.1376137 0.0220002
8.70814 6052 -0.0044703 0.0062918 0.0220143 0.0471674 -0.0799438
8.73134 6194 -0.2472254 0.0193225 -0.0000699 -0.0581771 -0.2083009
8.75432 6338 -0.2918406 0.0074298 0.0044134 -0.0090490 -0.2946348
8.77740 6486 -0.1936968 -0.0037494 0.0230140 0.0802902 -0.2932517
8.80057 6638 -0.1578075 -0.0096436 0.0195632 0.0876205 -0.2553475
8.82365 6793 -0.1407331 -0.0141549 0.0226869 0.1105254 -0.2597906
8.84664 6951 -0.0051030 -0.0109812 0.0380928 0.1472220 -0.1794366
8.86982 7114 -0.0202033 0.0025183 0.0235468 0.0630855 -0.1093539
8.89289 7280 -0.0389835 0.0103495 0.0148378 0.0134650 -0.0776358
8.91597 7450 -0.1424700 0.0124787 0.0017294 -0.0322481 -0.1244300
8.93906 7624 -0.1542680 0.0148651 0.0108194 -0.0121370 -0.1678155
8.96214 7802 -0.1435894 0.0071055 0.0056471 -0.0043752 -0.1519669
8.98519 7984 -0.1566798 -0.0146389 0.0010196 0.0469756 -0.1900361
9.00835 8171 -0.1855890 -0.0206640 0.0078033 0.0854020 -0.2581303
9.03133 8361 -0.2685209 -0.0116075 0.0058244 0.0522955 -0.3150334
9.05450 8557 -0.2017210 -0.0073162 -0.0016926 0.0168708 -0.2095831
9.07761 8757 -0.2232564 -0.0017383 -0.0087697 -0.0210941 -0.1916542
9.10064 8961 -0.3028506 0.0059389 -0.0316490 -0.1127639 -0.1643766
9.12369 9170 -0.2814032 0.0047585 -0.0383461 -0.1293140 -0.1185016
9.14676 9384 -0.3091653 0.0104211 -0.0451120 -0.1665991 -0.1078753
9.16993 9604 -0.3614664 0.0144366 -0.0652148 -0.2389541 -0.0717341
9.19299 9828 -0.3476492 0.0033679 -0.0738048 -0.2315181 -0.0456941
9.21602 10057 -0.4138701 0.0070791 -0.0762343 -0.2499402 -0.0947747
9.23912 10292 -0.3476638 0.0048730 -0.0656680 -0.2116231 -0.0752457
9.26227 10533 -0.2719317 -0.0047459 -0.0580415 -0.1598868 -0.0492574
9.28536 10779 -0.2143068 -0.0085253 -0.0446341 -0.1083262 -0.0528213
9.30837 11030 -0.2733850 -0.0000629 -0.0567246 -0.1699851 -0.0466123
9.33150 11288 -0.2868968 0.0070554 -0.0702381 -0.2318805 0.0081665
9.35453 11551 -0.2090161 -0.0073106 -0.0624609 -0.1654509 0.0262063
9.37763 11821 -0.0985824 -0.0063688 -0.0384196 -0.0961522 0.0423583
9.40071 12097 -0.0666944 -0.0060566 -0.0374056 -0.0940470 0.0708148
9.42384 12380 0.0093542 -0.0113306 -0.0309005 -0.0587098 0.1102951
9.44691 12669 0.1016456 -0.0012087 -0.0168718 -0.0469892 0.1667154
9.47001 12965 0.2315411 0.0128334 0.0021698 -0.0319907 0.2485285
9.49311 13268 0.2023207 0.0190335 0.0048367 -0.0425904 0.2210409
9.51613 13577 0.2392579 0.0256423 0.0141591 -0.0344495 0.2339060
9.53921 13894 0.4028145 0.0227831 0.0361778 0.0401840 0.3036696
9.56233 14219 0.5574130 0.0054018 0.0475754 0.1265208 0.3779150
9.58541 14551 0.5192755 -0.0074797 0.0401409 0.1428616 0.3437527
9.60851 14891 0.5009784 -0.0129452 0.0350665 0.1440351 0.3348220
9.63161 15239 0.5306462 -0.0224938 0.0320832 0.1637310 0.3573258
9.65464 15594 0.4880254 -0.0191681 0.0111038 0.0908159 0.4052738
9.67778 15959 0.3999500 -0.0021933 -0.0035406 -0.0040418 0.4097257
9.70082 16331 0.2385425 0.0077712 -0.0083327 -0.0483115 0.2874154
9.72394 16713 0.1320530 0.0107622 0.0063347 -0.0132825 0.1282387
9.74701 17103 0.0742059 0.0092600 0.0190122 0.0292565 0.0166771
9.77007 17502 0.0241927 0.0064865 0.0238518 0.0520959 -0.0582414
9.79317 17911 -0.0637309 -0.0077856 0.0174722 0.0757732 -0.1491906
9.81624 18329 -0.1361907 -0.0113758 0.0187355 0.0903336 -0.2338840
9.83932 18757 -0.1897689 0.0030663 0.0214199 0.0550609 -0.2693159
9.86241 19195 -0.1172188 0.0008174 0.0319087 0.0932740 -0.2432189
9.88553 19644 -0.1220860 -0.0096308 0.0422433 0.1556223 -0.3103209
9.90857 20102 -0.1150743 -0.0187270 0.0484623 0.2015677 -0.3463773
9.93169 20572 -0.0697731 -0.0140930 0.0478232 0.1857485 -0.2892518
9.95475 21052 -0.0287908 -0.0007444 0.0511036 0.1555440 -0.2346939
9.97785 21544 0.0032050 0.0062048 0.0576467 0.1543256 -0.2149720
