logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 0.1663877 0.0002322 0.0157206 0.0780226 0.0724122
6.93049 1023 0.0766473 0.0040424 0.0147528 0.0636577 -0.0058056
6.95368 1047 0.0049306 0.0001603 0.0165153 0.0821760 -0.0939210
6.97635 1071 0.0351367 -0.0071597 0.0204614 0.1202061 -0.0983711
6.99942 1096 0.0266733 -0.0102869 0.0259567 0.1555007 -0.1444972
7.02287 1122 0.0066901 -0.0097277 0.0311325 0.1799816 -0.1946962
7.04578 1148 -0.0444505 -0.0041030 0.0340022 0.1802684 -0.2546179
7.06902 1175 -0.1373511 -0.0017239 0.0339208 0.1739138 -0.3434618
7.09174 1202 -0.1283984 -0.0009162 0.0322813 0.1636969 -0.3234604
7.11477 1230 -0.1048506 0.0055914 0.0245264 0.1086537 -0.2436221
7.13807 1259 -0.0837231 0.0059369 0.0173927 0.0721213 -0.1791740
7.16162 1289 -0.0421801 0.0022856 0.0129118 0.0588450 -0.1162225
7.18463 1319 0.0230317 -0.0003390 0.0144077 0.0728859 -0.0639228
7.20712 1349 0.0059433 -0.0046914 0.0126352 0.0749045 -0.0769050
7.23056 1381 -0.0582550 -0.0088660 0.0046920 0.0456249 -0.0997059
7.25347 1413 -0.1099623 -0.0072678 0.0009730 0.0230344 -0.1267018
7.27656 1446 -0.0945954 -0.0043619 0.0002386 0.0120979 -0.1025700
7.29980 1480 -0.0597980 0.0002383 -0.0030476 -0.0158336 -0.0411552
7.32317 1515 -0.0448161 0.0057573 -0.0064460 -0.0466230 0.0024957
7.34601 1550 -0.0736168 0.0064409 -0.0074378 -0.0532910 -0.0193288
7.36897 1586 -0.0933734 0.0101934 -0.0081335 -0.0661511 -0.0292822
7.39203 1623 -0.1431097 0.0116046 -0.0123545 -0.0907837 -0.0515761
7.41518 1661 -0.1109700 0.0081487 -0.0185010 -0.1128770 0.0122594
7.43838 1700 -0.0102404 0.0088766 -0.0188313 -0.1163479 0.1160621
7.46164 1740 0.0506705 0.0048656 -0.0186276 -0.1053021 0.1697346
7.48437 1780 0.1008719 0.0004926 -0.0224544 -0.1135035 0.2363372
7.50769 1822 0.0936320 0.0000979 -0.0278680 -0.1395847 0.2609867
7.53048 1864 -0.0592993 -0.0059664 -0.0323767 -0.1469674 0.1260113
7.55381 1908 -0.0744660 -0.0126568 -0.0313401 -0.1250585 0.0945894
7.57712 1953 -0.0354177 -0.0136810 -0.0238618 -0.0851065 0.0872315
7.59990 1998 0.0167009 -0.0088659 -0.0162987 -0.0593284 0.1011939
7.62315 2045 0.0234200 -0.0042566 -0.0093833 -0.0362751 0.0733349
7.64635 2093 -0.0481386 0.0010986 -0.0033413 -0.0194529 -0.0264429
7.66950 2142 -0.1112190 0.0046576 0.0006271 -0.0085088 -0.1079949
7.69257 2192 -0.1680603 0.0061365 -0.0002578 -0.0166301 -0.1573089
7.71557 2243 -0.1874886 0.0060387 -0.0026010 -0.0281018 -0.1628245
7.73849 2295 -0.2633418 0.0069997 -0.0035211 -0.0351047 -0.2317156
7.76174 2349 -0.2554396 0.0072667 -0.0030509 -0.0334214 -0.2262339
7.78489 2404 -0.1569611 0.0034060 0.0014196 -0.0014169 -0.1603699
7.80792 2460 -0.1086889 0.0001957 0.0001434 0.0002277 -0.1092556
7.83082 2517 -0.1766223 -0.0076666 -0.0033372 0.0024807 -0.1680991
7.85399 2576 -0.2138946 -0.0069450 -0.0047509 -0.0063919 -0.1958069
7.87702 2636 -0.1441921 0.0003759 0.0001394 -0.0002429 -0.1444646
7.90027 2698 0.0184520 0.0022759 0.0087848 0.0382341 -0.0308427
7.92335 2761 0.1254730 -0.0005550 0.0188176 0.0954754 0.0117350
7.94626 2825 0.1456803 -0.0038762 0.0265080 0.1422304 -0.0191818
7.96936 2891 0.1861264 -0.0025092 0.0283094 0.1478201 0.0125060
