logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
8.70814 6052 0.4797020 0.0011518 0.0376621 0.1854310 0.2554571
8.73134 6194 0.4825194 0.0040807 0.0441992 0.2107945 0.2234449
8.75432 6338 0.4026148 0.0063495 0.0374662 0.1714571 0.1873421
8.77740 6486 0.2307182 0.0064098 0.0277898 0.1229247 0.0735939
8.80057 6638 0.0650919 0.0032517 0.0194347 0.0890442 -0.0466387
8.82365 6793 -0.1253858 0.0011911 0.0076260 0.0351526 -0.1693555
8.84664 6951 -0.1599120 -0.0002304 0.0030263 0.0157077 -0.1784155
8.86982 7114 -0.2398338 -0.0035138 -0.0053471 -0.0179510 -0.2130219
8.89289 7280 -0.3509147 -0.0059844 -0.0158089 -0.0640837 -0.2650376
8.91597 7450 -0.3512155 -0.0056103 -0.0260385 -0.1161665 -0.2034003
8.93906 7624 -0.3537687 -0.0083384 -0.0307155 -0.1327315 -0.1819833
8.96214 7802 -0.2643558 -0.0099846 -0.0387130 -0.1686037 -0.0470545
8.98519 7984 -0.3290465 -0.0008729 -0.0482632 -0.2391338 -0.0407767
9.00835 8171 -0.3655827 0.0075619 -0.0471648 -0.2547287 -0.0712510
9.03133 8361 -0.3260938 0.0101136 -0.0436141 -0.2433545 -0.0492387
9.05450 8557 -0.2948445 0.0136017 -0.0478408 -0.2732083 0.0126028
9.07761 8757 -0.1589658 0.0054940 -0.0456396 -0.2419329 0.1231127
9.10064 8961 -0.0361033 0.0072226 -0.0377175 -0.2066439 0.2010354
9.12369 9170 0.1438567 0.0013321 -0.0301879 -0.1542694 0.3269820
9.14676 9384 0.1802636 0.0031381 -0.0271746 -0.1437184 0.3480184
9.16993 9604 0.2462291 0.0085170 -0.0251862 -0.1472233 0.4101216
9.19299 9828 0.2675187 0.0010983 -0.0192625 -0.0990584 0.3847413
9.21602 10057 0.1066157 -0.0110155 -0.0205912 -0.0754172 0.2136396
9.23912 10292 -0.1141989 -0.0215408 -0.0193413 -0.0428545 -0.0304624
