logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 0.3351299 0.0062747 0.0378347 0.0946800 0.1963405
6.93049 1023 0.3906568 -0.0036064 0.0508687 0.1634253 0.1799693
6.95368 1047 0.4642394 -0.0157110 0.0611722 0.2306496 0.1881286
6.97635 1071 0.5067847 -0.0329253 0.0687007 0.3048780 0.1661311
6.99942 1096 0.5014840 -0.0328464 0.0747073 0.3226611 0.1369620
7.02287 1122 0.4273486 -0.0174787 0.0726312 0.2703298 0.1018663
7.04578 1148 0.3466797 0.0017489 0.0598843 0.1744064 0.1106401
7.06902 1175 0.1194601 0.0151353 0.0227829 0.0229429 0.0585991
7.09174 1202 -0.0173461 0.0205021 -0.0032971 -0.0713975 0.0368464
7.11477 1230 -0.0011550 0.0185293 -0.0079282 -0.0793723 0.0676163
7.13807 1259 0.0069377 0.0087589 -0.0082049 -0.0508914 0.0572751
7.16162 1289 -0.0367742 0.0057007 -0.0025929 -0.0248807 -0.0150012
7.18463 1319 -0.0856288 0.0023160 -0.0021057 -0.0132649 -0.0725742
7.20712 1349 -0.1119840 -0.0097029 -0.0100914 -0.0011657 -0.0910240
7.23056 1381 -0.0893048 -0.0270492 -0.0102318 0.0504522 -0.1024759
7.25347 1413 -0.0595184 -0.0257989 0.0006784 0.0794320 -0.1138298
7.27656 1446 -0.1080746 -0.0082101 -0.0067077 0.0045073 -0.0976640
7.29980 1480 -0.0710525 0.0060674 -0.0062233 -0.0368722 -0.0340244
7.32317 1515 -0.0536564 0.0060908 -0.0029232 -0.0270420 -0.0297819
7.34601 1550 -0.0786990 0.0089478 -0.0067801 -0.0471839 -0.0336829
7.36897 1586 -0.0879392 0.0231098 0.0014403 -0.0650085 -0.0474808
7.39203 1623 -0.1205912 0.0217730 0.0120510 -0.0291660 -0.1252492
7.41518 1661 -0.2851003 0.0128836 -0.0051911 -0.0542239 -0.2385689
7.43838 1700 -0.3786811 0.0063940 -0.0288751 -0.1058071 -0.2503929
7.46164 1740 -0.3639192 -0.0021751 -0.0451632 -0.1289641 -0.1876168
7.48437 1780 -0.3596173 0.0004622 -0.0592595 -0.1791651 -0.1216550
7.50769 1822 -0.3869629 0.0022761 -0.0641795 -0.1993666 -0.1256929
7.53048 1864 -0.3751754 0.0047688 -0.0469071 -0.1550277 -0.1780095
7.55381 1908 -0.2421573 0.0015335 -0.0096567 -0.0335707 -0.2004633
7.57712 1953 -0.0862826 -0.0105964 0.0103086 0.0627152 -0.1487100
7.59990 1998 -0.0438324 -0.0193317 0.0051932 0.0735745 -0.1032685
7.62315 2045 -0.0932924 -0.0022858 0.0021448 0.0132920 -0.1064434
7.64635 2093 -0.2050013 0.0110203 -0.0107766 -0.0653908 -0.1398542
7.66950 2142 -0.3082501 0.0049784 -0.0280222 -0.0990018 -0.1862045
7.69257 2192 -0.3663713 0.0036605 -0.0421972 -0.1375729 -0.1902617
7.71557 2243 -0.3583123 0.0049037 -0.0494536 -0.1630718 -0.1506905
7.73849 2295 -0.3706761 0.0049122 -0.0487318 -0.1609322 -0.1659243
7.76174 2349 -0.2848842 -0.0104438 -0.0317766 -0.0639986 -0.1786652
7.78489 2404 -0.2819317 -0.0116803 -0.0408791 -0.0875966 -0.1417757
7.80792 2460 -0.2583595 -0.0217800 -0.0482865 -0.0795195 -0.1087735
7.83082 2517 -0.2478844 -0.0175762 -0.0444965 -0.0807607 -0.1050510
7.85399 2576 -0.1840394 0.0023379 -0.0150358 -0.0521210 -0.1192206
7.87702 2636 -0.1440517 0.0126966 -0.0026622 -0.0460764 -0.1080097
7.90027 2698 -0.1355007 0.0188088 0.0010014 -0.0534224 -0.1018885
7.92335 2761 -0.0058088 0.0134930 0.0072465 -0.0187395 -0.0078088
