logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 0.0955645 -0.0240632 -0.0000000 -0.0000000 0.1196277
6.93049 1023 -0.0354609 -0.0412568 -0.0000000 -0.0000000 0.0057959
6.95368 1047 -0.0800637 -0.0445633 -0.0000000 -0.0000000 -0.0355004
6.97635 1071 -0.0117515 -0.0211599 -0.0000000 -0.0000000 0.0094084
6.99942 1096 0.1328005 0.0099435 -0.0000000 -0.0000000 0.1228570
7.02287 1122 0.2239815 0.0215288 -0.0000000 -0.0000000 0.2024527
7.04578 1148 0.2389818 0.0147205 -0.0000000 -0.0000000 0.2242613
7.06902 1175 0.3054737 0.0138169 -0.0000000 -0.0000000 0.2916568
7.09174 1202 0.3449531 0.0143085 -0.0000000 -0.0000000 0.3306446
7.11477 1230 0.4648939 0.0172886 -0.0000000 -0.0000000 0.4476054
7.13807 1259 0.4595479 -0.0012463 -0.0000000 -0.0000000 0.4607942
7.16162 1289 0.3759213 -0.0034144 -0.0000000 -0.0000000 0.3793356
7.18463 1319 0.3309132 0.0020554 -0.0000000 -0.0000000 0.3288578
7.20712 1349 0.2949320 0.0022054 -0.0000000 -0.0000000 0.2927266
7.23056 1381 0.2841344 -0.0007545 -0.0000000 -0.0000000 0.2848889
7.25347 1413 0.3110999 0.0009258 -0.0000000 -0.0000000 0.3101741
7.27656 1446 0.3173460 -0.0038110 -0.0000000 -0.0000000 0.3211570
7.29980 1480 0.2286828 -0.0008434 -0.0000000 -0.0000000 0.2295262
7.32317 1515 0.1005099 -0.0047408 -0.0000000 -0.0000000 0.1052506
7.34601 1550 -0.1018097 -0.0039703 -0.0000000 -0.0000000 -0.0978393
7.36897 1586 -0.1795553 -0.0080660 -0.0000000 -0.0000000 -0.1714893
7.39203 1623 -0.1549697 0.0011555 -0.0000000 -0.0000000 -0.1561253
7.41518 1661 -0.1524925 0.0021344 -0.0000000 -0.0000000 -0.1546269
7.43838 1700 -0.1538029 0.0051469 -0.0000000 -0.0000000 -0.1589498
7.46164 1740 -0.0464125 0.0223471 -0.0000000 -0.0000000 -0.0687596
