logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 -0.1918491 0.0111224 -0.0221956 -0.0999540 -0.0808220
6.93049 1023 -0.2239083 0.0110463 -0.0280745 -0.1173624 -0.0895178
6.95368 1047 -0.2466557 0.0068692 -0.0275114 -0.1031416 -0.1228719
6.97635 1071 -0.2485127 0.0013666 -0.0291903 -0.0916706 -0.1290184
6.99942 1096 -0.3248535 0.0099254 -0.0356046 -0.1365900 -0.1625843
7.02287 1122 -0.4182150 0.0133705 -0.0452381 -0.1758258 -0.2105217
7.04578 1148 -0.3460740 -0.0060744 -0.0400008 -0.1017794 -0.1982194
7.06902 1175 -0.2077151 -0.0264726 -0.0211395 0.0159993 -0.1761022
7.09174 1202 -0.1078780 -0.0301348 -0.0107656 0.0581079 -0.1250854
7.11477 1230 -0.1306990 -0.0067275 -0.0326161 -0.0776655 -0.0136898
7.13807 1259 -0.0442865 0.0049798 -0.0482540 -0.1597015 0.1586892
7.16162 1289 0.0183999 0.0237133 -0.0412088 -0.1947662 0.2306616
7.18463 1319 -0.0623806 0.0295793 -0.0429667 -0.2176378 0.1686445
7.20712 1349 -0.1284826 0.0299780 -0.0457552 -0.2271998 0.1144943
7.23056 1381 -0.1072641 0.0313414 -0.0409478 -0.2168678 0.1192102
7.25347 1413 -0.0399535 0.0162434 -0.0350889 -0.1539968 0.1328887
7.27656 1446 -0.0501340 0.0129011 -0.0314914 -0.1331777 0.1016340
7.29980 1480 0.0240548 0.0062619 -0.0163445 -0.0678192 0.1019565
7.32317 1515 0.0813071 0.0051175 0.0004642 -0.0139601 0.0896854
7.34601 1550 0.1624862 -0.0125971 0.0106423 0.0697183 0.0947226
7.36897 1586 0.2031152 -0.0158747 0.0213851 0.1117795 0.0858254
7.39203 1623 0.2786136 -0.0191766 0.0272850 0.1393848 0.1311204
7.41518 1661 0.2917202 -0.0288450 0.0199834 0.1464851 0.1540966
7.43838 1700 0.2392215 -0.0172466 0.0015738 0.0564611 0.1984332
7.46164 1740 0.1830524 -0.0087999 -0.0134749 -0.0140251 0.2193521
7.48437 1780 0.1935660 -0.0083839 -0.0121600 -0.0113285 0.2254384
7.50769 1822 0.2063697 0.0047503 0.0038475 -0.0027083 0.2004802
7.53048 1864 0.2461158 0.0110688 0.0262717 0.0456086 0.1631668
7.55381 1908 0.3189493 0.0075723 0.0362004 0.0858843 0.1892923
7.57712 1953 0.2757500 0.0149982 0.0369977 0.0659984 0.1577558
7.59990 1998 0.1720908 0.0119050 0.0386806 0.0803268 0.0411784
7.62315 2045 0.0535776 0.0039127 0.0297624 0.0775493 -0.0576468
7.64635 2093 0.0374216 -0.0037934 0.0177312 0.0645736 -0.0410898
7.66950 2142 0.1179394 -0.0085330 0.0240911 0.0978723 0.0045089
7.69257 2192 0.1984180 -0.0206014 0.0338331 0.1633034 0.0218829
7.71557 2243 0.1451291 -0.0190099 0.0259726 0.1349476 0.0032188
7.73849 2295 0.0572315 -0.0064507 0.0101964 0.0499413 0.0035445
7.76174 2349 0.0300650 0.0099539 0.0153138 0.0160797 -0.0112823
7.78489 2404 -0.0269899 0.0167416 0.0072712 -0.0284113 -0.0225914
7.80792 2460 -0.0089137 0.0138009 0.0141576 0.0010701 -0.0379424
7.83082 2517 0.0985377 0.0197597 0.0403162 0.0616696 -0.0232078
7.85399 2576 0.2356362 0.0148222 0.0638963 0.1472224 0.0096953
7.87702 2636 0.2847792 0.0061093 0.0654513 0.1780260 0.0351925
7.90027 2698 0.2028918 0.0150451 0.0570711 0.1260779 0.0046977
7.92335 2761 0.1396378 0.0115309 0.0404041 0.0866195 0.0010834
7.94626 2825 0.0789012 -0.0127562 0.0275387 0.1208849 -0.0567661
7.96936 2891 0.0712205 -0.0345358 0.0271379 0.1850213 -0.1064029
7.99261 2959 0.0676914 -0.0234305 0.0236249 0.1411660 -0.0736690
8.01566 3028 -0.0276020 -0.0112798 0.0024615 0.0412241 -0.0600079
8.03883 3099 -0.0699673 -0.0034117 -0.0238334 -0.0612654 0.0185431
8.06180 3171 -0.0965173 -0.0022612 -0.0462329 -0.1319151 0.0838920
8.08487 3245 -0.0975388 0.0076978 -0.0526973 -0.1811854 0.1286460
8.10802 3321 -0.0540040 0.0110655 -0.0479628 -0.1770849 0.1599783
8.13094 3398 -0.0184149 0.0188333 -0.0356828 -0.1635485 0.1619832
8.15421 3478 0.1388968 0.0269802 -0.0034098 -0.0911700 0.2064965
8.17723 3559 0.1798192 0.0254031 -0.0062023 -0.0948161 0.2554346
8.20029 3642 0.0572413 0.0159255 -0.0276788 -0.1308128 0.1998074
8.22336 3727 -0.0315112 -0.0051217 -0.0375938 -0.0974161 0.1086203
8.24643 3814 0.0269276 -0.0185062 -0.0431512 -0.0739350 0.1625200
8.26950 3903 0.0406005 -0.0146132 -0.0390982 -0.0734550 0.1677669
8.29255 3994 0.0100638 -0.0129309 -0.0398952 -0.0808929 0.1437828
8.31581 4088 0.0024417 -0.0242625 -0.0364148 -0.0364567 0.0995757
8.33878 4183 -0.0507838 -0.0179424 -0.0343056 -0.0490896 0.0505539
8.36194 4281 -0.0949903 0.0069777 -0.0162709 -0.0697458 -0.0159512
8.38503 4381 -0.1472027 0.0232833 -0.0062429 -0.0885786 -0.0756645
8.40805 4483 -0.1338043 0.0187067 -0.0099295 -0.0859086 -0.0566729
8.43120 4588 -0.0957332 0.0153689 0.0003516 -0.0450520 -0.0664017
8.45425 4695 -0.0522651 0.0074532 0.0008320 -0.0198634 -0.0406870
8.47741 4805 -0.0459980 0.0104284 0.0033712 -0.0211717 -0.0386260
