u w Y P_over_sqrtY rms16 mean16
1 1.0000000 200000.00 0.052521 0.050838 -0.006007
3 3.0000000 66666.667 -0.071406 0.088463 -0.076949
7 4.6666667 28571.429 0.009122 0.062823 0.039062
13 2.8888889 15384.615 -0.063748 0.080433 -0.074852
19 2.5333333 10526.316 0.086338 0.178936 0.159501
21 14.000000 9523.8095 0.106090 0.093889 0.089352
31 2.2962963 6451.6129 0.042711 0.047798 0.032542
37 2.2424242 5405.4054 -0.012286 0.059711 0.037953
39 8.6666667 5128.2051 -0.059261 0.072527 -0.059377
43 2.2051282 4651.1628 0.100095 0.065696 0.033817
57 7.6000000 3508.7719 -0.039560 0.061146 -0.034983
61 2.1403509 3278.6885 -0.013680 0.067413 -0.025484
67 2.1269841 2985.0746 0.085343 0.069877 -0.017787
73 2.1159420 2739.7260 0.076596 0.134184 0.126738
79 2.1066667 2531.6456 -0.000709 0.078783 -0.030341
91 13.481481 2197.8022 -0.057792 0.041150 -0.030473
93 6.8888889 2150.5376 0.084912 0.075905 0.065373
97 2.0860215 2061.8557 0.193530 0.164542 0.160205
103 2.0808081 1941.7476 0.071088 0.052884 0.005785
109 2.0761905 1834.8624 -0.051235 0.043648 -0.001626
111 6.7272727 1801.8018 0.285271 0.291016 0.282351
127 2.0650407 1574.8031 -0.131919 0.233416 -0.222979
129 6.6153846 1550.3876 -0.058390 0.103081 -0.079854
133 11.822222 1503.7594 -0.028867 0.079703 -0.075626
139 2.0592593 1438.8489 0.089179 0.091748 -0.048498
151 2.0544218 1324.5033 0.135337 0.120812 0.114608
157 2.0522876 1273.8854 0.106264 0.100500 0.059945
163 2.0503145 1226.9939 -0.029495 0.058113 -0.038208
181 2.0451977 1104.9724 0.039529 0.055525 0.044870
183 6.4210526 1092.8962 -0.096635 0.243102 -0.224614
193 2.0423280 1036.2694 -0.284531 0.305238 -0.291469
199 2.0410256 1005.0251 -0.141932 0.127332 -0.124884
201 6.3809524 995.02488 -0.087445 0.082930 -0.006065
211 2.0386473 947.86730 -0.040997 0.058948 -0.049090
217 10.716049 921.65899 0.053475 0.046370 0.043561
219 6.3478261 913.24201 -0.005608 0.051831 -0.014137
223 2.0365297 896.86099 0.265268 0.156250 0.144745
229 2.0355556 873.36245 0.058190 0.062643 0.028883
237 6.3200000 843.88186 0.104412 0.107083 0.091747
241 2.0337553 829.87552 -0.119100 0.081201 -0.073490
247 7.3185185 809.71660 -0.059511 0.097401 -0.094737
259 10.464646 772.20077 0.011260 0.020893 0.007897
271 2.0299625 738.00738 0.002974 0.040021 0.024123
273 40.444444 732.60073 -0.037094 0.029307 -0.024833
277 2.0293040 722.02166 0.109472 0.091589 0.085012
283 2.0286738 706.71378 0.171536 0.100149 0.056015
291 6.2580645 687.28522 0.322418 0.262468 0.249572
301 10.290598 664.45183 0.074075 0.088580 0.080940
307 2.0264026 651.46580 0.198574 0.250133 0.245676
309 6.2424242 647.24919 -0.156074 0.177005 -0.173170
313 2.0258900 638.97764 0.099308 0.128497 -0.061491
327 6.2285714 611.62080 0.211098 0.193424 0.184197
331 2.0244648 604.22961 0.044125 0.128184 0.107288
337 2.0240240 593.47181 0.037937 0.077944 0.056910
349 2.0231884 573.06590 -0.002962 0.145446 0.100043
367 2.0220386 544.95913 -0.064716 0.164894 -0.158201
373 2.0216802 536.19303 -0.240380 0.180645 -0.173427
379 2.0213333 527.70449 -0.134302 0.095702 -0.011526
381 6.1951220 524.93438 0.065223 0.066976 0.034250
