logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 0.0437308 -0.0243040 -0.0000000 -0.0000000 0.0680348
6.93049 1023 0.0988565 -0.0061014 -0.0000000 -0.0000000 0.1049580
6.95368 1047 0.1717927 0.0183809 -0.0000000 -0.0000000 0.1534118
6.97635 1071 0.1587010 0.0165058 -0.0000000 -0.0000000 0.1421953
6.99942 1096 0.1572210 0.0126309 -0.0000000 -0.0000000 0.1445901
7.02287 1122 0.0926760 0.0274112 -0.0000000 -0.0000000 0.0652648
7.04578 1148 -0.0109367 0.0402779 -0.0000000 -0.0000000 -0.0512146
7.06902 1175 -0.1374091 0.0347373 -0.0000000 -0.0000000 -0.1721464
7.09174 1202 -0.1769840 0.0200754 -0.0000000 -0.0000000 -0.1970594
7.11477 1230 -0.2069979 -0.0110028 -0.0000000 -0.0000000 -0.1959951
7.13807 1259 -0.2960076 -0.0345739 -0.0000000 -0.0000000 -0.2614336
7.16162 1289 -0.4099723 -0.0421858 -0.0000000 -0.0000000 -0.3677865
7.18463 1319 -0.5132517 -0.0430287 -0.0000000 -0.0000000 -0.4702230
7.20712 1349 -0.5742466 -0.0288357 -0.0000000 -0.0000000 -0.5454108
7.23056 1381 -0.5464380 -0.0083332 -0.0000000 -0.0000000 -0.5381047
7.25347 1413 -0.3838006 0.0220513 -0.0000000 -0.0000000 -0.4058519
7.27656 1446 -0.3537296 0.0409491 -0.0000000 -0.0000000 -0.3946787
7.29980 1480 -0.3624378 0.0266696 -0.0000000 -0.0000000 -0.3891073
7.32317 1515 -0.4188051 0.0233674 -0.0000000 -0.0000000 -0.4421725
7.34601 1550 -0.4304818 0.0336149 -0.0000000 -0.0000000 -0.4640967
7.36897 1586 -0.4044784 0.0086361 -0.0000000 -0.0000000 -0.4131144
7.39203 1623 -0.3733328 -0.0101650 -0.0000000 -0.0000000 -0.3631678
7.41518 1661 -0.2945019 -0.0009238 -0.0000000 -0.0000000 -0.2935781
7.43838 1700 -0.1538070 0.0128146 -0.0000000 -0.0000000 -0.1666216
7.46164 1740 -0.0692108 0.0032555 -0.0000000 -0.0000000 -0.0724663
7.48437 1780 -0.0137242 -0.0202735 -0.0000000 -0.0000000 0.0065492
7.50769 1822 -0.0390111 -0.0325048 -0.0000000 -0.0000000 -0.0065063
7.53048 1864 0.0173624 -0.0334088 -0.0000000 -0.0000000 0.0507712
7.55381 1908 0.2021864 -0.0151058 -0.0000000 -0.0000000 0.2172922
7.57712 1953 0.2979840 -0.0060964 -0.0000000 -0.0000000 0.3040804
7.59990 1998 0.3199091 -0.0041429 -0.0000000 -0.0000000 0.3240521
7.62315 2045 0.2855236 0.0162243 -0.0000000 -0.0000000 0.2692993
7.64635 2093 0.2422443 0.0203712 -0.0000000 -0.0000000 0.2218731
7.66950 2142 0.2213541 0.0083865 -0.0000000 -0.0000000 0.2129676
7.69257 2192 0.2069014 -0.0005003 -0.0000000 -0.0000000 0.2074018
7.71557 2243 0.2532434 -0.0125727 -0.0000000 -0.0000000 0.2658161
7.73849 2295 0.2532002 -0.0285222 -0.0000000 -0.0000000 0.2817224
7.76174 2349 0.1640558 -0.0244709 -0.0000000 -0.0000000 0.1885267
7.78489 2404 0.1792250 -0.0144537 -0.0000000 -0.0000000 0.1936787
7.80792 2460 0.2169402 -0.0014295 -0.0000000 -0.0000000 0.2183697
7.83082 2517 0.1562013 0.0167137 -0.0000000 -0.0000000 0.1394875
7.85399 2576 0.1259673 0.0207585 -0.0000000 -0.0000000 0.1052087
7.87702 2636 0.0449176 0.0306700 -0.0000000 -0.0000000 0.0142476
7.90027 2698 -0.1396893 0.0381349 -0.0000000 -0.0000000 -0.1778242
7.92335 2761 -0.1621199 0.0271278 -0.0000000 -0.0000000 -0.1892476
7.94626 2825 -0.2019338 0.0286277 -0.0000000 -0.0000000 -0.2305615
7.96936 2891 -0.1244098 0.0168783 -0.0000000 -0.0000000 -0.1412881
7.99261 2959 -0.0960305 0.0040046 -0.0000000 -0.0000000 -0.1000351
