logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 -0.4543150 0.0112230 -0.0000000 -0.0000000 -0.4655380
6.93049 1023 -0.5380934 0.0052460 -0.0000000 -0.0000000 -0.5433394
6.95368 1047 -0.5592158 -0.0030794 -0.0000000 -0.0000000 -0.5561364
6.97635 1071 -0.4045544 0.0012969 -0.0000000 -0.0000000 -0.4058513
6.99942 1096 -0.2124867 0.0021258 -0.0000000 -0.0000000 -0.2146126
7.02287 1122 -0.0074229 0.0044865 -0.0000000 -0.0000000 -0.0119094
7.04578 1148 0.1425638 0.0006312 -0.0000000 -0.0000000 0.1419326
7.06902 1175 0.0816426 -0.0111751 -0.0000000 -0.0000000 0.0928176
7.09174 1202 0.0616676 -0.0176684 -0.0000000 -0.0000000 0.0793360
7.11477 1230 0.0822125 0.0001383 -0.0000000 -0.0000000 0.0820742
7.13807 1259 0.0438185 0.0103745 -0.0000000 -0.0000000 0.0334440
7.16162 1289 0.0990159 0.0038264 -0.0000000 -0.0000000 0.0951895
7.18463 1319 0.2561088 0.0032105 -0.0000000 -0.0000000 0.2528983
7.20712 1349 0.3224822 0.0051974 -0.0000000 -0.0000000 0.3172848
7.23056 1381 0.1848578 0.0026626 -0.0000000 -0.0000000 0.1821952
7.25347 1413 0.1489109 -0.0098903 -0.0000000 -0.0000000 0.1588012
7.27656 1446 0.1090127 -0.0114184 -0.0000000 -0.0000000 0.1204310
7.29980 1480 0.2171372 -0.0208878 -0.0000000 -0.0000000 0.2380251
7.32317 1515 0.2353751 -0.0140451 -0.0000000 -0.0000000 0.2494201
7.34601 1550 0.1883740 0.0038002 -0.0000000 -0.0000000 0.1845739
7.36897 1586 0.2884481 0.0121949 -0.0000000 -0.0000000 0.2762532
7.39203 1623 0.2722731 0.0181218 -0.0000000 -0.0000000 0.2541513
7.41518 1661 0.2031584 0.0111092 -0.0000000 -0.0000000 0.1920492
7.43838 1700 0.1395227 0.0120610 -0.0000000 -0.0000000 0.1274616
7.46164 1740 0.1115596 0.0100903 -0.0000000 -0.0000000 0.1014693
7.48437 1780 0.1262544 -0.0003376 -0.0000000 -0.0000000 0.1265920
7.50769 1822 0.2136486 0.0019856 -0.0000000 -0.0000000 0.2116631
7.53048 1864 0.1913973 0.0038654 -0.0000000 -0.0000000 0.1875319
7.55381 1908 0.1470834 0.0009760 -0.0000000 -0.0000000 0.1461075
7.57712 1953 0.1449623 -0.0065158 -0.0000000 -0.0000000 0.1514781
7.59990 1998 0.2040636 -0.0063147 -0.0000000 -0.0000000 0.2103783
7.62315 2045 0.2509004 -0.0095539 -0.0000000 -0.0000000 0.2604543
7.64635 2093 0.1295858 -0.0081923 -0.0000000 -0.0000000 0.1377780
7.66950 2142 0.0255962 0.0003556 -0.0000000 -0.0000000 0.0252406
7.69257 2192 -0.0263727 0.0055935 -0.0000000 -0.0000000 -0.0319662
7.71557 2243 0.0316668 0.0067321 -0.0000000 -0.0000000 0.0249346
7.73849 2295 0.0183474 0.0026921 -0.0000000 -0.0000000 0.0156553
7.76174 2349 0.0382730 -0.0054479 -0.0000000 -0.0000000 0.0437209
7.78489 2404 0.0606726 -0.0166082 -0.0000000 -0.0000000 0.0772808
7.80792 2460 0.0605798 -0.0073019 -0.0000000 -0.0000000 0.0678817
