u w Y P_over_sqrtY rms16 mean16
741 21.955556 13495.277 0.037611 0.146368 -0.122644
751 2.0107095 13315.579 -0.186144 0.173686 -0.167715
757 2.0106242 13210.040 0.072134 0.101129 0.080724
763 9.6888889 13106.160 0.119199 0.104616 0.090606
769 2.0104575 13003.901 0.042977 0.138980 0.099192
777 31.393939 12870.013 -0.019184 0.033710 -0.005796
787 2.0102171 12706.480 -0.122203 0.124283 0.079962
793 6.1832359 12610.340 0.063429 0.044491 0.023555
811 2.0099133 12330.456 -0.042448 0.071347 0.021967
813 6.0898876 12300.123 0.182592 0.271247 0.266796
817 5.5863248 12239.902 -0.052100 0.094582 -0.072016
823 2.0097680 12150.668 -0.101199 0.180046 -0.170184
829 2.0096970 12062.726 0.056814 0.108071 -0.048447
831 6.0879121 12033.694 -0.070842 0.090396 -0.018379
849 6.0860215 11778.563 0.015185 0.038472 -0.005150
853 2.0094229 11723.329 0.119947 0.073126 0.062511
859 2.0093567 11641.444 -0.011166 0.057581 -0.042274
871 6.1446208 11481.056 0.253548 0.213014 0.209876
877 2.0091638 11402.509 -0.066554 0.061885 -0.003407
883 2.0091013 11325.028 0.162425 0.072347 0.005124
889 9.6368564 11248.594 -0.174710 0.101332 -0.093280
903 30.871795 11074.197 0.071504 0.078610 -0.034301
907 2.0088594 11025.358 -0.119461 0.086228 -0.068693
919 2.0087432 10881.393 -0.033528 0.089163 -0.070057
921 6.0792079 10857.763 0.234609 0.185829 0.173046
937 2.0085745 10672.359 0.161506 0.112072 0.097020
939 6.0776699 10649.627 0.023735 0.096573 0.083099
949 6.1127214 10537.408 -0.110214 0.116725 -0.110100
967 2.0083074 10341.262 0.047773 0.082774 0.066947
973 9.6098765 10277.492 -0.082436 0.089751 -0.085936
991 2.0081054 10090.817 -0.125228 0.130596 -0.119850
993 6.0733945 10070.493 0.253127 0.205346 0.201683
997 2.0080564 10030.090 -0.003582 0.042164 0.020027
1009 2.0079602 9910.8028 -0.019814 0.129000 0.099051
1011 6.0720721 9891.1968 0.080782 0.103119 0.091151
1021 2.0078663 9794.3193 -0.258547 0.221704 -0.218636
1027 6.0859259 9737.0983 0.060950 0.129579 0.123430
1033 2.0077745 9680.5421 0.052257 0.066600 0.055453
1039 2.0077295 9624.6391 -0.196860 0.269536 -0.266215
1047 6.0695652 9551.0984 0.087261 0.101645 0.058018
1051 2.0076409 9514.7479 0.267066 0.237189 0.233013
1057 9.5873016 9460.7379 0.038790 0.070940 0.063481
1063 2.0075543 9407.3377 0.315935 0.202151 0.187627
1069 2.0075117 9354.5370 0.059482 0.129011 0.120306
1087 2.0073869 9199.6320 -0.064003 0.062112 -0.046398
1093 2.0073462 9149.1308 0.031457 0.027696 -0.000740
1099 9.5773420 9099.1811 0.159622 0.086635 0.066165
1101 6.0661157 9082.6521 0.054365 0.053588 0.032834
1117 2.0071878 8952.5515 0.267451 0.217321 0.214114
1119 6.0650407 8936.5505 -0.055634 0.097600 -0.073589
1123 2.0071492 8904.7195 0.199110 0.159700 0.142209
1129 2.0071111 8857.3959 -0.088343 0.059092 -0.048173
1137 6.0640000 8795.0748 -0.144673 0.095755 -0.076764
1141 9.5681342 8764.2419 -0.020677 0.090189 -0.078693
1147 5.1492705 8718.3958 -0.043030 0.040399 -0.026210
1153 2.0069626 8673.0269 0.043915 0.090918 0.062843
1159 5.4222222 8628.1277 -0.008828 0.066673 0.012638
1171 2.0068552 8539.7096 -0.143066 0.102076 -0.099284
1191 6.0610687 8396.3056 0.131961 0.152704 0.145372
1201 2.0066834 8326.3947 0.264798 0.243014 0.237845
1209 19.901235 8271.2986 -0.046446 0.046115 -0.027773
1213 2.0066170 8244.0231 0.073051 0.127883 0.109894
1227 6.0592593 8149.9593 0.180409 0.136187 0.092502
1231 2.0065200 8123.4768 0.195582 0.158332 0.153993
1237 2.0064882 8084.0744 -0.175998 0.099767 -0.073628
1249 2.0064257 8006.4051 -0.052663 0.171932 -0.164764
1261 6.0262843 7930.2141 0.092237 0.076066 0.047392
1263 6.0575540 7917.6564 0.138586 0.088693 0.042066
1267 9.5442561 7892.6598 0.053908 0.052335 0.046405
1273 5.3883598 7855.4595 0.256144 0.256006 0.254425
1279 2.0062745 7818.6083 0.087756 0.106770 -0.030971
1281 29.964912 7806.4012 -0.003393 0.035123 0.014746
1291 2.0062160 7745.9334 0.185275 0.157573 0.155916
1297 2.0061872 7710.1002 -0.146188 0.114046 -0.107388
1299 6.0559441 7698.2294 0.067994 0.121179 0.105251
1303 2.0061586 7674.5971 0.220302 0.142074 0.127434
1317 6.0551724 7593.0144 0.049880 0.094686 0.089645
1321 2.0060744 7570.0227 -0.059140 0.063926 -0.018791
1327 2.0060469 7535.7950 0.047597 0.131032 0.121024
1333 5.0636277 7501.8755 -0.024317 0.051779 0.018386
1339 6.0112233 7468.2599 -0.083891 0.093107 -0.014584
1351 9.5308642 7401.9245 -0.100606 0.097649 -0.085948
1371 6.0529801 7293.9460 0.226531 0.252961 0.241108
1381 2.0058097 7241.1296 0.026445 0.107565 0.100637
1387 5.3603865 7209.8053 -0.021508 0.101768 0.086112
1389 6.0522876 7199.4240 0.027434 0.145415 0.133688
1393 9.5247863 7178.7509 -0.070615 0.135726 -0.129684
1399 2.0057348 7147.9628 -0.062484 0.049771 0.006613
1407 29.777778 7107.3205 -0.179373 0.169157 -0.166743
1417 5.9978836 7057.1630 -0.016093 0.037983 -0.002459
1423 2.0056378 7027.4069 -0.091855 0.070945 -0.046900
1429 2.0056140 6997.9006 0.107681 0.122106 0.109784
1443 19.434343 6930.0069 -0.030135 0.084689 -0.061478
1447 2.0055440 6910.8500 0.007205 0.054633 -0.022204
1453 2.0055210 6882.3125 0.378148 0.326735 0.317199
1459 2.0054983 6854.0096 -0.028404 0.097024 0.062872
1461 6.0496894 6844.6270 0.122839 0.059396 0.034813
1471 2.0054533 6798.0965 0.127102 0.176419 0.166729
1477 9.5136876 6770.4807 -0.035330 0.056018 0.031133
1483 2.0054091 6743.0883 -0.020883 0.081543 -0.023458
1489 2.0053872 6715.9167 0.199755 0.138753 0.091369
1497 6.0484848 6680.0267 -0.001271 0.111320 0.090425
1501 5.3368889 6662.2252 -0.037711 0.223051 -0.204009
1531 2.0052390 6531.6786 -0.063485 0.163015 -0.153681
1533 29.623188 6523.1572 -0.030758 0.066824 -0.056246
1543 2.0051982 6480.8814 0.054145 0.076735 0.041658
1549 2.0051780 6455.7779 -0.083163 0.064992 -0.051990
1561 9.5038052 6406.1499 -0.033976 0.080795 -0.069944
1567 2.0051184 6381.6209 0.055816 0.141720 -0.023854
1569 6.0462428 6373.4863 -0.030432 0.059009 -0.042809
1579 2.0050794 6333.1222 0.144818 0.121298 0.059740
1591 4.9448329 6285.3551 0.204932 0.114055 0.023967
1597 2.0050220 6261.7408 0.031759 0.066128 -0.026579
1603 9.4992593 6238.3032 0.079091 0.060510 0.014242
1609 2.0049844 6215.0404 -0.043710 0.066055 -0.034452
1621 2.0049474 6169.0315 -0.285715 0.293088 -0.292031
1623 6.0446927 6161.4295 -0.313127 0.255961 -0.247360
1627 2.0049291 6146.2815 0.243611 0.172453 0.153268
1641 6.0441989 6093.8452 -0.090536 0.154210 -0.143652
1651 5.9656730 6056.9352 0.018157 0.074172 0.062307
1657 2.0048397 6035.0030 -0.017249 0.120693 0.090208
1659 29.493333 6027.7275 -0.018899 0.114860 -0.100684
1663 2.0048222 6013.2291 -0.082388 0.131228 -0.121806
1669 2.0048048 5991.6117 0.334154 0.247317 0.237895
1677 19.111111 5963.0292 -0.089124 0.076778 -0.060490
1687 9.4908579 5927.6823 -0.055828 0.039215 -0.012760
1693 2.0047365 5906.6745 -0.253666 0.235225 -0.228310
1699 2.0047198 5885.8152 0.115437 0.139266 0.137299
1713 6.0423280 5837.7116 -0.172921 0.129900 -0.096782
1723 2.0046539 5803.8305 0.129373 0.046318 0.023774
1729 34.153086 5783.6900 -0.078805 0.073051 -0.071526
1731 6.0418848 5777.0075 -0.078935 0.067306 0.015775
1741 2.0046056 5743.8254 0.018021 0.125247 0.102518
1747 2.0045898 5724.0985 -0.266278 0.232327 -0.227414
1753 2.0045740 5704.5066 0.050148 0.082379 0.003729
1759 2.0045584 5685.0483 -0.092231 0.104143 0.053551
1767 17.451852 5659.3096 -0.105163 0.056879 -0.001692
1777 2.0045121 5627.4620 -0.140987 0.152894 -0.148194
1783 2.0044969 5608.5250 -0.040976 0.084546 0.065680
1789 2.0044818 5589.7149 0.109032 0.075102 0.053579
1801 2.0044519 5552.4708 -0.157980 0.161055 -0.153806
1803 6.0402010 5546.3117 -0.074930 0.118331 0.079081
1807 5.9489712 5534.0343 0.000109 0.035248 0.004045
1821 6.0398010 5491.4882 -0.322277 0.188157 -0.140557
1831 2.0043788 5461.4965 0.060747 0.118344 0.106001
1839 6.0394089 5437.7379 0.077693 0.101327 0.056283
1843 5.2845878 5425.9360 -0.102398 0.176647 -0.169841
1857 6.0390244 5385.0296 0.104213 0.134303 0.128932
1861 2.0043080 5373.4551 0.049022 0.067344 0.043188
1867 2.0042941 5356.1864 -0.025835 0.094679 -0.074851
1873 2.0042804 5339.0283 0.234288 0.337738 0.331476
1879 2.0042667 5321.9798 -0.051910 0.097155 -0.071665
1891 4.9148798 5288.2073 -0.011853 0.069366 -0.057140
1893 6.0382775 5282.6202 -0.020540 0.099627 0.079510
1897 9.4731586 5271.4813 -0.265781 0.205376 -0.190651
1929 6.0375587 5184.0332 -0.154723 0.122058 -0.097991
1933 2.0041472 5173.3057 0.079132 0.052376 -0.004625
1939 9.4700855 5157.2976 -0.037307 0.044613 -0.037674
1951 2.0041089 5125.5766 -0.022910 0.045837 -0.014749
1957 5.2713805 5109.8620 0.143291 0.114698 0.112841
1963 5.9349962 5094.2435 0.038347 0.144674 0.136622
1981 9.4671446 5047.9556 0.033339 0.054478 0.042052
1983 6.0365297 5042.8643 0.158341 0.209148 0.201021
1987 2.0040343 5032.7126 0.159198 0.088580 0.080821
1993 2.0040221 5017.5615 -0.050809 0.131930 -0.117390
1999 2.0040100 5002.5013 0.122866 0.049957 -0.009318
2011 2.0039860 4972.6504 -0.049700 0.066108 -0.044576
2017 2.0039742 4957.8582 0.035873 0.084717 0.070773
2019 6.0358744 4952.9470 -0.009202 0.060548 -0.023543
2029 2.0039506 4928.5362 -0.203526 0.231833 -0.229904
2037 29.204301 4909.1802 -0.089483 0.062278 -0.053244
2041 5.9288308 4899.5590 -0.004789 0.076234 -0.063902
2053 2.0039043 4870.9206 -0.020910 0.045631 -0.035203
2071 5.2596825 4828.5852 0.099106 0.084965 0.050386
2073 6.0349345 4823.9267 0.066670 0.057566 -0.005895
2077 4.8841858 4814.6365 -0.039245 0.042989 0.004725
2083 2.0038480 4800.7681 0.369782 0.301178 0.297894
2089 2.0038369 4786.9794 -0.144256 0.127265 -0.120588
2109 17.042424 4741.5837 -0.210323 0.256817 -0.252747
2113 2.0037933 4732.6077 -0.022920 0.087916 -0.067782
2119 5.9231307 4719.2072 0.051636 0.038292 -0.010919
2127 6.0340426 4701.4575 0.075358 0.184691 0.169858
2131 2.0037612 4692.6326 0.083253 0.062261 0.019504
2137 2.0037506 4679.4572 -0.095905 0.049042 -0.019940
2143 2.0037401 4666.3556 -0.286682 0.220435 -0.213254
2149 9.4565457 4653.3271 -0.152040 0.117915 -0.114801
2161 2.0037089 4627.4873 -0.002360 0.114875 -0.000201
2163 29.131313 4623.2085 0.124395 0.079655 0.061197
2179 2.0036782 4589.2611 0.002402 0.054880 -0.009891
2181 6.0331950 4585.0527 0.027701 0.112986 0.093904
2191 9.4541532 4564.1260 0.086151 0.109931 0.097293
2199 6.0329218 4547.5216 0.038695 0.066755 -0.036289
2203 2.0036380 4539.2646 0.056820 0.133174 -0.090126
2217 6.0326531 4510.5999 0.269322 0.191316 0.184144
2221 2.0036085 4502.4764 0.083626 0.130910 0.123697
