rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.1977 0.6781 0.0546 0.8929 0.7624 0.0027 -0.7186 -0.5247 0.8671 25 4 240 1.92
0.2230 0.6424 0.0522 1.0713 0.7374 0.0025 -0.8646 -0.7361 0.7026 50 4 240 3.57
0.2398 0.6511 0.0630 0.7657 0.7194 0.0023 -0.8745 -0.7358 0.6071 100 4 240 6.55
0.2498 0.6345 0.0574 1.1175 0.7091 0.0020 -0.8457 -0.6767 0.7925 200 4 240 11.88
0.2551 0.7226 0.0697 1.0537 0.7062 0.0017 -0.8202 -0.6688 0.6385 400 4 240 21.50
0.2576 0.7087 0.0779 1.0926 0.7071 0.0016 -0.7396 -0.6039 0.6485 800 4 240 38.93
0.2989 0.6307 0.0561 1.0588 0.4766 0.0125 -0.5953 -0.5323 0.5364 25 4 240 3.70
0.2932 0.6293 0.0515 0.9249 0.5335 0.0082 -0.7127 -0.6900 0.5107 50 4 240 5.84
0.2880 0.6762 0.0595 1.1394 0.5771 0.0058 -0.7384 -0.6989 0.4499 100 4 240 9.49
0.2836 0.7381 0.0637 0.8924 0.6125 0.0039 -0.7246 -0.6572 0.5731 200 4 240 15.84
0.2799 0.7510 0.0604 1.0700 0.6405 0.0031 -0.6919 -0.6339 0.4769 400 4 240 27.10
0.2768 0.9483 0.0962 1.0283 0.6620 0.0025 -0.6181 -0.5770 0.4608 800 4 240 47.29
