u x r1 r2
10.0529 2.3223e+4 2.43194e+0 -6.82792e+3
10.0610 2.3412e+4 2.39969e+0 -6.75086e+3
10.0691 2.3603e+4 6.21739e+0 -6.67455e+3
10.0772 2.3795e+4 1.91391e+0 -6.59903e+3
10.0853 2.3988e+4 7.49915e+0 -6.52430e+3
10.0934 2.4183e+4 7.53668e+0 -6.45027e+3
10.1015 2.4380e+4 1.05124e+1 -6.37700e+3
10.1096 2.4578e+4 1.39540e+1 -6.30443e+3
10.1177 2.4778e+4 1.50570e+1 -6.23257e+3
10.1258 2.4980e+4 1.73658e+1 -6.16144e+3
10.1339 2.5183e+4 2.14799e+1 -6.09098e+3
10.1420 2.5388e+4 2.40059e+1 -6.02120e+3
10.1501 2.5594e+4 2.44607e+1 -5.95211e+3
10.1582 2.5803e+4 2.83295e+1 -5.88371e+3
10.1663 2.6013e+4 2.53035e+1 -5.81600e+3
10.1744 2.6224e+4 2.84223e+1 -5.74899e+3
10.1825 2.6437e+4 3.18654e+1 -5.68263e+3
10.1906 2.6653e+4 3.14616e+1 -5.61693e+3
10.1987 2.6869e+4 3.01003e+1 -5.55190e+3
10.2068 2.7088e+4 2.75826e+1 -5.48762e+3
10.2149 2.7308e+4 2.79996e+1 -5.42400e+3
10.2230 2.7530e+4 2.79272e+1 -5.36102e+3
10.2311 2.7754e+4 3.11847e+1 -5.29870e+3
10.2392 2.7980e+4 2.82230e+1 -5.23702e+3
10.2473 2.8208e+4 2.54872e+1 -5.17599e+3
10.2555 2.8437e+4 2.86300e+1 -5.11562e+3
10.2636 2.8668e+4 2.95621e+1 -5.05586e+3
10.2717 2.8902e+4 3.19739e+1 -4.99668e+3
10.2798 2.9137e+4 2.87896e+1 -4.93810e+3
10.2879 2.9374e+4 3.03033e+1 -4.88015e+3
10.2960 2.9613e+4 2.97449e+1 -4.82278e+3
10.3041 2.9854e+4 3.26897e+1 -4.76601e+3
10.3122 3.0096e+4 3.09175e+1 -4.70983e+3
10.3203 3.0341e+4 2.93501e+1 -4.65426e+3
10.3284 3.0588e+4 2.79363e+1 -4.59929e+3
10.3365 3.0837e+4 2.50410e+1 -4.54492e+3
10.3446 3.1088e+4 2.44297e+1 -4.49114e+3
10.3527 3.1341e+4 2.25988e+1 -4.43793e+3
10.3608 3.1596e+4 2.68518e+1 -4.38525e+3
10.3689 3.1853e+4 2.61790e+1 -4.33309e+3
10.3770 3.2112e+4 3.06656e+1 -4.28144e+3
10.3851 3.2373e+4 3.14888e+1 -4.23031e+3
10.3932 3.2636e+4 3.09266e+1 -4.17966e+3
10.4013 3.2902e+4 2.97286e+1 -4.12960e+3
10.4094 3.3169e+4 3.21233e+1 -4.08003e+3
10.4175 3.3439e+4 3.31183e+1 -4.03097e+3
10.4256 3.3711e+4 3.24416e+1 -3.98242e+3
10.4337 3.3985e+4 2.99574e+1 -3.93443e+3
10.4418 3.4262e+4 3.21272e+1 -3.88692e+3
10.4499 3.4541e+4 3.00576e+1 -3.83994e+3
10.4580 3.4822e+4 3.03045e+1 -3.79340e+3
10.4661 3.5105e+4 3.17630e+1 -3.74737e+3
10.4742 3.5390e+4 3.21965e+1 -3.70177e+3
10.4823 3.5678e+4 3.41706e+1 -3.65666e+3
10.4904 3.5968e+4 3.15812e+1 -3.61204e+3
10.4985 3.6261e+4 3.41062e+1 -3.56787e+3
10.5066 3.6556e+4 3.55939e+1 -3.52411e+3
10.5147 3.6853e+4 4.13564e+1 -3.48077e+3
10.5228 3.7153e+4 3.86589e+1 -3.43787e+3
10.5309 3.7455e+4 3.82332e+1 -3.39543e+3
10.5390 3.7760e+4 3.58376e+1 -3.35348e+3
10.5471 3.8067e+4 3.19261e+1 -3.31200e+3
10.5552 3.8377e+4 3.42902e+1 -3.27097e+3
10.5633 3.8689e+4 3.71211e+1 -3.23033e+3
10.5714 3.9004e+4 3.94901e+1 -3.19008e+3
10.5795 3.9321e+4 3.86336e+1 -3.15023e+3
10.5876 3.9641e+4 3.49470e+1 -3.11084e+3
10.5957 3.9963e+4 3.93517e+1 -3.07188e+3
10.6038 4.0289e+4 3.31121e+1 -3.03332e+3
10.6119 4.0616e+4 3.16789e+1 -2.99522e+3
10.6200 4.0947e+4 2.65075e+1 -2.95760e+3
10.6281 4.1280e+4 2.85441e+1 -2.92039e+3
10.6362 4.1616e+4 2.53137e+1 -2.88360e+3
10.6443 4.1954e+4 2.97575e+1 -2.84717e+3
10.6524 4.2295e+4 3.45069e+1 -2.81104e+3
10.6605 4.2639e+4 3.49762e+1 -2.77527e+3
10.6686 4.2986e+4 3.86512e+1 -2.73984e+3
10.6767 4.3336e+4 3.98799e+1 -2.70474e+3
10.6848 4.3688e+4 4.12863e+1 -2.66998e+3
10.6929 4.4044e+4 4.45811e+1 -2.63555e+3
10.7010 4.4402e+4 4.94835e+1 -2.60142e+3
10.7091 4.4763e+4 5.28855e+1 -2.56761e+3
10.7172 4.5127e+4 5.13539e+1 -2.53413e+3
10.7253 4.5494e+4 5.31378e+1 -2.50097e+3
10.7334 4.5865e+4 5.94647e+1 -2.46810e+3
10.7415 4.6238e+4 5.79856e+1 -2.43556e+3
10.7497 4.6614e+4 5.45840e+1 -2.40342e+3
10.7578 4.6993e+4 5.59016e+1 -2.37165e+3
10.7659 4.7375e+4 5.43543e+1 -2.34021e+3
10.7740 4.7761e+4 5.38670e+1 -2.30913e+3
10.7821 4.8149e+4 5.42957e+1 -2.27833e+3
10.7902 4.8541e+4 5.35465e+1 -2.24790e+3
10.7983 4.8936e+4 5.60746e+1 -2.21779e+3
10.8064 4.9334e+4 5.49554e+1 -2.18796e+3
