u x n2
10.2869 2.9346e+4 -6.25519e+0
10.2943 2.9564e+4 -6.18947e+0
10.3018 2.9785e+4 -6.12217e+0
10.3092 3.0007e+4 -6.06277e+0
10.3166 3.0230e+4 -6.01167e+0
10.3240 3.0456e+4 -5.97663e+0
10.3315 3.0683e+4 -5.93817e+0
10.3389 3.0911e+4 -5.91180e+0
10.3463 3.1142e+4 -5.89594e+0
10.3537 3.1374e+4 -5.88253e+0
10.3611 3.1607e+4 -5.86116e+0
10.3686 3.1843e+4 -5.83114e+0
10.3760 3.2080e+4 -5.79288e+0
10.3834 3.2319e+4 -5.75466e+0
10.3908 3.2560e+4 -5.71055e+0
10.3983 3.2803e+4 -5.67519e+0
10.4057 3.3047e+4 -5.65485e+0
10.4131 3.3294e+4 -5.61699e+0
10.4205 3.3542e+4 -5.57782e+0
10.4280 3.3792e+4 -5.54446e+0
10.4354 3.4043e+4 -5.51265e+0
10.4428 3.4297e+4 -5.47693e+0
10.4502 3.4553e+4 -5.45616e+0
10.4577 3.4810e+4 -5.42789e+0
10.4651 3.5070e+4 -5.40411e+0
10.4725 3.5331e+4 -5.36708e+0
10.4799 3.5594e+4 -5.33341e+0
10.4874 3.5860e+4 -5.29281e+0
10.4948 3.6127e+4 -5.25422e+0
10.5022 3.6396e+4 -5.20562e+0
10.5096 3.6667e+4 -5.16174e+0
10.5171 3.6941e+4 -5.10790e+0
10.5245 3.7216e+4 -5.07537e+0
10.5319 3.7493e+4 -5.06283e+0
10.5393 3.7773e+4 -5.05672e+0
10.5468 3.8054e+4 -5.04189e+0
10.5542 3.8338e+4 -5.02426e+0
10.5616 3.8623e+4 -5.00325e+0
10.5690 3.8911e+4 -4.96301e+0
10.5765 3.9201e+4 -4.91551e+0
10.5839 3.9493e+4 -4.88157e+0
10.5913 3.9788e+4 -4.84878e+0
10.5987 4.0084e+4 -4.79563e+0
10.6062 4.0383e+4 -4.74223e+0
10.6136 4.0684e+4 -4.68798e+0
10.6210 4.0987e+4 -4.64704e+0
10.6284 4.1292e+4 -4.61205e+0
10.6359 4.1600e+4 -4.60202e+0
10.6433 4.1910e+4 -4.58222e+0
10.6507 4.2222e+4 -4.53988e+0
10.6581 4.2537e+4 -4.49457e+0
10.6656 4.2854e+4 -4.44089e+0
10.6730 4.3173e+4 -4.38054e+0
10.6804 4.3495e+4 -4.32928e+0
10.6878 4.3819e+4 -4.28214e+0
10.6953 4.4146e+4 -4.23897e+0
10.7027 4.4475e+4 -4.19748e+0
10.7101 4.4806e+4 -4.15555e+0
10.7175 4.5140e+4 -4.10626e+0
10.7250 4.5477e+4 -4.06992e+0
10.7324 4.5815e+4 -4.03131e+0
10.7398 4.6157e+4 -3.99132e+0
10.7472 4.6501e+4 -3.96695e+0
