u x n2
13.9324 1.1240e+6 -8.11238e-2
13.9398 1.1323e+6 -5.82259e-2
13.9472 1.1408e+6 -3.26301e-2
13.9546 1.1493e+6 -1.98533e-2
13.9621 1.1578e+6 -8.83993e-3
13.9695 1.1665e+6 3.09828e-2
13.9769 1.1752e+6 7.13740e-2
13.9843 1.1839e+6 1.05574e-1
13.9918 1.1927e+6 1.12819e-1
13.9992 1.2016e+6 9.21786e-2
14.0066 1.2106e+6 7.33042e-2
14.0140 1.2196e+6 7.72617e-2
14.0215 1.2287e+6 8.91046e-2
14.0289 1.2378e+6 1.15700e-1
14.0363 1.2471e+6 1.29216e-1
14.0437 1.2564e+6 1.36087e-1
14.0512 1.2657e+6 1.22688e-1
14.0586 1.2752e+6 1.20635e-1
14.0660 1.2847e+6 1.04952e-1
14.0734 1.2942e+6 9.47625e-2
14.0809 1.3039e+6 1.32300e-1
14.0883 1.3136e+6 1.67291e-1
14.0957 1.3234e+6 1.92525e-1
14.1031 1.3333e+6 2.26216e-1
14.1106 1.3432e+6 2.39508e-1
14.1180 1.3532e+6 2.34664e-1
14.1254 1.3633e+6 2.40574e-1
14.1328 1.3734e+6 2.48964e-1
14.1403 1.3837e+6 2.67565e-1
14.1477 1.3940e+6 2.87083e-1
14.1551 1.4044e+6 2.89700e-1
14.1625 1.4148e+6 2.75676e-1
14.1700 1.4254e+6 2.98074e-1
14.1774 1.4360e+6 3.39027e-1
14.1848 1.4467e+6 3.67272e-1
14.1922 1.4575e+6 3.72819e-1
14.1997 1.4684e+6 3.55484e-1
14.2071 1.4793e+6 3.38103e-1
14.2145 1.4903e+6 3.49856e-1
14.2219 1.5014e+6 4.12104e-1
14.2293 1.5126e+6 4.59010e-1
14.2368 1.5239e+6 4.92316e-1
14.2442 1.5352e+6 5.17484e-1
14.2516 1.5467e+6 5.02322e-1
14.2590 1.5582e+6 4.77391e-1
14.2665 1.5698e+6 4.87272e-1
14.2739 1.5815e+6 5.06221e-1
14.2813 1.5933e+6 5.45783e-1
14.2887 1.6052e+6 5.80342e-1
14.2962 1.6171e+6 6.05212e-1
14.3036 1.6292e+6 6.46520e-1
14.3110 1.6413e+6 6.79160e-1
14.3184 1.6536e+6 6.83711e-1
14.3259 1.6659e+6 7.15323e-1
14.3333 1.6783e+6 7.14195e-1
14.3407 1.6908e+6 7.27042e-1
14.3481 1.7034e+6 7.22701e-1
14.3556 1.7161e+6 6.88905e-1
14.3630 1.7289e+6 6.57440e-1
14.3704 1.7418e+6 5.97190e-1
14.3778 1.7548e+6 5.43885e-1
14.3853 1.7678e+6 5.29250e-1
14.3927 1.7810e+6 5.24778e-1
14.4001 1.7943e+6 4.92588e-1
14.4075 1.8077e+6 4.73778e-1
14.4150 1.8211e+6 4.76721e-1
14.4224 1.8347e+6 4.80427e-1
14.4298 1.8484e+6 4.91089e-1
14.4372 1.8621e+6 5.34609e-1
14.4447 1.8760e+6 5.75222e-1
14.4521 1.8900e+6 6.28237e-1
14.4595 1.9041e+6 6.72808e-1
14.4669 1.9183e+6 6.89991e-1
14.4744 1.9326e+6 7.28457e-1
14.4818 1.9470e+6 7.51370e-1
14.4892 1.9615e+6 8.01069e-1
14.4966 1.9761e+6 8.24932e-1
14.5041 1.9908e+6 8.45225e-1
14.5115 2.0057e+6 8.48810e-1
14.5189 2.0206e+6 8.75214e-1
14.5263 2.0357e+6 8.94074e-1
14.5338 2.0508e+6 9.17524e-1
14.5412 2.0661e+6 8.98518e-1
14.5486 2.0815e+6 8.57868e-1
14.5560 2.0970e+6 7.91352e-1
14.5635 2.1127e+6 7.30556e-1
14.5709 2.1284e+6 7.08811e-1
14.5783 2.1443e+6 7.14238e-1
14.5857 2.1602e+6 6.85860e-1
14.5932 2.1763e+6 6.08161e-1
14.6006 2.1926e+6 4.97011e-1
14.6080 2.2089e+6 4.13951e-1
14.6154 2.2254e+6 3.45948e-1
14.6229 2.2419e+6 2.93501e-1
14.6303 2.2586e+6 2.88901e-1
14.6377 2.2755e+6 3.03554e-1
14.6451 2.2924e+6 3.16150e-1
14.6525 2.3095e+6 3.03988e-1
14.6600 2.3267e+6 2.91528e-1
14.6674 2.3441e+6 2.83538e-1
14.6748 2.3615e+6 2.78977e-1
14.6822 2.3791e+6 2.49227e-1
14.6897 2.3969e+6 2.50969e-1
14.6971 2.4147e+6 2.30207e-1
14.7045 2.4327e+6 2.25613e-1
14.7119 2.4509e+6 1.88581e-1
14.7194 2.4691e+6 1.52795e-1
14.7268 2.4875e+6 1.27849e-1
14.7342 2.5061e+6 8.34011e-2
14.7416 2.5247e+6 4.14069e-2
14.7491 2.5435e+6 1.33925e-2
14.7565 2.5625e+6 -2.90995e-2
14.7639 2.5816e+6 -5.97592e-2
14.7713 2.6008e+6 -8.81245e-2
14.7788 2.6202e+6 -8.99671e-2
14.7862 2.6397e+6 -1.55593e-1
14.7936 2.6594e+6 -1.97125e-1
14.8010 2.6792e+6 -2.21812e-1
14.8085 2.6992e+6 -2.55451e-1
14.8159 2.7193e+6 -2.88737e-1
14.8233 2.7396e+6 -3.66175e-1
14.8307 2.7600e+6 -4.33629e-1
14.8382 2.7806e+6 -4.74436e-1
14.8456 2.8013e+6 -5.05365e-1
14.8530 2.8222e+6 -5.30079e-1
14.8604 2.8432e+6 -5.26577e-1
14.8679 2.8644e+6 -5.30350e-1
14.8753 2.8857e+6 -5.36015e-1
14.8827 2.9072e+6 -5.35482e-1
14.8901 2.9289e+6 -5.47099e-1
14.8976 2.9507e+6 -5.48325e-1
14.9050 2.9727e+6 -5.21093e-1
14.9124 2.9949e+6 -5.30704e-1
14.9198 3.0172e+6 -5.35395e-1
14.9273 3.0397e+6 -5.68812e-1
14.9347 3.0623e+6 -5.82846e-1
14.9421 3.0851e+6 -5.49648e-1
14.9495 3.1081e+6 -5.03776e-1
14.9570 3.1313e+6 -4.49843e-1
14.9644 3.1546e+6 -4.06799e-1
14.9718 3.1781e+6 -3.26418e-1
14.9792 3.2018e+6 -2.51736e-1
14.9867 3.2257e+6 -1.96024e-1
14.9941 3.2497e+6 -1.48193e-1
15.0015 3.2739e+6 -9.66987e-2
15.0089 3.2983e+6 -1.94000e-2
15.0164 3.3229e+6 2.40567e-2
15.0238 3.3477e+6 3.87873e-2
15.0312 3.3726e+6 2.92185e-2
15.0386 3.3978e+6 3.20372e-2
15.0461 3.4231e+6 5.60410e-2
15.0535 3.4486e+6 1.07436e-1
15.0609 3.4743e+6 1.71339e-1
15.0683 3.5002e+6 2.10285e-1
15.0757 3.5263e+6 2.25243e-1
15.0832 3.5525e+6 2.10799e-1
15.0906 3.5790e+6 2.28770e-1
15.0980 3.6057e+6 2.40904e-1
15.1054 3.6326e+6 2.43366e-1
15.1129 3.6596e+6 2.60963e-1
15.1203 3.6869e+6 2.86453e-1
15.1277 3.7144e+6 3.34007e-1
15.1351 3.7421e+6 3.51404e-1
15.1426 3.7699e+6 3.58267e-1
15.1500 3.7980e+6 3.55104e-1
15.1574 3.8263e+6 3.74466e-1
15.1648 3.8549e+6 3.43778e-1
15.1723 3.8836e+6 3.44059e-1
15.1797 3.9125e+6 3.32595e-1
15.1871 3.9417e+6 3.87161e-1
15.1945 3.9711e+6 4.86869e-1
15.2020 4.0007e+6 5.51542e-1
15.2094 4.0305e+6 6.35346e-1
15.2168 4.0605e+6 7.09689e-1
15.2242 4.0908e+6 7.90186e-1
15.2317 4.1212e+6 8.38319e-1
15.2391 4.1520e+6 8.73487e-1
15.2465 4.1829e+6 9.09470e-1
15.2539 4.2141e+6 9.01337e-1
15.2614 4.2455e+6 8.68334e-1
15.2688 4.2771e+6 8.69073e-1
15.2762 4.3090e+6 8.70141e-1
15.2836 4.3411e+6 8.36926e-1
15.2911 4.3734e+6 8.31508e-1
15.2985 4.4060e+6 8.53939e-1
15.3059 4.4389e+6 8.30551e-1
15.3133 4.4720e+6 8.11286e-1
15.3208 4.5053e+6 7.80012e-1
15.3282 4.5389e+6 7.37595e-1
15.3356 4.5727e+6 7.04514e-1
15.3430 4.6068e+6 6.54019e-1
15.3505 4.6411e+6 5.71443e-1
15.3579 4.6757e+6 4.88925e-1
15.3653 4.7105e+6 4.01854e-1
15.3727 4.7456e+6 3.37986e-1
15.3802 4.7810e+6 3.15644e-1
15.3876 4.8166e+6 2.76551e-1
15.3950 4.8525e+6 2.15798e-1
15.4024 4.8887e+6 1.79023e-1
15.4099 4.9251e+6 1.06294e-1
15.4173 4.9618e+6 4.36396e-2
15.4247 4.9988e+6 -1.08308e-2
15.4321 5.0360e+6 -5.49070e-2
15.4396 5.0736e+6 -9.72664e-2
15.4470 5.1114e+6 -1.41670e-1
15.4544 5.1495e+6 -1.79968e-1
15.4618 5.1878e+6 -2.05636e-1
15.4693 5.2265e+6 -2.05736e-1
15.4767 5.2654e+6 -2.45619e-1
15.4841 5.3047e+6 -2.88770e-1
15.4915 5.3442e+6 -3.32425e-1
15.4990 5.3840e+6 -3.45401e-1
15.5064 5.4242e+6 -3.58327e-1
15.5138 5.4646e+6 -3.68008e-1
15.5212 5.5053e+6 -3.57973e-1
15.5286 5.5463e+6 -3.92132e-1
15.5361 5.5877e+6 -3.80067e-1
15.5435 5.6293e+6 -3.59526e-1
15.5509 5.6713e+6 -3.17015e-1
15.5583 5.7135e+6 -3.12737e-1
15.5658 5.7561e+6 -3.00928e-1
15.5732 5.7990e+6 -2.77278e-1
15.5806 5.8422e+6 -2.33018e-1
15.5880 5.8858e+6 -1.56181e-1
15.5955 5.9296e+6 -7.07757e-2
15.6029 5.9738e+6 -4.23560e-2
15.6103 6.0183e+6 -6.84298e-2
15.6177 6.0632e+6 -1.03793e-1
15.6252 6.1084e+6 -1.23984e-1
15.6326 6.1539e+6 -1.04370e-1
15.6400 6.1997e+6 -1.13574e-1
15.6474 6.2459e+6 -1.38262e-1
15.6549 6.2925e+6 -1.17308e-1
15.6623 6.3394e+6 -8.45221e-2
15.6697 6.3866e+6 -3.62318e-2
15.6771 6.4342e+6 -3.26107e-3
15.6846 6.4822e+6 -3.01305e-2
15.6920 6.5305e+6 -4.78428e-2
15.6994 6.5791e+6 -4.42047e-2
15.7068 6.6282e+6 -4.72309e-2
15.7143 6.6776e+6 -5.11627e-2
15.7217 6.7273e+6 -6.32670e-2
15.7291 6.7775e+6 -6.98368e-2
15.7365 6.8280e+6 -9.31787e-2
15.7440 6.8788e+6 -1.05340e-1
15.7514 6.9301e+6 -1.22844e-1
15.7588 6.9818e+6 -1.54123e-1
15.7662 7.0338e+6 -1.62288e-1
15.7737 7.0862e+6 -2.07529e-1
15.7811 7.1390e+6 -2.61554e-1
15.7885 7.1922e+6 -2.63361e-1
15.7959 7.2458e+6 -2.62236e-1
15.8034 7.2998e+6 -3.07916e-1
15.8108 7.3542e+6 -3.09691e-1
15.8182 7.4090e+6 -2.87418e-1
15.8256 7.4642e+6 -2.56249e-1
15.8331 7.5198e+6 -2.53341e-1
15.8405 7.5759e+6 -2.72724e-1
15.8479 7.6323e+6 -2.92014e-1
15.8553 7.6892e+6 -3.10803e-1
15.8628 7.7465e+6 -3.16872e-1
15.8702 7.8042e+6 -2.96825e-1
15.8776 7.8624e+6 -3.12658e-1
15.8850 7.9210e+6 -3.54490e-1
15.8925 7.9800e+6 -3.97764e-1
15.8999 8.0395e+6 -3.82646e-1
15.9073 8.0994e+6 -3.97160e-1
15.9147 8.1598e+6 -3.61070e-1
15.9222 8.2206e+6 -3.30228e-1
15.9296 8.2818e+6 -3.24043e-1
15.9370 8.3436e+6 -2.99200e-1
15.9444 8.4057e+6 -3.53450e-1
15.9518 8.4684e+6 -4.28299e-1
15.9593 8.5315e+6 -4.78922e-1
15.9667 8.5951e+6 -5.00409e-1
15.9741 8.6591e+6 -4.98507e-1
15.9815 8.7236e+6 -5.30810e-1
15.9890 8.7887e+6 -5.64254e-1
15.9964 8.8541e+6 -6.05786e-1
16.0038 8.9201e+6 -6.08189e-1
16.0112 8.9866e+6 -5.68207e-1
16.0187 9.0536e+6 -5.19674e-1
16.0261 9.1210e+6 -4.82056e-1
16.0335 9.1890e+6 -4.53703e-1
16.0409 9.2575e+6 -4.31801e-1
16.0484 9.3265e+6 -3.82863e-1
16.0558 9.3960e+6 -3.39705e-1
16.0632 9.4660e+6 -3.59908e-1
16.0706 9.5365e+6 -3.79894e-1
16.0781 9.6076e+6 -3.73260e-1
16.0855 9.6792e+6 -3.94940e-1
16.0929 9.7513e+6 -3.73311e-1
16.1003 9.8240e+6 -3.41861e-1
16.1078 9.8972e+6 -3.28196e-1
16.1152 9.9710e+6 -2.69664e-1
16.1226 1.0045e+7 -2.24817e-1
16.1300 1.0120e+7 -1.96620e-1
16.1375 1.0196e+7 -1.71654e-1
16.1449 1.0272e+7 -1.58798e-1
16.1523 1.0348e+7 -1.21041e-1
16.1597 1.0425e+7 -9.68015e-2
16.1672 1.0503e+7 -9.11393e-2
16.1746 1.0581e+7 -7.21076e-2
16.1820 1.0660e+7 -2.87272e-2
16.1894 1.0739e+7 2.30253e-2
16.1969 1.0819e+7 7.93161e-2
16.2043 1.0900e+7 1.48796e-1
16.2117 1.0981e+7 2.08173e-1
16.2191 1.1063e+7 2.44049e-1
16.2266 1.1146e+7 2.69474e-1
16.2340 1.1229e+7 2.61540e-1
16.2414 1.1312e+7 2.96984e-1
16.2488 1.1397e+7 3.21161e-1
16.2563 1.1482e+7 3.18978e-1
16.2637 1.1567e+7 3.14283e-1
16.2711 1.1653e+7 3.22834e-1
16.2785 1.1740e+7 3.44360e-1
16.2860 1.1828e+7 3.46187e-1
16.2934 1.1916e+7 3.32223e-1
16.3008 1.2005e+7 3.19972e-1
16.3082 1.2094e+7 3.33097e-1
16.3157 1.2184e+7 3.45042e-1
16.3231 1.2275e+7 3.65035e-1
16.3305 1.2367e+7 3.65059e-1
16.3379 1.2459e+7 3.26625e-1
16.3454 1.2552e+7 3.76417e-1
16.3528 1.2645e+7 3.97362e-1
16.3602 1.2739e+7 3.96532e-1
16.3676 1.2834e+7 4.21961e-1
16.3750 1.2930e+7 4.73850e-1
16.3825 1.3026e+7 4.44601e-1
16.3899 1.3123e+7 4.51778e-1
16.3973 1.3221e+7 4.33876e-1
16.4047 1.3320e+7 3.92729e-1
16.4122 1.3419e+7 3.51821e-1
16.4196 1.3519e+7 3.14833e-1
16.4270 1.3620e+7 2.55845e-1
16.4344 1.3721e+7 2.43750e-1
16.4419 1.3823e+7 2.83640e-1
16.4493 1.3926e+7 2.95810e-1
16.4567 1.4030e+7 2.63770e-1
16.4641 1.4135e+7 2.33204e-1
16.4716 1.4240e+7 2.15017e-1
16.4790 1.4346e+7 1.89427e-1
16.4864 1.4453e+7 1.25314e-1
16.4938 1.4561e+7 1.06961e-1
16.5013 1.4669e+7 1.64446e-1
16.5087 1.4779e+7 1.23017e-1
16.5161 1.4889e+7 8.68756e-2
16.5235 1.5000e+7 3.15929e-2
16.5310 1.5111e+7 4.89687e-2
16.5384 1.5224e+7 4.63111e-2
16.5458 1.5338e+7 4.57467e-2
16.5532 1.5452e+7 6.54832e-2
16.5607 1.5567e+7 4.32969e-2
16.5681 1.5683e+7 -4.35609e-2
16.5755 1.5800e+7 -1.17239e-1
16.5829 1.5918e+7 -1.32712e-1
16.5904 1.6036e+7 -9.94540e-2
16.5978 1.6156e+7 -9.23928e-2
16.6052 1.6276e+7 -9.55965e-2
16.6126 1.6397e+7 -7.04698e-2
16.6201 1.6520e+7 -7.51703e-2
16.6275 1.6643e+7 -1.20962e-1
16.6349 1.6767e+7 -1.41956e-1
16.6423 1.6892e+7 -1.69936e-1
16.6498 1.7018e+7 -2.00504e-1
16.6572 1.7144e+7 -2.44988e-1
16.6646 1.7272e+7 -2.60618e-1
16.6720 1.7401e+7 -2.64275e-1
16.6795 1.7531e+7 -2.46581e-1
16.6869 1.7661e+7 -3.00170e-1
16.6943 1.7793e+7 -3.37095e-1
16.7017 1.7925e+7 -3.15327e-1
16.7092 1.8059e+7 -3.05956e-1
16.7166 1.8194e+7 -2.92320e-1
16.7240 1.8329e+7 -2.68636e-1
16.7314 1.8466e+7 -2.55759e-1
16.7389 1.8603e+7 -2.02760e-1
16.7463 1.8742e+7 -1.72827e-1
16.7537 1.8882e+7 -1.25316e-1
16.7611 1.9022e+7 -6.82349e-2
16.7686 1.9164e+7 -5.20989e-2
16.7760 1.9307e+7 1.51576e-2
16.7834 1.9451e+7 1.44087e-1
16.7908 1.9596e+7 3.11852e-1
16.7982 1.9742e+7 4.13953e-1
16.8057 1.9889e+7 5.05063e-1
