C slope slopeC slopeC2 slopeCes slopeCesC
0.3902654877231709 -0.18071203340461073 -0.46304897329993006 -1.1864973661939255 -0.1948656658868861 -0.49931565054276905
0.45037984161145383 -0.2355518036043173 -0.5230069861952873 -1.1612575383568997 -0.22186071550972222 -0.49260800553574324
0.523878133829157 -0.2472610167858831 -0.4719819378193744 -0.9009384193410398 -0.26251369877040587 -0.5010968807795569
0.6068067487266154 -0.26248854124535836 -0.4325735364614695 -0.7128686972734326 -0.3034394802341333 -0.5000595014325423
0.6988373475136912 -0.3001698389352681 -0.4295274715972265 -0.6146315349707486 -0.34904247578431163 -0.4994616802123235
0.8103156567070018 -0.425866420132482 -0.5255562034468613 -0.6485820668733476 -0.4032910787721297 -0.4976962686504697
0.9402284922240246 -0.18014342328005375 -0.1915953672643348 -0.2037753257308056 -0.46310416596866644 -0.49254428024536445
1.086968988148302 -0.5787637888611685 -0.5324565789564221 -0.489854434452159 -0.5434935910119152 -0.5000083690867572
1.2670199547906986 -0.748231888881036 -0.5905446761528218 -0.46608948337390227 -0.6336535322235601 -0.5001133011580978
1.3728134628011956 -0.5264424816519598 -0.38347706801896125 -0.27933661667076365 -0.6766217652623582 -0.4928723265007369
1.426126208489128 -0.7862646813825623 -0.5513289614216892 -0.38659198473449286 -0.7167863744679164 -0.5026107578706495
1.4626616548242308 -1.0054937054564952 -0.6874410784887406 -0.4699932320105506 -0.7333944223750484 -0.5014108491571695
1.706371809675802 -0.5754015753698626 -0.33720761917602504 -0.19761673116253137 -0.8515714888793017 -0.4990538896918919
1.8500544094331075 -0.774351199232504 -0.41855590586104985 -0.22623978177447415 -0.9193885047799003 -0.4969521437272857
1.9730431658815573 -0.9897005832847778 -0.5016112168243307 -0.25423225679921224 -0.9752077458918782 -0.4942657934481401
2.2981369827300444 -0.42149173619623237 -0.18340583671192928 -0.07980631184745764 -1.149485168681608 -0.5001813109138912
2.6422599568460057 -1.0368838974940575 -0.39242312052132744 -0.1485179834423833 -1.3195936939226325 -0.49941857178117927
3.0565438732901526 -0.702269583211238 -0.2297593662397833 -0.07516966082101863 -1.5257524546308754 -0.4991757088664038
3.259441847418343 -0.8265263017855168 -0.2535790912914035 -0.07779831736904651 -1.6255737489511894 -0.4987276426602712
3.5466101321597607 -1.6167664423041883 -0.455862466427804 -0.1285346991748991 -1.7642441143545755 -0.497445179653906
4.174661613265522 -1.8381447562249331 -0.44030988053833936 -0.10547199302075125 -2.073510264990613 -0.49668942229994606
4.174661613265522 -1.8381447562249331 -0.44030988053833936 -0.10547199302075125 -2.073510264990613 -0.49668942229994606
4.71606546700449 -1.6365566635888025 -0.34701737603916183 -0.07358196752505589 -2.3395458897879626 -0.49608002818374264
5.636925028362142 -2.422509697737186 -0.4297573030594426 -0.0762396698372113 -2.8223228680516854 -0.5006848332825417
6.639546355207205 -3.556275250362445 -0.5356202156150864 -0.08067120657949996 -3.3404120494767495 -0.5031084762074084
